ga:date,ga:medium,ga:source,ga:adClicks,ga:adCost,ga:impressions,ga:campaign
20210214,cpc,search.naver.com,18,39787,10890,NSA_3dp
20210213,cpc,search.naver.com,0,0,181,NSA_Brand
20210213,cpc,search.naver.com,7,18832,1288,NSA_cnc_Mobile
20210213,cpc,search.naver.com,1,396,131,NSA_3dp_Mobile
20210214,cpc,search.naver.com,16,31790,841,NSA_INJ_Mobile
20210210,cpc,search.naver.com,5,8294,1631,NSA_cnc_Mobile
20210208,cpc,search.naver.com,11,23045,1202,NSA_INJ_Mobile
20210210,cpc,search.naver.com,1,396,74,NSA_3dp_Mobile
20210211,cpc,search.naver.com,10,19723,556,NSA_INJ_Mobile
20210213,cpc,search.naver.com,17,21120,14878,NSA_cnc
20210208,cpc,search.naver.com,29,46255,32092,NSA_cnc
20210209,cpc,search.naver.com,10,31526,2025,NSA_cnc_Mobile
20210209,cpc,search.naver.com,2,418,39,NSA_3dp_Mobile
20210214,cpc,search.naver.com,0,0,239,NSA_Brand
20210211,cpc,search.naver.com,8,23265,8415,NSA_3dp
20210213,cpc,search.naver.com,3,583,851,NSA_INJ
20210212,cpc,search.naver.com,0,0,193,NSA_Brand
20210208,cpc,search.naver.com,27,44572,2737,NSA_INJ
20210212,cpc,search.naver.com,9,18634,422,NSA_INJ_Mobile
20210212,cpc,search.naver.com,4,6072,8295,NSA_3dp
20210209,cpc,search.naver.com,18,21329,13958,NSA_3dp
20210210,cpc,search.naver.com,17,32912,2115,NSA_INJ
20210210,cpc,search.naver.com,25,35673,22775,NSA_cnc
20210211,cpc,search.naver.com,11,13497,762,NSA_INJ
20210211,cpc,search.naver.com,1,77,201,NSA_Brand
20210208,cpc,search.naver.com,23,47190,15658,NSA_3dp
20210213,cpc,search.naver.com,8,30459,9751,NSA_3dp
20210212,cpc,search.naver.com,3,1221,61,NSA_3dp_Mobile
20210208,cpc,search.naver.com,0,0,374,NSA_Brand
20210211,cpc,search.naver.com,11,10175,14324,NSA_cnc
20210212,cpc,search.naver.com,3,4730,1322,NSA_cnc_Mobile
20210209,cpc,search.naver.com,35,67969,26990,NSA_cnc
20210212,cpc,search.naver.com,9,12463,13173,NSA_cnc
20210211,cpc,search.naver.com,0,0,41,NSA_3dp_Mobile
20210209,cpc,search.naver.com,28,38357,2740,NSA_INJ
20210212,cpc,search.naver.com,2,2805,718,NSA_INJ
20210209,cpc,search.naver.com,10,16170,1215,NSA_INJ_Mobile
20210210,cpc,search.naver.com,14,34606,11095,NSA_3dp
20210211,cpc,search.naver.com,7,12650,1239,NSA_cnc_Mobile
20210214,cpc,search.naver.com,11,18227,18820,NSA_cnc
20210208,cpc,search.naver.com,2,715,72,NSA_3dp_Mobile
20210208,cpc,search.naver.com,6,10120,2026,NSA_cnc_Mobile
20210210,cpc,search.naver.com,5,9449,766,NSA_INJ_Mobile
20210210,cpc,search.naver.com,3,231,303,NSA_Brand
20210209,cpc,search.naver.com,2,154,393,NSA_Brand
20210214,cpc,search.naver.com,1,77,153,NSA_3dp_Mobile
20210214,cpc,search.naver.com,14,35706,1913,NSA_cnc_Mobile
20210214,cpc,search.naver.com,11,16126,1219,NSA_INJ
20210213,cpc,search.naver.com,5,10637,531,NSA_INJ_Mobile
