keyword,rank,bid,impressions,clicks,cpc,cost
CNC,1,7960,5257,108,6056.0,654080
CNC,2,6290,5257,65,4967.0,322879
CNC,3,5410,5257,40,4394.0,175743
CNC,4,4940,5257,31,4087.0,126700
CNC,5,4770,5257,28,3976.0,111335
CNC,6,4610,5251,25,3872.0,96798
CNC,7,4380,4952,22,3722.0,81883
CNC,8,4030,4496,18,3494.0,62887
CNC,9,3690,4054,15,3272.0,49081
CNC,10,3430,3715,13,3103.0,40333
CNC가공,1,11250,1625,39,9056.0,353184
CNC가공,2,9480,1625,39,7868.0,306841
CNC가공,3,8630,1625,39,7207.0,281066
CNC가공,4,7820,1625,39,6577.0,256503
CNC가공,5,7020,1625,39,5955.0,232244
CNC가공,6,6620,1625,39,5644.0,220114
CNC가공,7,6190,1625,31,5310.0,164598
CNC가공,8,5730,1625,18,4952.0,89135
CNC가공,9,5290,1625,7,4610.0,32269
CNC가공,10,4920,1602,0,,0
CNC조각기,1,11240,984,84,9579.0,804622
CNC조각기,2,9940,984,84,8466.0,711121
CNC조각기,3,9260,984,84,7883.0,662213
CNC조각기,4,8430,984,77,7173.0,552307
CNC조각기,5,7870,984,63,6693.0,421680
CNC조각기,6,7380,984,53,6274.0,332510
CNC조각기,7,6830,984,44,5803.0,255325
CNC조각기,8,6240,956,36,5298.0,190716
CNC조각기,9,5600,851,28,4750.0,132991
CNC조각기,10,4990,751,23,4227.0,97230
CNC교육,1,1650,68,9,1381.0,12430
CNC교육,2,1450,68,8,1211.0,9685
CNC교육,3,1230,68,7,1023.0,7162
CNC교육,4,1120,68,6,929.0,5576
CNC교육,5,920,68,5,759.0,3794
CNC교육,6,810,68,4,665.0,2660
CNC교육,7,700,68,4,571.0,2285
CNC교육,8,610,68,3,495.0,1484
CNC교육,9,490,68,3,392.0,1177
CNC교육,10,410,68,2,324.0,648
조각기,1,7230,627,12,5043.0,60516
조각기,2,5030,627,10,3784.0,37845
조각기,3,3780,627,9,2900.0,26101
조각기,4,3320,627,8,2575.0,20597
조각기,5,2680,627,7,2122.0,14852
조각기,6,2270,627,7,1832.0,12821
조각기,7,1950,627,7,1605.0,11236
조각기,8,1590,627,6,1350.0,8103
조각기,9,1300,627,6,1145.0,6872
조각기,10,1020,627,6,947.0,5683
수원캐드학원,1,13280,186,11,11334.0,124678
수원캐드학원,2,12430,186,10,10608.0,106083
수원캐드학원,3,11750,186,10,10027.0,100273
수원캐드학원,4,10820,186,9,9233.0,83096
수원캐드학원,5,9570,186,8,8165.0,65320
수원캐드학원,6,9180,186,8,7832.0,62655
수원캐드학원,7,7880,186,7,6721.0,47049
수원캐드학원,8,6730,186,6,5739.0,34433
수원캐드학원,9,5610,186,6,4782.0,28692
수원캐드학원,10,5210,186,5,4440.0,22202
CNCG코드,1,510,509,0,,0
CNCG코드,2,360,496,0,,0
CNCG코드,3,190,358,0,,0
CNCG코드,4,70,142,0,,0
CNCG코드,5,70,142,0,,0
CNCG코드,6,70,142,0,,0
CNCG코드,7,70,142,0,,0
CNCG코드,8,70,142,0,,0
CNCG코드,9,70,142,0,,0
CNCG코드,10,70,142,0,,0
CNC라우터,1,3610,280,43,2799.0,120374
CNC라우터,2,2820,280,43,2220.0,95453
CNC라우터,3,2290,280,43,1831.0,78734
CNC라우터,4,2160,280,42,1736.0,72897
CNC라우터,5,1990,280,36,1611.0,57993
CNC라우터,6,1860,280,33,1516.0,50013
CNC라우터,7,1720,280,29,1413.0,40973
CNC라우터,8,1570,280,26,1303.0,33873
CNC라우터,9,1430,280,23,1200.0,27602
CNC라우터,10,1270,268,20,1083.0,21654
금속가공,1,3240,517,38,2816.0,107008
금속가공,2,2980,517,38,2591.0,98446
금속가공,3,2810,517,34,2443.0,83075
금속가공,4,2710,517,27,2357.0,63631
금속가공,5,2610,517,21,2270.0,47671
금속가공,6,2490,508,16,2166.0,34657
금속가공,7,2370,476,12,2062.0,24745
금속가공,8,2270,450,9,1975.0,17779
금속가공,9,2180,426,7,1897.0,13282
금속가공,10,2070,396,5,1802.0,9011
MCT교육,1,1920,42,6,1688.0,10126
MCT교육,2,1850,42,4,1623.0,6492
MCT교육,3,1750,42,2,1530.0,3061
MCT교육,4,1530,42,0,,0
MCT교육,5,1290,42,0,,0
MCT교육,6,1080,42,0,,0
MCT교육,7,920,42,0,,0
MCT교육,8,800,42,0,,0
MCT교육,9,690,42,0,,0
MCT교육,10,560,42,0,,0
CNC선반,1,8660,2603,38,4522.0,171820
CNC선반,2,4990,2603,27,3570.0,96385
CNC선반,3,4000,2603,24,3188.0,76512
CNC선반,4,3270,2603,22,2840.0,62483
CNC선반,5,3010,2603,21,2697.0,56639
CNC선반,6,2810,2603,21,2578.0,54146
CNC선반,7,2630,2603,20,2464.0,49282
CNC선반,8,2460,2603,20,2349.0,46974
CNC선반,9,2290,2603,19,2225.0,42276
CNC선반,10,2130,2593,19,2100.0,39901
선반가공,1,2470,800,17,2085.0,35445
선반가공,2,2250,800,17,1950.0,33147
선반가공,3,2070,800,17,1795.0,30518
선반가공,4,1870,800,15,1623.0,24351
선반가공,5,1730,800,11,1503.0,16534
선반가공,6,1540,800,7,1340.0,9379
선반가공,7,1430,800,6,1245.0,7472
선반가공,8,1300,800,4,1134.0,4535
선반가공,9,1160,732,3,1013.0,3040
선반가공,10,1030,625,2,902.0,1804
머시닝센터,1,5940,1352,15,3371.0,50565
머시닝센터,2,3850,1352,10,3127.0,31269
머시닝센터,3,3510,1352,9,2851.0,25657
머시닝센터,4,3270,1352,8,2656.0,21247
머시닝센터,5,3010,1352,8,2445.0,19558
머시닝센터,6,2850,1323,7,2315.0,16203
머시닝센터,7,2700,1245,7,2193.0,15350
머시닝센터,8,2550,1167,6,2071.0,12427
머시닝센터,9,2400,1090,6,1949.0,11696
머시닝센터,10,2220,996,5,1803.0,9015
인서트,1,1450,3104,25,920.0,22998
인서트,2,880,3104,18,633.0,11397
인서트,3,740,3104,16,563.0,9004
인서트,4,680,3104,15,533.0,7988
인서트,5,650,3104,15,517.0,7762
인서트,6,620,3104,14,502.0,7033
인서트,7,580,3104,14,482.0,6751
인서트,8,540,3104,13,462.0,6008
인서트,9,480,3104,13,432.0,5615
인서트,10,440,3104,12,412.0,4942
레이저조각기,1,28270,888,62,23876.0,1480312
레이저조각기,2,23590,888,62,19903.0,1233968
레이저조각기,3,21570,888,62,18188.0,1127640
레이저조각기,4,19850,888,60,16727.0,1003648
레이저조각기,5,17840,888,52,15021.0,781091
레이저조각기,6,15180,888,43,12763.0,548794
레이저조각기,7,12330,888,35,10343.0,362006
레이저조각기,8,9700,888,30,8110.0,243305
레이저조각기,9,8040,888,26,6701.0,174221
레이저조각기,10,6990,888,24,5809.0,139425
CNC자격증,1,780,67,2,634.0,1267
CNC자격증,2,660,67,2,536.0,1072
CNC자격증,3,430,67,1,349.0,349
CNC자격증,4,190,67,1,154.0,154
CNC자격증,5,140,67,1,114.0,114
CNC자격증,6,110,62,1,89.0,89
CNC자격증,7,100,59,1,81.0,81
CNC자격증,8,80,53,1,70.0,70
CNC자격증,9,70,49,1,70.0,70
CNC자격증,10,70,49,1,70.0,70
CNC밀링,1,3140,478,5,2485.0,12427
CNC밀링,2,2620,478,4,2165.0,8659
CNC밀링,3,2470,478,4,2072.0,8289
CNC밀링,4,2260,478,4,1942.0,7770
CNC밀링,5,1950,462,3,1751.0,5254
CNC밀링,6,1820,427,3,1671.0,5013
CNC밀링,7,1710,397,3,1603.0,4810
CNC밀링,8,1640,378,3,1560.0,4680
CNC밀링,9,1560,356,3,1511.0,4532
CNC밀링,10,1480,334,2,1462.0,2923
정밀가공,1,2790,236,13,2189.0,28457
정밀가공,2,2320,236,9,1900.0,17102
정밀가공,3,2060,236,7,1740.0,12183
정밀가공,4,1920,236,6,1654.0,9927
정밀가공,5,1830,236,5,1599.0,7996
정밀가공,6,1740,236,5,1544.0,7719
정밀가공,7,1690,236,4,1513.0,6052
정밀가공,8,1620,236,4,1470.0,5880
정밀가공,9,1570,236,3,1439.0,4318
정밀가공,10,1520,236,3,1409.0,4226
공작기계,1,6860,1556,21,5352.0,112393
공작기계,2,5710,1556,18,4513.0,81230
공작기계,3,4420,1556,15,3571.0,53571
공작기계,4,3730,1556,13,3068.0,39882
공작기계,5,3330,1556,12,2776.0,33311
