keyword,rank,bid,impressions,clicks,cpc,cost
금속절단,1,1320,120,2,924.0,1848
금속절단,2,1000,120,2,812.0,1625
금속절단,3,910,118,0,,0
금속절단,4,800,111,0,,0
금속절단,5,650,101,0,,0
금속절단,6,530,90,0,,0
금속절단,7,490,86,0,,0
금속절단,8,450,82,0,,0
금속절단,9,370,72,0,,0
금속절단,10,310,63,0,,0
워터젯가공,1,2720,115,19,2209.0,41974
워터젯가공,2,2500,115,11,2030.0,22335
워터젯가공,3,2370,114,8,1925.0,15399
워터젯가공,4,2270,112,6,1844.0,11062
워터젯가공,5,2150,109,5,1746.0,8731
워터젯가공,6,1970,105,3,1600.0,4800
워터젯가공,7,1650,96,1,1340.0,1340
워터젯가공,8,1340,86,1,1088.0,1088
워터젯가공,9,1110,77,0,,0
워터젯가공,10,790,60,0,,0
워터젯,1,6810,1865,68,5291.0,359788
워터젯,2,5790,1865,68,4981.0,338688
워터젯,3,5270,1865,57,4515.0,257363
워터젯,4,4790,1809,28,4085.0,114390
워터젯,5,4370,1737,15,3709.0,55640
워터젯,6,3810,1628,7,3208.0,22456
워터젯,7,3180,1485,3,2644.0,7932
워터젯,8,2530,1304,1,2062.0,2062
워터젯,9,1770,1021,0,,0
워터젯,10,1120,659,0,,0
금속절단기,1,2430,5471,139,1710.0,237690
금속절단기,2,2060,5344,139,1703.0,236679
금속절단기,3,1780,4300,139,1467.0,203960
금속절단기,4,1530,3368,139,1257.0,174746
금속절단기,5,1360,2734,119,1114.0,132595
금속절단기,6,1230,2249,102,1005.0,102506
금속절단기,7,1130,1876,91,921.0,83801
금속절단기,8,1020,1466,80,828.0,66273
금속절단기,9,960,1242,75,778.0,58348
금속절단기,10,890,981,69,719.0,49619
파이프밴딩,1,890,562,35,723.0,25303
파이프밴딩,2,770,562,24,625.0,15011
파이프밴딩,3,650,562,11,528.0,5808
파이프밴딩,4,580,537,7,471.0,3298
파이프밴딩,5,530,515,5,431.0,2153
파이프밴딩,6,470,486,3,382.0,1145
파이프밴딩,7,410,454,2,333.0,666
파이프밴딩,8,350,416,1,284.0,284
파이프밴딩,9,280,363,1,228.0,228
파이프밴딩,10,230,316,1,187.0,187
절곡,1,4170,1695,29,3412.0,98938
절곡,2,3620,1678,10,2971.0,29709
절곡,3,3360,1624,6,2762.0,16575
절곡,4,3140,1576,4,2586.0,10345
절곡,5,2880,1513,3,2378.0,7134
절곡,6,2580,1434,1,2137.0,2137
절곡,7,2300,1352,1,1913.0,1913
절곡,8,2120,1293,1,1769.0,1769
절곡,9,1970,1240,0,,0
절곡,10,1810,1179,0,,0
밴딩,1,1040,2866,23,845.0,19429
밴딩,2,990,2806,20,804.0,16083
밴딩,3,940,2742,17,764.0,12980
밴딩,4,890,2675,14,723.0,10121
밴딩,5,840,2604,10,682.0,6823
밴딩,6,800,2544,8,650.0,5199
밴딩,7,780,2513,7,634.0,4435
밴딩,8,740,2449,4,601.0,2404
밴딩,9,700,2381,2,568.0,1137
밴딩,10,630,2251,0,,0
철판절곡,1,2310,634,40,1790.0,71580
철판절곡,2,2120,600,40,1638.0,65502
철판절곡,3,1910,559,21,1470.0,30862
철판절곡,4,1700,512,11,1302.0,14319
철판절곡,5,1520,468,6,1158.0,6946
철판절곡,6,1340,418,3,1014.0,3041
철판절곡,7,1150,357,2,862.0,1724
철판절곡,8,930,273,1,686.0,686
철판절곡,9,780,203,1,566.0,566
철판절곡,10,670,143,0,,0
디에스워터젯,1,70,68,0,,0
디에스워터젯,2,70,68,0,,0
디에스워터젯,3,70,68,0,,0
디에스워터젯,4,70,68,0,,0
디에스워터젯,5,70,68,0,,0
디에스워터젯,6,70,68,0,,0
디에스워터젯,7,70,68,0,,0
디에스워터젯,8,70,68,0,,0
디에스워터젯,9,70,68,0,,0
디에스워터젯,10,70,68,0,,0
스텐절곡,1,1190,656,40,894.0,35763
스텐절곡,2,1040,656,30,786.0,23576
스텐절곡,3,940,656,22,714.0,15702
스텐절곡,4,850,595,17,649.0,11030
스텐절곡,5,760,506,13,584.0,7591
스텐절곡,6,710,456,11,548.0,6026
스텐절곡,7,640,386,9,497.0,4476
스텐절곡,8,560,306,7,440.0,3078
스텐절곡,9,480,226,6,382.0,2292
스텐절곡,10,400,147,4,324.0,1297
