keyword,rank,bid,impressions,clicks,cpc,cost
금속절단,1,1320,70,0,,0
금속절단,2,1000,70,0,,0
금속절단,3,910,70,0,,0
금속절단,4,800,70,0,,0
금속절단,5,650,70,0,,0
금속절단,6,530,70,0,,0
금속절단,7,490,70,0,,0
금속절단,8,450,70,0,,0
금속절단,9,370,70,0,,0
금속절단,10,310,67,0,,0
워터젯가공,1,2720,115,6,2305.0,13831
워터젯가공,2,2500,115,6,2115.0,12691
워터젯가공,3,2370,115,5,2003.0,10014
워터젯가공,4,2270,115,5,1916.0,9582
워터젯가공,5,2150,115,5,1813.0,9064
워터젯가공,6,1970,115,5,1657.0,8287
워터젯가공,7,1650,115,4,1381.0,5524
워터젯가공,8,1340,115,4,1113.0,4452
워터젯가공,9,1110,115,4,914.0,3658
워터젯가공,10,790,115,3,638.0,1914
워터젯,1,6810,995,34,5482.0,186388
워터젯,2,5790,995,30,4811.0,144339
워터젯,3,5270,995,29,4373.0,126812
워터젯,4,4790,995,27,3968.0,107138
워터젯,5,4370,995,26,3614.0,93962
워터젯,6,3810,995,24,3142.0,75402
워터젯,7,3180,995,22,2611.0,57432
워터젯,8,2530,995,20,2062.0,41249
워터젯,9,1770,995,18,1422.0,25589
워터젯,10,1120,995,16,874.0,13977
금속절단기,1,2430,1478,40,2049.0,81943
금속절단기,2,2060,1478,40,1739.0,69562
금속절단기,3,1780,1478,40,1505.0,60192
금속절단기,4,1530,1478,40,1296.0,51826
금속절단기,5,1360,1478,40,1153.0,46138
금속절단기,6,1230,1478,40,1045.0,41787
금속절단기,7,1130,1478,40,961.0,38441
금속절단기,8,1020,1478,40,869.0,34760
금속절단기,9,960,1478,40,819.0,32752
금속절단기,10,890,1478,40,760.0,30410
파이프밴딩,1,890,378,41,712.0,29182
파이프밴딩,2,770,378,41,619.0,25394
파이프밴딩,3,650,378,41,527.0,21606
파이프밴딩,4,580,378,41,473.0,19396
파이프밴딩,5,530,378,41,435.0,17818
파이프밴딩,6,470,378,39,388.0,15147
파이프밴딩,7,410,378,33,342.0,11292
파이프밴딩,8,350,378,27,296.0,7992
파이프밴딩,9,280,378,22,242.0,5326
파이프밴딩,10,230,378,19,204.0,3869
절곡,1,4170,1486,29,3535.0,102521
절곡,2,3620,1486,29,3071.0,89070
절곡,3,3360,1486,29,2852.0,82711
절곡,4,3140,1486,24,2667.0,63997
절곡,5,2880,1486,17,2447.0,41604
절곡,6,2580,1486,12,2194.0,26331
절곡,7,2300,1486,9,1958.0,17623
절곡,8,2120,1380,7,1806.0,12644
절곡,9,1970,1278,6,1680.0,10079
절곡,10,1810,1168,5,1545.0,7724
밴딩,1,1040,1704,20,923.0,18465
밴딩,2,990,1704,20,877.0,17542
밴딩,3,940,1704,20,831.0,16618
밴딩,4,890,1704,20,785.0,15695
밴딩,5,840,1704,20,739.0,14771
밴딩,6,800,1704,17,702.0,11928
밴딩,7,780,1704,15,683.0,10247
밴딩,8,740,1704,12,646.0,7755
밴딩,9,700,1704,9,609.0,5484
밴딩,10,630,1704,6,545.0,3268
철판절곡,1,2310,393,24,1980.0,47525
철판절곡,2,2120,393,24,1813.0,43521
철판절곡,3,1910,393,24,1629.0,39095
철판절곡,4,1700,393,16,1445.0,23113
철판절곡,5,1520,393,10,1286.0,12865
철판절곡,6,1340,393,7,1128.0,7899
철판절곡,7,1150,393,4,962.0,3846
철판절곡,8,930,393,3,768.0,2305
철판절곡,9,780,393,2,636.0,1273
철판절곡,10,670,393,1,540.0,540
디에스워터젯,1,70,126,0,,0
디에스워터젯,2,70,126,0,,0
디에스워터젯,3,70,126,0,,0
디에스워터젯,4,70,126,0,,0
디에스워터젯,5,70,126,0,,0
디에스워터젯,6,70,126,0,,0
디에스워터젯,7,70,126,0,,0
디에스워터젯,8,70,126,0,,0
디에스워터젯,9,70,126,0,,0
디에스워터젯,10,70,126,0,,0
스텐절곡,1,1190,275,15,1040.0,15596
스텐절곡,2,1040,275,15,909.0,13637
스텐절곡,3,940,275,15,822.0,12330
스텐절곡,4,850,275,15,744.0,11154
스텐절곡,5,760,275,15,665.0,9979
스텐절곡,6,710,275,15,622.0,9325
스텐절곡,7,640,275,15,561.0,8411
스텐절곡,8,560,275,15,491.0,7366
스텐절곡,9,480,275,13,421.0,5478
스텐절곡,10,400,272,11,352.0,3869
구로철판,1,760,777,47,578.0,27146
구로철판,2,560,777,47,429.0,20180
구로철판,3,470,777,47,363.0,17045
구로철판,4,390,777,35,303.0,10618
구로철판,5,280,777,24,222.0,5325
구로철판,6,170,777,16,140.0,2246
구로철판,7,140,777,14,118.0,1654
구로철판,8,120,777,13,103.0,1343
구로철판,9,100,663,12,88.0,1062
구로철판,10,90,573,12,81.0,973
철판절단,1,2590,170,5,2280.0,11402
철판절단,2,2460,170,4,2155.0,8619
철판절단,3,2370,170,4,2068.0,8270
철판절단,4,2290,170,4,1990.0,7961
철판절단,5,2200,170,4,1903.0,7612
철판절단,6,2120,170,4,1826.0,7302
철판절단,7,2010,170,4,1719.0,6877
철판절단,8,1900,170,4,1613.0,6451
철판절단,9,1800,168,4,1516.0,6064
철판절단,10,1690,158,4,1410.0,5638
파이프벤딩,1,1560,121,7,1277.0,8937
파이프벤딩,2,1380,121,7,1133.0,7932
파이프벤딩,3,980,121,5,814.0,4070
파이프벤딩,4,800,121,5,671.0,3353
파이프벤딩,5,740,121,5,623.0,3113
파이프벤딩,6,670,121,4,567.0,2267
파이프벤딩,7,590,121,4,503.0,2012
파이프벤딩,8,540,121,4,463.0,1853
파이프벤딩,9,490,109,4,423.0,1693
파이프벤딩,10,450,97,4,391.0,1565
벤딩,1,1590,834,13,1417.0,18424
벤딩,2,1530,834,13,1363.0,17722
벤딩,3,1470,834,13,1309.0,17019
벤딩,4,1380,834,13,1228.0,15966
벤딩,5,1330,834,11,1183.0,13014
벤딩,6,1300,834,9,1156.0,10405
벤딩,7,1260,834,7,1120.0,7840
벤딩,8,1210,834,5,1075.0,5375
벤딩,9,1150,834,3,1021.0,3063
벤딩,10,1090,834,2,967.0,1934
POM가공,1,4710,20,1,3904.0,3904
POM가공,2,4470,20,1,3702.0,3702
POM가공,3,2200,20,1,1795.0,1795
POM가공,4,1780,20,1,1442.0,1442
POM가공,5,1410,20,1,1131.0,1131
POM가공,6,1110,20,1,879.0,879
POM가공,7,1050,20,1,829.0,829
POM가공,8,950,20,1,745.0,745
POM가공,9,930,20,1,728.0,728
POM가공,10,830,20,1,644.0,644
금속샤링,1,640,3,2,68.0,136
금속샤링,2,70,3,1,68.0,68
금속샤링,3,70,3,1,68.0,68
금속샤링,4,70,3,1,68.0,68
금속샤링,5,70,3,1,68.0,68
금속샤링,6,70,3,1,68.0,68
금속샤링,7,70,3,1,68.0,68
금속샤링,8,70,3,1,68.0,68
금속샤링,9,70,3,1,68.0,68
금속샤링,10,70,3,1,68.0,68
철판가공,1,4430,520,22,3192.0,70224
철판가공,2,3380,520,17,2745.0,46668
철판가공,3,3170,520,16,2575.0,41194
철판가공,4,2990,520,15,2428.0,36427
철판가공,5,2870,505,15,2331.0,34965
철판가공,6,2670,467,14,2169.0,30360
철판가공,7,2500,434,13,2030.0,26396
철판가공,8,2360,408,13,1917.0,24918
철판가공,9,2220,381,12,1803.0,21637
철판가공,10,2100,358,12,1706.0,20468
워터젯절단,1,2550,57,3,2071.0,6213
워터젯절단,2,2410,57,3,1957.0,5872
워터젯절단,3,2250,57,3,1827.0,5482
워터젯절단,4,2120,57,3,1722.0,5166
워터젯절단,5,1980,57,3,1608.0,4825
워터젯절단,6,1760,57,3,1430.0,4289
워터젯절단,7,1480,57,3,1202.0,3606
워터젯절단,8,1120,57,2,910.0,1819
워터젯절단,9,380,57,2,308.0,617
워터젯절단,10,100,57,1,81.0,81
알루미늄절곡,1,880,199,16,755.0,12087
알루미늄절곡,2,770,199,12,663.0,7952
알루미늄절곡,3,670,199,7,578.0,4048
알루미늄절곡,4,600,199,5,519.0,2596
알루미늄절곡,5,540,199,3,469.0,1406
알루미늄절곡,6,500,199,3,435.0,1304
알루미늄절곡,7,450,199,2,392.0,785
알루미늄절곡,8,400,199,2,350.0,701
알루미늄절곡,9,350,199,1,308.0,308
알루미늄절곡,10,280,199,1,249.0,249
가스켓가공,1,760,8,0,,0
가스켓가공,2,350,8,0,,0
가스켓가공,3,320,8,0,,0
가스켓가공,4,70,8,0,,0
가스켓가공,5,70,8,0,,0
가스켓가공,6,70,8,0,,0
가스켓가공,7,70,8,0,,0
가스켓가공,8,70,8,0,,0
가스켓가공,9,70,8,0,,0
가스켓가공,10,70,8,0,,0
구로철판가공,1,740,5,0,,0
구로철판가공,2,380,3,0,,0
구로철판가공,3,260,2,0,,0
구로철판가공,4,70,0,0,,0
구로철판가공,5,70,0,0,,0
구로철판가공,6,70,0,0,,0
구로철판가공,7,70,0,0,,0
구로철판가공,8,70,0,0,,0
구로철판가공,9,70,0,0,,0
구로철판가공,10,70,0,0,,0
대전철판가공,1,740,10,0,,0
대전철판가공,2,120,10,0,,0
대전철판가공,3,100,10,0,,0
대전철판가공,4,70,10,0,,0
대전철판가공,5,70,10,0,,0
대전철판가공,6,70,10,0,,0
대전철판가공,7,70,10,0,,0
대전철판가공,8,70,10,0,,0
대전철판가공,9,70,10,0,,0
대전철판가공,10,70,10,0,,0
알루미늄절단,1,4020,128,4,3391.0,13564
알루미늄절단,2,3550,128,4,3038.0,12150
알루미늄절단,3,3370,128,3,2882.0,8645
알루미늄절단,4,3120,128,3,2665.0,7996
알루미늄절단,5,2800,128,3,2389.0,7166
알루미늄절단,6,2520,126,2,2146.0,4293
알루미늄절단,7,2210,122,2,1878.0,3757
알루미늄절단,8,2000,118,2,1697.0,3394
알루미늄절단,9,1660,112,2,1402.0,2805
알루미늄절단,10,1430,106,1,1204.0,1204
절단절곡,1,3880,124,7,3018.0,21127
절단절곡,2,3180,124,6,2518.0,15110
절단절곡,3,2400,124,5,1961.0,9807
절단절곡,4,2130,124,4,1768.0,7074
절단절곡,5,2020,124,4,1690.0,6760
절단절곡,6,1930,124,4,1626.0,6503
절단절곡,7,1820,124,4,1547.0,6189
절단절곡,8,1710,124,4,1469.0,5875
절단절곡,9,1610,124,4,1397.0,5589
절단절곡,10,1430,121,3,1269.0,3806
플라스틱절단,1,1010,170,5,826.0,4131
