keyword,rank,bid,impressions,clicks,cpc,cost
캐드,1,18350,15457,78,14477.0,1129184
캐드,2,15240,15457,66,12149.0,801805
캐드,3,13300,15457,59,10696.0,631080
캐드,4,11870,15457,54,9626.0,519791
캐드,5,10390,15457,48,8518.0,408855
캐드,6,9400,15457,44,7777.0,342175
캐드,7,8460,15457,41,7073.0,289994
캐드,8,7680,15457,38,6489.0,246586
캐드,9,7040,15457,36,6010.0,216360
캐드,10,6520,14483,34,5621.0,191104
캡스톤디자인,1,1320,12383,89,1038.0,92410
캡스톤디자인,2,1020,12383,89,806.0,71773
캡스톤디자인,3,820,12383,89,652.0,58015
캡스톤디자인,4,690,12383,83,551.0,45765
캡스톤디자인,5,580,12383,66,466.0,30780
캡스톤디자인,6,490,12383,55,397.0,21824
캡스톤디자인,7,430,12383,49,350.0,17171
캡스톤디자인,8,380,12383,44,312.0,13718
캡스톤디자인,9,330,12383,40,273.0,10925
캡스톤디자인,10,300,11983,38,250.0,9498
DESIGN,1,1110,5806,3,832.0,2497
DESIGN,2,880,5806,3,746.0,2238
DESIGN,3,780,5806,3,708.0,2125
DESIGN,4,730,5806,3,690.0,2069
DESIGN,5,670,5586,3,667.0,2001
DESIGN,6,600,4868,2,600.0,1200
DESIGN,7,520,4047,2,520.0,1040
DESIGN,8,460,3431,2,460.0,920
DESIGN,9,420,3021,2,420.0,840
DESIGN,10,380,2610,2,380.0,760
목업,1,12680,5688,31,10626.0,329411
목업,2,11400,5688,31,9578.0,296929
목업,3,9820,5688,28,8285.0,231980
목업,4,8590,5688,18,7278.0,131007
목업,5,7740,5688,14,6582.0,92153
목업,6,7220,5688,12,6157.0,73880
목업,7,6720,5688,10,5747.0,57474
목업,8,6090,5688,8,5232.0,41854
목업,9,5460,5688,6,4716.0,28296
목업,10,4940,5513,5,4290.0,21452
인벤터,1,6850,5445,25,5486.0,137158
인벤터,2,4990,5445,6,4064.0,24381
인벤터,3,4160,5445,3,3429.0,10286
인벤터,4,3520,5445,2,2939.0,5878
인벤터,5,2960,5445,1,2511.0,2511
인벤터,6,2500,5445,1,2159.0,2159
인벤터,7,2120,5445,1,1868.0,1868
인벤터,8,1770,5445,1,1601.0,1601
인벤터,9,1450,5445,0,,0
인벤터,10,1170,5445,0,,0
설계,1,3300,5331,4,2432.0,9728
설계,2,2750,5331,4,2078.0,8312
설계,3,2120,5331,3,1672.0,5017
설계,4,1940,5331,3,1556.0,4669
설계,5,1810,5331,3,1473.0,4418
설계,6,1650,5331,2,1370.0,2739
설계,7,1500,5331,2,1273.0,2546
설계,8,1400,5331,2,1208.0,2417
설계,9,1300,5306,2,1144.0,2289
설계,10,1190,4716,2,1074.0,2147
도면,1,2020,6335,9,1641.0,14766
도면,2,1560,6335,8,1267.0,10137
도면,3,1340,6335,7,1088.0,7619
도면,4,1170,6335,6,950.0,5702
도면,5,980,6335,6,796.0,4776
도면,6,790,6335,5,642.0,3209
도면,7,660,6335,5,536.0,2681
도면,8,590,6335,5,479.0,2396
도면,9,550,6335,5,447.0,2234
도면,10,490,6335,4,398.0,1592
기계,1,660,4204,9,442.0,3976
기계,2,460,4204,9,363.0,3266
기계,3,380,4204,9,321.0,2891
기계,4,320,4204,9,284.0,2553
기계,5,280,4204,7,255.0,1782
기계,6,250,4204,5,230.0,1149
기계,7,220,4204,3,202.0,606
기계,8,200,4139,2,181.0,362
기계,9,190,3801,2,170.0,340
기계,10,170,3124,0,,0
DWG,1,2970,3912,21,1413.0,29680
DWG,2,1530,3912,14,769.0,10770
DWG,3,780,3912,11,434.0,4772
DWG,4,490,3912,10,304.0,3042
DWG,5,350,3912,9,242.0,2174
DWG,6,280,3912,9,210.0,1892
DWG,7,210,3912,9,179.0,1610
DWG,8,150,3912,8,150.0,1200
DWG,9,130,3912,8,130.0,1040
DWG,10,120,3912,8,120.0,960
3D,1,6270,4442,13,4092.0,53190
3D,2,4070,4442,9,2977.0,26797
3D,3,3450,4442,8,2663.0,21307
3D,4,3100,4442,8,2486.0,19889
3D,5,2780,4442,7,2324.0,16269
3D,6,2530,4442,7,2198.0,15383
3D,7,2320,4386,7,2091.0,14638
3D,8,2160,3996,6,2010.0,12061
3D,9,2020,3655,6,1939.0,11635
3D,10,1900,3362,6,1878.0,11271
지그,1,2730,3469,34,2300.0,78195
지그,2,2490,3469,34,2111.0,71774
지그,3,2220,3469,21,1899.0,39870
지그,4,2030,3469,12,1749.0,20989
지그,5,1910,3469,8,1655.0,13237
지그,6,1770,3469,5,1545.0,7723
지그,7,1640,3469,3,1442.0,4327
지그,8,1510,3469,2,1340.0,2680
지그,9,1390,3469,2,1246.0,2491
지그,10,1300,3469,1,1175.0,1175
발명품,1,1800,3259,9,1462.0,13158
발명품,2,1200,3259,7,975.0,6823
발명품,3,910,3259,6,739.0,4435
발명품,4,700,3259,6,569.0,3412
발명품,5,480,3259,5,390.0,1950
발명품,6,370,3259,5,301.0,1503
발명품,7,320,3259,4,260.0,1040
발명품,8,290,3259,4,236.0,943
발명품,9,270,3259,4,220.0,878
발명품,10,250,3259,4,203.0,813
3D모델링,1,14570,3040,22,12064.0,265414
3D모델링,2,12710,3040,22,10954.0,240993
3D모델링,3,11340,3040,19,10027.0,190517
3D모델링,4,10830,3040,16,9653.0,154452
3D모델링,5,10440,3040,14,9355.0,130972
3D모델링,6,10040,3040,12,9038.0,108451
3D모델링,7,9660,3040,10,8724.0,87240
