keyword,bidding 1st ,bidding 2st ,bidding 3st ,bidding 4st ,bidding 5st ,bidding 6st ,bidding 7st ,bidding 8st ,bidding 9st ,bidding 10st 
CNC,7880,6230,5360,4890,4720,4570,4340,3990,3660,3390
CNC가공,11140,9390,8540,7740,6950,6560,6130,5670,5240,4870
CNC조각기,11130,9840,9170,8340,7790,7310,6760,6170,5550,4940
CNC교육,1640,1440,1220,1110,920,810,700,610,490,410
조각기,7160,4980,3740,3280,2650,2250,1930,1580,1290,1020
수원캐드학원,13140,12310,11640,10710,9480,9080,7800,6660,5550,5160
CNCG코드,510,360,190,70,70,70,70,70,70,70
CNC라우터,3570,2790,2270,2140,1970,1840,1700,1550,1410,1260
금속가공,3210,2950,2790,2680,2590,2470,2350,2240,2160,2050
MCT교육,1900,1830,1740,1520,1280,1070,920,800,690,560
CNC선반,8570,4940,3960,3230,2980,2780,2600,2430,2270,2110
선반가공,2440,2230,2050,1850,1710,1520,1410,1290,1150,1030
머시닝센터,5880,3810,3470,3240,2980,2820,2670,2530,2370,2200
인서트,1430,880,740,680,650,620,580,540,480,440
레이저조각기,27980,23360,21350,19650,17660,15020,12210,9600,7960,6920
CNC자격증,780,660,430,190,140,110,100,80,70,70
CNC밀링,3100,2590,2450,2240,1930,1800,1690,1620,1550,1470
정밀가공,2760,2300,2040,1900,1810,1720,1670,1610,1560,1510
공작기계,6790,5650,4380,3690,3290,3010,2890,2760,2600,2400
오토캐드인강,2210,2010,1970,1900,1760,1610,1500,1400,1260,1200
프레스금형설계,1220,1110,1010,910,820,730,610,530,470,420
레이저컷팅기,9830,7900,7010,6120,5660,5150,4620,4200,3940,3680
머시닝센터교육,1020,850,550,400,330,300,250,200,150,90
레이저커팅기,14220,11710,9810,7250,6480,5980,5180,4380,3990,3670
리벳,1970,1480,1330,1090,950,790,620,490,400,330
아크릴스카시,7090,2850,2620,2380,2130,1930,1760,1640,1530,1440
아크릴박스,2760,2070,1880,1720,1600,1480,1400,1310,1220,1140
CNC선반교육,1820,1140,510,310,170,130,100,80,70,70
CNC가공업체,1780,1710,1630,1540,1450,1340,1240,1150,1070,1020
컴퓨터응용가공산업기사,1710,1330,940,680,510,390,290,240,190,170
컴퓨터응용선반기능사,1060,920,840,720,640,600,550,490,410,340
수원캐드,9630,8660,7640,7210,6850,6060,5330,4330,3470,2360
레이저각인기,34560,24960,20630,17820,14400,10520,8080,6450,5320,4610
사출금형산업기사,1010,860,490,380,310,270,220,170,130,100
자동선반,1620,1490,1390,1240,960,740,640,570,520,470
절삭가공,1680,1090,870,790,730,680,620,580,530,470
사출금형설계기사,950,610,560,460,370,340,280,240,190,140
MCT가공,2730,2500,2360,2230,2120,2040,1980,1930,1880,1820
CNC기계,1660,1440,1330,1140,930,770,650,540,420,310
소형CNC,1270,1110,930,850,790,710,620,540,490,450
CNC가공교육,70,70,70,70,70,70,70,70,70,70
레이저절단기,10550,8460,6800,5840,5460,5110,4700,4380,4020,3700
컴퓨터응용밀링기능사,1340,1220,1160,1110,1070,980,860,740,620,520
MCT자격증,990,810,540,360,240,150,90,70,70,70
가공업체,1110,1010,800,660,630,600,580,550,520,490
CNC학원,1180,1070,690,450,350,280,220,170,140,120
프레스금형설계기사,490,400,310,270,230,190,130,110,100,90
