keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
3D프린터,8550,7380,6670,6170,5740,5330,4930,4490,4070,3670
3D프린팅,10560,9040,8040,7370,6750,6240,5750,5300,4870,4410
피규어,1330,1020,760,610,530,470,420,380,340,300
웹디자인,17140,12780,12210,11510,10730,9990,9300,8750,8320,7890
피규어제작,4110,3660,3340,3080,2840,2560,2370,2200,2040,1870
플라스틱제작,3670,3230,2970,2740,2530,2410,2250,2060,1850,1680
패키지디자인,11230,10100,9520,8680,7840,7060,6380,5710,5120,4630
피규어만들기,460,400,370,330,310,290,270,250,240,230
사출금형,5010,4510,4190,3990,3810,3660,3530,3420,3300,3180
브랜드디자인,9980,9370,8770,8020,7290,6770,6390,6100,5770,5440
인포그래픽,7000,5210,4870,4590,4310,3980,3710,3450,3210,3000
3D프린트,8020,7100,6420,5790,5230,4680,4270,3890,3620,3400
펄프몰드,750,700,630,580,500,440,390,330,260,210
컬러리스트,9570,7790,7330,6540,5880,5350,4940,4510,4110,3710
캐릭터디자인,15700,11230,9550,8260,7310,6480,5850,5360,4970,4610
플라스틱성형,3310,3020,2830,2650,2480,2360,2260,2190,2120,2030
3D프린터출력,9090,8140,7310,6670,6070,5630,5090,4560,4090,3740
진공주형,1910,1780,1650,1580,1480,1370,1230,970,800,680
금속3D프린터,6260,5550,4940,4120,3500,3070,2750,2480,2150,1840
제조업체,2110,1750,1530,1330,1200,1020,870,750,650,560
영상디자인,8150,7480,7170,6850,6650,6430,6140,5760,5400,5020
편집디자인,10080,8530,8000,7300,6580,6130,5580,5080,4760,4480
시제품제작,16430,15250,13690,12070,11190,10230,9360,8550,7870,7270
DLP,16180,12390,10110,8590,7390,6140,5180,4440,3810,3340
솔리드웍스학원,3290,2700,2570,2440,2120,1960,1770,1630,1490,1400
3D프린팅제작,4730,4200,3790,3410,3080,2820,2610,2410,2210,1930
시각디자인,11490,8920,8360,7960,7570,7100,6660,6160,5760,5350
플라스틱사출,4680,3220,2590,2440,2300,2180,2060,1960,1850,1740
산업용3D프린터,6440,5770,5300,4840,4430,4130,3820,3500,3230,2920
지그제작,4610,4240,3960,3680,3520,3350,3140,2930,2710,2470
캐드알바,980,550,520,470,360,280,260,230,200,180
모형제작,15830,15460,14600,13990,13550,13090,12610,12050,11400,10780
3D프린터가격,4050,3490,3130,2850,2640,2460,2290,2140,2010,1900
시각디자인학과,18510,13470,11680,10470,9330,8040,6720,5520,4500,3680
개인피규어제작,2190,1870,1300,1050,910,760,680,600,530,470
3D피규어제작,2690,2460,2230,2040,1880,1750,1660,1580,1490,1400
건축모형만들기,1660,1220,990,750,460,420,380,340,310,270
UG,2790,2460,2230,2080,1930,1760,1540,1300,1130,980
3D프린터제작,4540,4140,3760,3380,3010,2720,2420,2220,2050,1900
이중사출,710,500,450,390,320,270,230,200,180,160
SHAPEWAYS,100,70,70,70,70,70,70,70,70,70
3D출력서비스,900,860,620,480,440,350,330,320,320,320
팹랩,310,260,230,200,170,120,80,70,70,70
목업,10970,9740,8640,7840,6870,5850,5130,4690,4300,3920
색채학,2490,2030,1410,880,630,460,360,300,240,210
CAD,13100,9620,7590,6360,5620,5000,4490,4120,3830,3550
컴퓨터그래픽,5790,5440,5100,4720,4370,3990,3670,3380,3010,2650
3D프린터샘플제작,3380,2560,2360,2070,1840,1530,1380,1220,1060,930
3D프린팅업체,7970,7420,6440,5820,5310,4860,4510,4170,3860,3600
3DPRINTER,4660,4240,3710,3270,2880,2630,2420,2230,2080,1940
3D프린터출력대행,6850,6180,5440,4880,4390,3950,3600,3230,2870,2570
3D프린터업체,7080,6360,5500,4900,4390,4000,3670,3370,3090,2770
차키케이스,1290,1040,870,720,620,510,430,370,320,270
건축모형제작,10760,10510,9250,8450,7780,6860,5930,4660,4090,3550
상품디자인,4990,3730,3280,2840,2520,2300,2090,1890,1720,1580
커버제작,1010,630,320,280,250,220,210,190,160,150
3D출력,6730,6320,5810,5050,4440,3980,3700,3430,3170,2890
미니어처제작,2100,1660,1190,870,730,630,540,490,430,350
모형제작업체,10880,10670,10370,10010,9720,9310,8950,8630,8250,7710
소품제작,2020,1850,1700,1530,1370,1230,1100,1000,830,720
샘플제작,5220,4730,4350,4000,3620,3350,2990,2740,2490,2270
3DSYSTEMS,2100,1170,750,460,260,120,90,70,70,70
CNC가공,11120,9690,8880,8080,7450,6960,6190,5740,5270,4790
대형3D프린터,6250,5790,4880,4060,3280,2780,2360,2020,1760,1590
DLP프린터,2000,430,330,300,270,230,200,170,150,130
디자인제작,7300,5200,4480,3830,3280,2870,2540,2310,2080,1880
STL파일,980,810,640,520,410,290,180,140,120,110
3D프린터회사,3810,3450,3230,3000,2740,2530,2350,2160,1960,1770
목업제작업체,6080,5370,5070,4870,4720,4490,4270,4060,3790,3550
3DPRINTING,4650,4150,3740,3460,3190,2950,2770,2620,2480,2340
MAKERBOT,500,360,310,280,240,200,180,140,110,90
아파트평면도,2240,1020,840,690,540,420,330,290,260,230
기구설계,9880,8840,8290,7800,7370,6910,6500,6010,5560,5140
미니어쳐제작,2290,2110,1930,1670,1410,1220,1040,890,780,700
금형제작,5170,4500,4180,3970,3780,3570,3360,3160,2970,2790
NX,3750,2660,2180,2030,1820,1650,1460,1290,1170,1030
플라스틱금형,3820,2910,2380,2120,1970,1850,1760,1680,1600,1530
3D프린터추천,3630,3400,3110,2930,2790,2660,2530,2390,2250,2130
3D프린터필라멘트,2640,2300,1990,1830,1700,1530,1320,1100,940,830
모델링,5350,5120,4620,3850,3270,2900,2620,2390,2220,2070
목업업체,3160,2940,2730,2520,2290,2170,2040,1930,1800,1710
3D솔루션,900,740,600,440,370,320,280,220,170,110
3DITEMS,100,90,70,70,70,70,70,70,70,70
3D프린터모델링,3660,3130,2800,2540,2390,2230,2090,1940,1780,1640
3D프린터출력물,1990,1770,1490,1290,1170,1040,930,820,750,690
3D프린팅대행,5250,4430,3760,3340,3130,2940,2760,2540,2350,2190
설계,2930,2080,1780,1630,1490,1380,1270,1160,1040,950
사이버대학교시각디자인,160,100,80,70,70,70,70,70,70,70
RP,1090,880,810,70,70,70,70,70,70,70
3D프린터출력가격,3610,3110,2850,2600,2270,2100,1950,1760,1620,1500
3D프린트업체,4570,4130,3750,3290,2900,2550,2260,2140,2040,1900
NCT가공,1820,1750,1690,1600,1490,1380,1270,1170,990,850
3D프린터렌탈,4240,3320,2700,2120,1740,1330,960,680,500,430
시제품,8620,7380,6990,6550,6120,5740,5430,5150,4810,4480
미니피규어제작,330,290,210,180,160,140,120,100,90,80
3D프린터부품,2680,1530,1110,910,730,610,560,500,450,410
3D프린터교육,4900,4380,4130,3880,3620,3320,3000,2690,2450,2200
3D시스템즈,2260,1510,1230,920,560,330,180,120,100,90
로봇제작,1010,820,690,620,530,470,420,380,360,330
FDM3D프린터,2700,2100,1310,880,550,420,360,260,210,180
금형설계학원,2790,2020,1520,1210,920,760,680,610,510,460
그래픽디자인,12170,10550,9990,9590,9220,8890,8600,8350,8110,7860
영상디자인학과,11170,10850,10680,10370,9820,8970,7830,6420,4910,3530
3D캐릭터제작,4070,3510,3060,2830,2630,2500,2360,2210,2030,1900
피큐어제작,1070,620,350,260,250,250,210,170,160,150
발명품,1030,800,440,340,300,280,250,230,210,190
아이디어상품제작,1590,1480,1390,1290,1210,1140,1080,980,890,820
3D프린터도면,1990,1400,1030,670,470,410,360,320,280,230
소량사출,550,490,460,440,370,290,200,140,120,100
SLA출력,2430,1890,1210,570,280,240,200,170,140,130
컵제작,7140,5350,4510,3880,3160,2720,2470,2260,2080,1920
뚜껑제작,450,370,300,270,240,220,200,180,170,140
모형,13220,12620,11220,9470,7960,6920,6130,5220,4360,3580
스케치업배경,720,640,510,430,320,220,180,160,130,100
