keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
휴대폰케이스사출,270,190,120,70,70,70,70,70,70,70
휴대폰케이스디자인,1770,710,390,230,180,160,140,120,110,90
화장품케이스디자인,4430,1400,1040,740,680,600,580,540,340,300
화장품제품개발,110,70,70,70,70,70,70,70,70,70
화장품용기주문제작,680,220,110,70,70,70,70,70,70,70
화장품용기제조회사,1100,110,100,70,70,70,70,70,70,70
화장품용기제조업체,1820,1430,1350,1230,1110,1040,910,640,370,300
화장품용기제작,1450,1420,1400,1330,1170,1060,960,820,650,530
화장품금형,230,140,130,70,70,70,70,70,70,70
화장품공병제작,1050,350,340,320,230,150,110,90,80,70
핸드폰케이스사출,310,210,150,110,80,70,70,70,70,70
핸드폰케이스금형,500,110,100,70,70,70,70,70,70,70
하이브리드사출기,90,70,70,70,70,70,70,70,70,70
하우징업체,340,110,100,70,70,70,70,70,70,70
하우징,1580,1220,1160,1060,960,870,780,670,510,450
하드웨어제작,780,490,220,100,80,70,70,70,70,70
하드웨어개발,3050,2610,2380,2070,1820,1590,1360,1170,1030,900
피규어주문제작,2920,2670,2370,2110,1920,1760,1560,1370,1230,1140
피규어제작,4250,3680,3340,3080,2810,2500,2210,2050,1890,1730
피규어만드는법,360,360,360,70,70,70,70,70,70,70
플라스틱회사,580,330,210,180,140,130,120,120,110,90
플라스틱화분제작,70,70,70,70,70,70,70,70,70,70
플라스틱통주문제작,410,210,160,70,70,70,70,70,70,70
플라스틱통제작,590,500,460,340,250,190,150,130,120,100
플라스틱케이스제작,1600,580,510,460,420,400,370,330,290,260
플라스틱주문제작,1130,990,910,820,700,590,530,480,430,380
플라스틱조형물,440,340,280,250,240,220,200,170,150,130
플라스틱제품제조,780,680,580,470,390,320,280,240,230,180
플라스틱제품제작,430,360,320,250,200,150,110,90,80,70
플라스틱제품설계,730,650,580,490,410,320,250,200,180,160
플라스틱제품생산,590,500,470,70,70,70,70,70,70,70
플라스틱제품,1280,1010,950,860,730,650,570,500,420,350
플라스틱제조회사,410,250,220,70,70,70,70,70,70,70
플라스틱제조업체,570,530,500,470,430,400,370,340,310,280
플라스틱제조,1020,970,920,840,780,740,700,660,630,580
플라스틱제작,3750,3230,3010,2830,2600,2420,2280,2120,1940,1700
플라스틱재생업체,70,70,70,70,70,70,70,70,70,70
플라스틱용기주문제작,280,270,240,70,70,70,70,70,70,70
플라스틱용기제조업체,2490,2280,2170,1890,1780,1640,1410,1230,1040,870
플라스틱용기제조,2270,1740,1700,1670,1620,1580,1520,1470,1370,1250
플라스틱용기제작업체,380,260,210,70,70,70,70,70,70,70
플라스틱용기제작,1370,1240,1170,1150,1120,1060,1010,950,870,810
플라스틱용기사출,320,140,130,100,90,90,80,80,70,70
플라스틱용기금형,260,220,140,70,70,70,70,70,70,70
플라스틱업체,510,440,400,360,320,280,230,190,170,140
플라스틱압출,3840,3420,2890,2410,2040,1800,1630,1460,1300,1130
플라스틱식품용기,1250,1050,940,880,820,760,700,640,580,530
플라스틱소량제작,140,100,100,70,70,70,70,70,70,70
플라스틱성형업체,160,110,100,100,90,90,80,80,70,70
플라스틱성형,3330,3070,2880,2680,2520,2350,2230,2160,2090,2000
플라스틱생산업체,170,70,70,70,70,70,70,70,70,70
플라스틱샘플제작,430,260,130,100,70,70,70,70,70,70
플라스틱상자제작,810,710,660,610,530,440,370,240,200,180
플라스틱사출회사,350,330,310,280,270,260,240,230,190,160
플라스틱사출제품,340,200,110,70,70,70,70,70,70,70
플라스틱사출제작,340,280,210,160,120,100,90,90,70,70
플라스틱사출업체,1010,970,920,860,800,740,680,620,550,490
플라스틱사출성형기,770,230,160,70,70,70,70,70,70,70
플라스틱사출성형,1320,930,810,710,600,490,430,390,310,270
플라스틱사출금형제작,340,150,120,70,70,70,70,70,70,70
플라스틱사출금형,1570,1430,1360,1290,1210,1080,940,750,610,500
플라스틱사출공장,660,570,540,520,490,450,400,320,260,230
플라스틱사출,4860,3720,2590,2410,2240,2100,1990,1890,1770,1650
플라스틱볼트,1060,970,920,720,650,570,520,480,430,390
플라스틱병제조업체,330,220,160,70,70,70,70,70,70,70
플라스틱병제작,740,700,690,670,620,580,490,430,260,150
플라스틱모형제작,2230,2030,1710,1500,1420,1060,930,900,860,800
플라스틱모형,510,410,360,340,330,310,290,260,240,220
플라스틱뚜껑,900,450,360,320,290,260,240,210,190,180
플라스틱금형제작,960,910,880,840,810,740,680,630,570,460
플라스틱금형사출,420,390,360,320,260,240,210,160,140,120
플라스틱금형비용,220,210,200,70,70,70,70,70,70,70
플라스틱금형,3880,3210,2730,2250,2030,1860,1750,1670,1590,1510
플라스틱그릇제작,330,100,90,70,70,70,70,70,70,70
플라스틱공장,620,580,510,430,370,320,270,220,190,160
플라스틱가방,800,440,390,360,330,290,260,250,240,220
플라스틱가구제작,70,70,70,70,70,70,70,70,70,70
플라스틱가공업체,1390,1270,880,780,690,570,430,430,370,330
플라스틱가공,9220,8350,7670,6850,6430,5860,5420,5020,4680,4180
플라스틱,1640,1410,1280,1180,1100,1030,930,820,680,580
프로토타입제작,3500,1950,980,380,300,250,220,180,150,120
프로그레시브금형,330,80,70,70,70,70,70,70,70,70
프레스성형해석,70,70,70,70,70,70,70,70,70,70
프레스금형회사,340,300,220,90,70,70,70,70,70,70
프레스금형제품,130,120,70,70,70,70,70,70,70,70
프레스금형제작업체,350,320,270,70,70,70,70,70,70,70
프레스금형제작,710,650,570,490,420,360,300,250,210,150
프레스금형업체,680,660,610,540,500,410,360,320,250,190
프레스금형설계제작,70,70,70,70,70,70,70,70,70,70
프레스금형설계,1280,1170,1080,990,890,770,680,590,510,440
프레스금형부품,400,210,160,120,80,70,70,70,70,70
프레스금형,2950,2710,2500,2400,2330,2250,2120,1990,1840,1680
프레스공장,310,290,270,260,250,230,220,210,180,130
프라스틱제품,990,640,470,360,290,180,150,140,120,120
프라스틱제작,120,110,80,70,70,70,70,70,70,70
프라스틱용기,1830,1720,1670,1610,1510,1330,1220,1110,1000,930
프라스틱식품용기,870,680,630,70,70,70,70,70,70,70
프라스틱성형,800,770,670,560,440,410,340,290,270,200
프라스틱사출,940,820,780,670,560,510,470,410,350,290
프라스틱금형,660,640,550,510,450,350,280,180,130,130
포항캐드,1260,1190,650,600,430,310,230,100,80,70
포트폴리오제작업체,1200,680,420,320,280,240,190,130,120,110
포켓가공,200,70,70,70,70,70,70,70,70,70
포장용기제조업체,940,770,520,70,70,70,70,70,70,70
포장용기업체,1250,1030,850,690,570,500,460,420,380,350
포장업체,3400,2840,2190,1920,1730,1530,1350,1210,1070,1010
포밍금형,90,80,70,70,70,70,70,70,70,70
평택캐드,2500,2410,1860,780,580,420,280,190,90,70
평택CAD,1310,680,460,350,270,190,100,70,70,70
펀딩회사,1010,580,440,320,260,200,130,100,90,80
판금설계,730,500,350,310,290,260,230,200,180,160
파주출판단지인쇄소,110,70,70,70,70,70,70,70,70,70
파주금형,790,120,100,70,70,70,70,70,70,70
파렛트금형,70,70,70,70,70,70,70,70,70,70
테프론사출,250,200,160,100,70,70,70,70,70,70
코어금형,70,70,70,70,70,70,70,70,70,70
코아금형,340,90,90,70,70,70,70,70,70,70
케이스설계,550,490,430,70,70,70,70,70,70,70
케이스사출,310,270,210,70,70,70,70,70,70,70
케이스금형,500,190,170,70,70,70,70,70,70,70
컴퓨터케이스디자인,170,150,110,70,70,70,70,70,70,70
컴퓨터본체디자인,180,140,110,70,70,70,70,70,70,70
컨트롤러제작,440,320,270,210,130,90,80,70,70,70
컨트롤러개발,1310,1260,1210,1100,960,820,760,710,620,510
컨설팅,17040,11930,4190,3490,3080,2700,2420,2190,1980,1810
커넥터금형,190,150,90,70,70,70,70,70,70,70
캡스톤디자인외주,100,70,70,70,70,70,70,70,70,70
캡스톤디자인업체,190,160,110,110,100,90,70,70,70,70
캠핑용품제조,1030,850,750,610,560,520,500,460,420,350
캠핑용품제작,670,650,620,580,530,500,480,450,410,370
캐드설계,4090,3370,2970,2630,2360,2220,2050,1890,1700,1550
칼금형,90,70,70,70,70,70,70,70,70,70
칫솔디자인,790,660,560,500,450,380,300,220,160,120
치수검사,5190,3480,2730,2180,1840,1490,1200,930,690,520
치공구설계,710,570,520,70,70,70,70,70,70,70
초정밀금형,490,200,180,70,70,70,70,70,70,70
초정밀가공,1060,800,580,440,340,240,180,140,100,80
초소형사출기,670,90,90,70,70,70,70,70,70,70
청주플라스틱,400,70,70,70,70,70,70,70,70,70
청주디자인회사,490,360,330,70,70,70,70,70,70,70
청주금형,1070,140,100,70,70,70,70,70,70,70
천안금형,950,100,80,70,70,70,70,70,70,70
주문생산공장,630,340,220,70,70,70,70,70,70,70
제품포장디자인,2480,2020,1790,1660,1490,1410,1340,1240,1150,1020
제품포장,790,720,620,570,530,490,460,420,380,330
제품컨설팅,320,250,150,70,70,70,70,70,70,70
제품제조,580,480,420,70,70,70,70,70,70,70
제품제작의뢰,760,540,430,340,300,250,150,120,110,100
제품제작업체,940,630,470,350,310,250,170,170,150,130
제품제작,2600,2450,2350,2250,2150,2070,1980,1850,1720,1620
제품의뢰,210,170,70,70,70,70,70,70,70,70
제품용기,450,350,180,130,120,110,90,70,70,70
제품역설계,910,560,430,70,70,70,70,70,70,70
제품양산,1290,710,530,70,70,70,70,70,70,70
제품설계및개발,520,360,300,70,70,70,70,70,70,70
제품설계,9970,8880,8190,7800,7440,7110,6780,6440,6130,5780
제품생산,790,690,570,460,400,350,310,260,200,170
제품목업,3250,2820,2750,2670,2430,2170,1970,1860,1770,1700
제품디자인회사,17620,15520,14060,13130,12250,11320,10400,9610,8770,7900
제품디자인목업,1530,1300,1130,1020,840,710,610,580,540,510
제품디자인개발,2960,2330,1700,1440,1310,1100,980,890,780,630
제품기구설계,3550,3470,3290,2990,2850,2680,2610,2480,2390,2250
제품금형,220,200,190,70,70,70,70,70,70,70
제품견적,660,580,450,70,70,70,70,70,70,70
제품개발회사,1040,880,840,810,790,740,730,710,700,690
제품개발프로세스,680,250,220,180,150,130,120,100,80,70
제품개발의뢰,840,780,700,570,560,550,500,440,400,370
제품개발업체,1010,910,850,770,670,630,560,480,430,380
제품개발설계,4020,1800,1430,1240,1040,900,750,630,520,440
제품개발,11000,9060,8030,7440,6900,6500,6020,5420,4960,4600
제조대행,440,230,110,100,90,80,80,70,70,70
제작의뢰,1260,1020,860,650,510,410,360,290,250,240
제작대행,450,370,300,70,70,70,70,70,70,70
정수기목업,310,170,70,70,70,70,70,70,70,70
정수기개발,70,70,70,70,70,70,70,70,70,70
정밀프레스금형,550,230,220,70,70,70,70,70,70,70
정밀사출,130,110,90,70,70,70,70,70,70,70
정밀금형,670,630,560,510,480,440,410,370,320,250
전자제품케이스,380,330,270,210,160,140,130,120,100,80
전자제품제조,890,500,380,320,290,270,230,170,120,90
전자제품제작,820,590,490,430,370,330,320,300,270,260
전자제품생산,150,120,110,70,70,70,70,70,70,70
전자제품디자인,3140,2590,2440,2300,2150,1990,1820,1640,1550,1430
전자제품개발,2970,2750,2560,2250,2020,1860,1740,1490,1190,1060
