keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
금속절단,1320,1000,910,800,650,530,490,450,370,310
워터젯가공,2720,2500,2370,2270,2150,1970,1650,1340,1110,790
워터젯,6810,5790,5270,4790,4370,3810,3180,2530,1770,1120
금속절단기,2430,2060,1780,1530,1360,1230,1130,1020,960,890
파이프밴딩,890,770,650,580,530,470,410,350,280,230
절곡,4170,3620,3360,3140,2880,2580,2300,2120,1970,1810
밴딩,1040,990,940,890,840,800,780,740,700,630
철판절곡,2310,2120,1910,1700,1520,1340,1150,930,780,670
디에스워터젯,70,70,70,70,70,70,70,70,70,70
스텐절곡,1190,1040,940,850,760,710,640,560,480,400
구로철판,760,560,470,390,280,170,140,120,100,90
철판절단,2590,2460,2370,2290,2200,2120,2010,1900,1800,1690
파이프벤딩,1560,1380,980,800,740,670,590,540,490,450
벤딩,1590,1530,1470,1380,1330,1300,1260,1210,1150,1090
POM가공,4710,4470,2200,1780,1410,1110,1050,950,930,830
금속샤링,640,70,70,70,70,70,70,70,70,70
철판가공,4430,3380,3170,2990,2870,2670,2500,2360,2220,2100
워터젯절단,2550,2410,2250,2120,1980,1760,1480,1120,380,100
알루미늄절곡,880,770,670,600,540,500,450,400,350,280
가스켓가공,760,350,320,70,70,70,70,70,70,70
구로철판가공,740,380,260,70,70,70,70,70,70,70
대전철판가공,740,120,100,70,70,70,70,70,70,70
알루미늄절단,4020,3550,3370,3120,2800,2520,2210,2000,1660,1430
절단절곡,3880,3180,2400,2130,2020,1930,1820,1710,1610,1430
플라스틱절단,1010,850,660,510,380,290,240,200,180,140
테프론가공,4460,4380,3940,3720,3520,3190,2760,2260,1880,1580
벤치레스,1960,710,330,290,250,230,160,100,70,70
구미가공,1190,410,70,70,70,70,70,70,70,70
H-BEAM가공,710,170,110,70,70,70,70,70,70,70
WATERJET,790,630,570,510,410,360,310,280,240,210
철판밴딩,870,530,240,190,150,120,100,90,80,70
DS워터젯,70,70,70,70,70,70,70,70,70,70
서스파이프,3570,1120,710,670,560,520,490,450,410,360
티타늄가공,8200,7040,5730,4800,3470,2430,2010,1770,1630,1220
금속절곡,610,580,560,490,390,290,200,130,100,90
알루미늄밴딩,890,540,400,350,280,220,160,100,90,80
스텐절단,1050,1010,970,950,920,860,800,730,620,570
고주파벤딩,540,100,80,80,80,70,70,70,70,70
스테인리스강,360,290,240,190,150,120,100,90,80,70
정밀판금,1690,1390,1240,1180,1120,1050,1010,980,900,830
동판가공,730,580,390,290,210,190,170,130,90,70
S20C,600,440,380,310,250,240,220,190,150,90
V컷팅,3230,1830,1060,840,730,610,530,420,270,180
SUM24,260,240,220,120,70,70,70,70,70,70
흥성철강,240,130,70,70,70,70,70,70,70,70
레이져가공,3690,3440,3150,3100,3050,2990,2850,2670,2530,2430
환봉,6360,4660,2500,2080,1620,1300,900,630,520,470
SUM22,240,200,100,70,70,70,70,70,70,70
김포워터젯,440,400,130,70,70,70,70,70,70,70
베어링강,390,290,250,210,170,130,80,70,70,70
DSWATER,1380,990,560,400,270,140,70,70,70,70
축가공,510,250,120,110,100,80,80,70,70,70
철가공,1070,750,440,270,210,140,100,90,80,70
파이프밴딩기,1790,1620,1310,1230,1150,1010,870,780,710,650
파이프절곡,1040,880,540,480,360,280,220,150,130,110
파이프절단,5700,5400,5210,5110,4950,4660,4360,4070,3670,3130
철판벤딩,1190,990,620,390,320,290,250,200,180,170
STS가공,940,540,480,70,70,70,70,70,70,70
화성워터젯,90,70,70,70,70,70,70,70,70,70
워터젯컷팅,260,230,190,70,70,70,70,70,70,70
티타늄절단,410,370,280,70,70,70,70,70,70,70
스텐레스절단,1580,1530,1460,1350,1180,850,730,590,410,290
워터젯커팅,240,120,110,70,70,70,70,70,70,70
아산절곡,350,160,70,70,70,70,70,70,70,70
SUS절단,2010,1560,1290,840,610,520,450,400,290,170
금속CNC,1120,870,580,440,340,280,210,180,140,110
금속컷팅,1610,750,530,420,370,310,230,210,180,150
스테인레스커팅,640,100,70,70,70,70,70,70,70,70
스텐앵글,1030,900,760,670,580,490,410,340,300,280
공장철골,490,70,70,70,70,70,70,70,70,70
경량철구조,600,490,400,70,70,70,70,70,70,70
건축브라켓,130,80,70,70,70,70,70,70,70,70
스텐프레임,460,360,310,240,200,170,120,100,80,70
철재공장,120,70,70,70,70,70,70,70,70,70
철골작업,14150,1090,630,520,470,410,320,250,180,130
철골업체,1010,610,230,130,80,70,70,70,70,70
철골가공,500,410,190,130,100,70,70,70,70,70
절곡절단,670,150,70,70,70,70,70,70,70,70
빔제작,440,350,250,190,150,110,90,70,70,70
금속프레임,430,350,280,230,190,150,110,90,80,80
실리콘압출기,210,180,160,100,70,70,70,70,70,70
수압절단,610,500,460,400,340,290,220,150,70,70
금속부품제작,170,130,70,70,70,70,70,70,70,70
평철절곡,610,200,100,70,70,70,70,70,70,70
S45C철판,560,70,70,70,70,70,70,70,70,70
무늬철판,2560,2100,1740,1460,980,590,370,280,220,190
정밀절곡,430,70,70,70,70,70,70,70,70,70
대구절단절곡,680,70,70,70,70,70,70,70,70,70
울산철판가공,100,70,70,70,70,70,70,70,70,70
H빔제작,1860,1430,760,470,310,230,190,170,150,120
철물가공,1450,880,80,70,70,70,70,70,70,70
대구철판가공,100,70,70,70,70,70,70,70,70,70
