relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
금속공예자격증,30,90,0.2,0.3,0.57,0.37,6,중간
금속공예,1050,3070,11.3,70.9,1.15,2.52,15,높음
은세공,140,630,3.1,40.0,2.32,6.85,15,높음
금속공예공방,170,610,2.9,19.3,1.68,3.34,13,중간
보석감정사,680,2690,4.5,39.3,0.72,1.58,11,중간
귀금속가공기능사,330,1210,1.7,28.0,0.52,2.43,6,중간
주얼리디자인스쿨,20,50,0.6,4.3,2.37,8.67,10,중간
금속공예재료,90,200,3.9,30.7,4.7,16.4,12,중간
금속공예학원,30,90,1.6,8.0,5.91,8.29,9,중간
주얼리디자이너,260,740,1.2,18.7,0.5,2.7,15,높음
악세사리디자인,40,130,0.7,4.5,1.57,3.85,15,높음
금속공예제작,< 10,< 10,0.0,1.0,0.0,20.0,3,높음
귀금속공예,120,270,1.0,15.7,0.87,6.35,15,높음
보석,9980,22100,4.4,19.3,0.05,0.1,15,중간
보석세공,200,520,0.7,22.6,0.35,4.6,15,높음
귀금속공방,20,70,0.3,0.0,1.67,0.0,3,높음
라이노캐드,530,560,2.5,12.0,0.53,2.32,15,높음
주얼리디자인,170,390,1.7,13.0,1.03,3.69,15,높음
보석세공사,170,580,0.6,11.3,0.37,2.18,11,중간
금속세공,80,230,0.8,9.7,0.88,4.48,13,중간
금속공예과,110,560,0.5,1.0,0.51,0.2,7,중간
세공사,320,830,0.8,5.7,0.26,0.74,5,낮음
주얼리디자인과,80,390,0.4,3.4,0.54,0.95,5,중간
쥬얼리디자인,100,190,0.9,5.8,0.96,3.27,15,높음
보석디자인,70,180,0.9,9.1,1.4,5.4,14,중간
보석가공기능사,90,340,0.7,8.9,0.77,2.77,3,낮음
주얼리디자인학과,10,60,0.0,0.3,0.0,0.58,8,중간
왁스카빙,460,1320,3.3,18.3,0.75,1.51,14,높음
귀금속가공,50,120,0.1,1.0,0.25,0.89,15,높음
보석디자이너,140,570,0.8,16.0,0.58,2.97,12,중간
부산보석학원,10,40,0.0,2.7,0.0,6.82,3,낮음
금속공예취미,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
귀금속세공,50,170,0.1,5.8,0.28,3.62,15,높음
세공학원,< 10,50,0.4,0.0,4.45,0.0,5,중간
레진공예자격증,130,570,4.5,43.3,3.58,8.26,12,중간
보석공예,110,610,1.6,24.7,1.47,4.31,15,높음
금속공예국비지원,< 10,10,1.0,1.0,20.0,100.0,1,중간
레진아트자격증,160,740,5.4,80.5,3.6,11.91,14,높음
주얼리캐드,80,190,2.4,8.6,3.25,4.77,6,중간
보석학원,40,150,0.9,6.4,2.32,4.36,8,중간
귀금속공예학원,10,20,1.2,0.3,11.91,1.52,8,중간
금세공,230,940,2.0,28.7,0.91,3.28,15,높음
국비지원금속공예,10,10,1.0,0.0,25.0,0.0,1,중간
쥬얼리공예,30,140,0.5,11.0,1.85,7.92,15,높음
주얼리학원,80,150,5.3,17.1,7.99,11.79,9,중간
귀금속학과,10,30,0.4,0.0,4.77,0.0,3,높음
금속공예학과,30,120,0.0,0.0,0.0,0.0,3,높음
주얼리공예,40,140,0.3,5.8,0.98,4.26,15,높음
보석감정,80,210,0.5,2.3,0.67,1.09,13,중간
금속공예품,< 10,20,0.3,1.7,3.48,7.58,13,중간
금속공구,10,60,0.0,4.5,0.0,7.63,6,중간
목걸이만들기,310,2150,5.5,100.6,1.87,5.04,15,중간
쥬얼리만들기,20,110,0.1,4.3,0.61,3.98,15,높음
보석가공,50,110,0.7,1.8,1.28,1.79,14,높음
보석감정사학원,30,120,3.0,8.2,8.61,6.91,4,낮음
귀금속학원,10,60,1.7,5.3,13.93,7.84,7,중간
실버공예,30,120,0.5,5.0,2.03,4.43,13,중간
국비직업훈련학교,10,30,0.5,1.0,2.92,2.64,15,높음
금속공예체험,< 10,20,0.4,0.0,7.7,0.0,3,높음
은공예학원,< 10,10,0.0,0.7,0.0,8.0,3,낮음
주얼리코디네이터,60,180,0.0,1.3,0.0,0.75,3,높음
쥬얼리디자인과,20,70,0.0,0.3,0.0,0.52,3,높음
악세사리공방,120,620,1.4,16.0,1.25,2.71,15,높음
귀금속디자인,10,80,0.2,2.8,1.89,3.49,14,높음
귀금속공예과,10,20,0.0,0.0,0.0,0.0,3,낮음
은팔찌만들기,50,470,0.7,29.7,1.17,6.73,15,높음
귀금속자격증,10,70,0.0,0.0,0.0,0.0,3,낮음
악세사리학원,10,60,0.9,6.5,5.53,11.02,12,중간
금속공예취업,< 10,10,0.0,0.0,0.0,0.0,3,높음
금속제품제작,< 10,< 10,0.0,0.4,0.0,5.27,3,높음
은공예클래스,10,20,0.4,0.0,3.13,0.0,2,중간
금속공예대학,< 10,10,0.0,0.0,0.0,0.0,0,낮음
금속공예클래스,30,60,1.7,0.0,5.75,0.0,3,높음
금속시공,20,40,1.3,1.8,5.15,4.07,14,높음
은공예창업,< 10,10,0.0,0.0,0.0,0.0,1,중간
귀금속가공기능사필기,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
금속공예가,90,130,0.0,0.0,0.0,0.0,3,높음
보석디자인과,< 10,20,0.0,0.0,0.0,0.0,3,높음
보석세팅,20,90,0.0,0.7,0.0,0.83,3,높음
은공예자격증,< 10,60,0.7,0.7,11.12,1.2,3,높음
은공예체험,< 10,10,0.8,0.0,15.39,0.0,3,높음
은반지공예,30,250,0.5,2.0,1.36,0.85,10,중간
조각세팅,< 10,20,1.0,0.0,20.0,0.0,1,중간
주얼리왁스카빙,10,10,0.0,0.0,0.0,0.0,1,중간
주얼리캐스팅,< 10,< 10,0.0,0.0,0.0,0.0,1,중간
쥬얼리세공,20,40,0.4,0.3,1.74,0.78,14,높음
홍대화수분,< 10,20,1.0,0.0,20.0,0.0,1,중간
귀금속가공산업기사,90,200,1.0,1.3,1.18,0.71,5,중간
귀금속과,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
은세공공방,< 10,20,0.0,0.0,0.0,0.0,1,중간
금속공예수업,< 10,20,0.0,0.3,0.0,1.24,3,높음
은공예공방,20,40,0.0,0.0,0.0,0.0,3,높음
은공예배우기,< 10,20,0.2,0.7,3.28,2.9,9,중간
금속공예배우기,10,40,0.8,0.0,6.39,0.0,7,중간
금속공예공구,10,40,0.6,4.5,3.68,9.24,8,중간
금은세공,20,90,0.2,2.5,0.8,2.75,13,중간
귀금속세공사,20,60,0.0,2.0,0.0,3.28,3,높음
은점토,250,1060,4.2,27.8,1.79,2.73,9,중간
원석가공,40,100,2.7,1.7,5.68,1.75,3,높음
한울공방,20,70,0.0,0.0,0.0,0.0,1,중간
한울귀금속학원,< 10,10,0.0,0.0,0.0,0.0,1,중간
주얼리만들기,10,80,0.0,1.8,0.0,2.25,15,높음
금속디자인,30,110,0.3,1.5,0.93,1.33,15,높음
귀금속세공학원,< 10,10,0.0,0.0,0.0,0.0,5,중간
귀금속가공기능사실기,20,70,0.0,0.5,0.0,0.78,2,중간
공예공방,50,120,0.3,2.0,0.63,1.69,3,높음
금속공예전망,< 10,10,0.0,0.6,0.0,5.89,1,중간
쥬얼리일러스트,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
주얼리포트폴리오,30,20,0.3,0.0,1.02,0.0,3,높음
주얼리취업,10,20,0.3,0.3,2.44,1.67,7,중간
주얼리유학,10,< 10,0.1,0.0,0.73,0.0,12,중간
주얼리세공,10,60,0.3,3.0,1.54,4.69,15,높음
주얼리디자인유학,< 10,10,0.1,0.0,1.34,0.0,15,높음
