relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
CNC,5740,7910,21.5,88.8,0.41,1.22,15,중간
CNC가공,1770,1970,17.0,22.0,1.05,1.23,15,중간
CNC조각기,1100,1300,29.9,36.9,3.05,3.14,15,높음
CNC교육,70,80,2.8,5.3,4.12,6.93,15,높음
조각기,690,1010,5.8,8.7,0.93,0.93,15,중간
수원캐드학원,200,200,5.7,17.4,3.09,8.88,15,높음
CNCG코드,530,800,1.0,0.0,0.21,0.0,4,낮음
CNC라우터,300,260,15.1,12.4,5.41,5.2,15,높음
금속가공,560,480,13.0,10.8,2.52,2.33,15,높음
MCT교육,40,40,1.1,3.0,2.71,7.7,15,높음
CNC선반,2830,4720,22.0,97.8,0.85,2.27,15,중간
선반가공,880,1490,5.1,21.5,0.65,1.53,15,중간
머시닝센터,1470,1470,7.7,30.3,0.57,2.26,15,중간
인서트,3380,5360,14.4,28.8,0.47,0.57,15,중간
레이저조각기,980,900,17.3,27.6,1.95,3.34,15,중간
CNC자격증,70,150,0.8,0.3,1.16,0.24,8,중간
CNC밀링,530,660,2.7,13.0,0.58,2.14,15,중간
정밀가공,260,150,4.1,2.0,1.73,1.36,15,높음
공작기계,1740,1360,12.3,24.3,0.79,1.92,15,중간
오토캐드인강,190,140,7.5,13.2,4.33,10.74,15,높음
프레스금형설계,120,100,1.1,2.0,1.03,2.05,15,높음
레이저컷팅기,640,1120,11.8,32.7,1.98,3.11,15,중간
머시닝센터교육,20,20,0.7,0.0,3.12,0.0,12,중간
레이저커팅기,1990,2950,21.8,54.7,1.2,2.01,15,높음
리벳,4360,6690,33.9,79.8,0.84,1.28,15,중간
아크릴스카시,1380,1390,37.1,48.5,2.93,3.79,15,중간
아크릴박스,2600,5760,62.7,207.0,2.62,3.9,15,중간
CNC선반교육,30,30,2.2,0.3,6.74,1.15,6,중간
CNC가공업체,110,100,3.0,6.7,3.04,7.5,15,높음
컴퓨터응용가공산업기사,1090,1370,2.7,11.0,0.27,0.83,15,중간
컴퓨터응용선반기능사,730,1150,1.4,6.8,0.21,0.62,15,중간
수원캐드,30,60,1.6,7.4,5.0,11.77,15,높음
레이저각인기,2330,5060,21.7,63.3,1.04,1.42,15,중간
사출금형산업기사,270,310,0.8,2.8,0.31,0.94,14,중간
자동선반,280,320,5.1,5.0,1.87,1.64,15,높음
절삭가공,540,290,2.8,3.0,0.55,1.12,15,높음
사출금형설계기사,80,90,0.3,1.5,0.4,1.67,13,중간
MCT가공,790,1110,5.9,22.0,0.82,2.12,15,중간
CNC기계,190,260,3.3,11.5,1.82,4.8,15,중간
