relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
금속가공,560,480,13.0,10.8,2.52,2.33,15,높음
시제품제작,1550,680,32.6,33.8,2.14,5.54,15,중간
정밀가공,260,150,4.1,2.0,1.73,1.36,15,높음
판금,2490,5330,14.3,23.7,0.65,0.49,15,중간
프레스금형,930,710,17.5,12.3,2.15,1.91,15,중간
타공판,8190,19800,116.2,333.3,1.54,1.8,15,중간
스텐절곡,380,840,10.3,20.8,2.91,2.64,15,높음
판금가공,150,60,1.1,2.0,0.64,3.08,15,높음
레이져가공,10,< 10,0.3,0.0,2.67,0.0,15,높음
철판가공,580,990,15.4,40.8,2.87,4.47,15,높음
타공철판,430,610,19.9,41.5,5.11,7.46,15,높음
알루미늄절곡,220,190,4.2,3.5,2.06,1.95,15,중간
철판절곡,490,750,8.3,21.5,1.86,3.04,15,높음
정밀부품,20,< 10,0.0,0.0,0.0,0.0,15,높음
형강,1310,1020,13.1,13.3,1.14,1.63,15,높음
기계가공,310,230,2.0,3.3,0.72,1.48,15,중간
국기봉,820,1950,13.2,34.0,1.72,1.86,15,중간
플라스틱제작,360,500,14.1,33.3,4.26,7.1,15,높음
태양광구조물,360,150,10.1,7.7,3.06,5.3,15,높음
레이저절단,450,400,9.1,10.8,2.2,2.85,15,중간
절곡,1810,2120,10.5,26.3,0.64,1.36,15,중간
프레스가공,450,280,11.0,6.5,2.56,2.42,15,높음
아크릴가공,1120,980,41.9,40.5,4.11,4.48,15,중간
기어가공,250,200,9.2,18.0,4.09,8.66,15,중간
시제품제작업체,170,200,5.7,14.5,3.66,7.72,15,높음
스텐타공판,720,1660,34.8,88.7,5.05,5.75,15,높음
절단절곡,200,500,3.8,11.3,2.16,2.45,15,중간
NCT가공,240,220,6.7,8.3,3.04,4.15,15,높음
K-STARTUP,5830,960,6.6,0.3,0.13,0.04,5,낮음
목업제작,340,110,6.8,5.6,2.37,5.39,15,높음
포스맥,1180,860,23.9,44.5,2.24,5.65,15,높음
판금업체,50,20,3.8,2.3,7.04,10.61,15,높음
제조업체,460,300,3.5,4.0,0.8,1.44,15,높음
절곡기,1470,1330,16.5,53.7,1.21,4.25,15,중간
타공망,470,520,20.3,25.0,4.85,5.28,15,높음
CNC가공,1770,1970,17.0,22.0,1.05,1.23,15,중간
사각파이프조인트,990,1880,29.9,117.7,3.28,6.71,13,중간
정밀판금,80,30,4.3,2.7,5.74,7.85,15,중간
지주간판,940,640,29.9,21.3,3.52,3.49,15,높음
기계부품,260,170,5.9,6.3,2.42,3.99,15,높음
금형부품,160,80,7.7,2.0,5.4,2.57,15,높음
목업사이트,1690,120,4.7,2.0,0.31,2.03,15,높음
아이디어상품제작,30,40,1.5,0.8,4.79,1.98,15,높음
펀칭메탈,330,180,11.8,8.8,3.9,4.66,14,중간
제관,1230,1280,5.0,10.5,0.45,0.9,15,높음
C형강,1950,1870,32.3,61.3,1.8,3.53,15,중간
아이디어제품,460,430,2.0,6.8,0.46,1.67,15,높음
알루미늄가공,620,420,15.3,8.5,2.72,2.2,15,높음
시제품제작지원사업,120,100,1.3,3.3,1.24,3.59,15,높음
펀칭,990,1500,2.7,8.0,0.31,0.58,15,높음
현수막게시대,660,350,19.2,20.8,3.25,6.22,15,높음
철공소,880,2540,12.3,84.3,1.55,3.61,15,높음
선반가공,880,1490,5.1,21.5,0.65,1.53,15,중간
금속절곡,40,110,0.8,0.3,1.93,0.32,13,중간
알곤용접,1420,3910,7.1,84.3,0.54,2.32,15,중간
국기게양대,1470,1350,25.4,36.5,1.9,2.89,15,높음
구로철판,990,1320,16.1,45.0,1.77,3.74,15,높음
철판레이저,50,50,0.8,0.8,1.47,1.54,13,중간
철판절단,240,350,3.1,4.8,1.42,1.43,15,높음
철제프레임,730,1730,12.1,51.1,1.8,3.29,15,높음
휴대폰목업,270,240,14.4,11.0,5.58,5.17,15,중간
케이스타트업,4760,1950,3.4,0.0,0.08,0.0,3,낮음
레이저커팅,1120,1350,12.1,16.8,1.19,1.35,15,높음
