relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
금속공예학과,30,120,0.0,0.0,0.0,0.0,3,높음
금속공예,1080,3070,11.3,70.9,1.15,2.52,15,높음
쥬얼리공방,50,230,0.9,9.8,2.06,4.63,15,높음
은공방,150,960,1.4,27.0,0.97,3.04,15,높음
주얼리디자인스쿨,30,50,0.6,4.3,2.37,8.67,10,중간
주얼리학원,80,150,5.3,17.1,7.99,11.79,9,중간
제품디자인과,70,230,0.3,1.3,0.4,0.59,15,높음
보석감정사,680,2680,4.5,39.3,0.72,1.58,11,중간
시각디자인학과,1540,4720,3.5,24.8,0.26,0.58,15,중간
금속공예과,110,550,0.5,1.0,0.51,0.2,7,중간
영상디자인과,100,170,0.0,0.5,0.0,0.31,15,높음
은판,100,250,3.4,10.5,3.47,4.31,13,중간
귀금속가공기능사,330,1200,1.7,28.0,0.52,2.43,6,중간
산업디자인학과,970,3480,1.0,2.0,0.12,0.07,15,중간
보석감정사학원,30,120,3.0,8.2,8.61,6.91,4,낮음
그래픽디자인과,40,190,0.1,1.3,0.16,0.74,15,높음
사진전공,40,120,0.1,2.3,0.17,1.83,15,높음
주얼리디자이너,270,750,1.2,18.7,0.5,2.7,15,높음
주얼리아카데미,< 10,10,0.5,0.0,13.64,0.0,6,중간
악세사리학원,10,60,0.9,6.5,5.53,11.02,12,중간
국비직업훈련학교,20,30,0.5,1.0,2.92,2.64,15,높음
악세사리디자인,40,130,0.7,4.5,1.57,3.85,15,높음
보석학원,40,150,0.9,6.4,2.32,4.36,8,중간
귀금속공예학원,10,20,1.2,0.3,11.91,1.52,8,중간
컴퓨터디자인학과,60,190,0.0,1.3,0.0,0.79,14,높음
영상미디어과,30,50,0.0,0.7,0.0,1.24,13,중간
가구학과,10,40,0.0,0.0,0.0,0.0,1,중간
주얼리공예,30,140,0.3,5.8,0.98,4.26,15,높음
악세사리공방,130,620,1.4,16.0,1.25,2.71,15,높음
보석,10000,22100,4.4,19.3,0.05,0.1,15,중간
금속공예재료,80,210,3.9,30.7,4.7,16.4,12,중간
보석디자이너,150,590,0.8,16.0,0.58,2.97,12,중간
보석세공,200,530,0.7,22.6,0.35,4.6,15,높음
제품디자인회사,960,330,20.2,19.6,2.31,6.15,15,중간
귀금속공예,120,270,1.0,15.7,0.87,6.35,15,높음
라이노캐드,540,550,2.5,12.0,0.53,2.32,15,높음
주얼리디자인,180,380,1.7,13.0,1.03,3.69,15,높음
보석세공사,170,600,0.6,11.3,0.37,2.18,11,중간
악세사리제작,120,270,2.6,22.5,2.37,9.0,15,높음
방송미디어학과,90,330,0.4,0.3,0.49,0.11,11,중간
광고편집학과,< 10,10,0.0,0.0,0.0,0.0,3,높음
귀금속공예실기,< 10,10,0.0,0.4,0.0,3.23,3,높음
금속공예기법,30,70,0.0,0.0,0.0,0.0,3,높음
악세사리만들기,290,1480,5.8,47.8,2.22,3.53,15,중간
쥬얼리공예,30,140,0.5,11.0,1.85,7.92,15,높음
주얼리디자인과,80,380,0.4,3.4,0.54,0.95,5,중간
금속공예학원,30,90,1.6,8.0,5.91,8.29,9,중간
보석디자인,70,170,0.9,9.1,1.4,5.4,14,중간
쥬얼리디자인,100,190,0.9,5.8,0.96,3.27,15,높음
귀금속디자인,10,80,0.2,2.8,1.89,3.49,14,높음
세공사,330,830,0.8,5.7,0.26,0.74,5,낮음
은공예학원,< 10,10,0.0,0.7,0.0,8.0,3,낮음
주얼리디자인학과,10,50,0.0,0.3,0.0,0.58,8,중간
왁스카빙,470,1300,3.3,18.3,0.75,1.51,14,높음
