relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
알루미늄가공,620,420,15.3,8.5,2.72,2.2,15,높음
알루미늄구조물,40,20,1.1,1.7,2.49,8.34,15,높음
레이저용접,460,520,5.1,15.7,1.24,3.3,15,높음
알루미늄파이프,2950,4270,109.5,174.5,4.02,4.41,15,중간
시제품제작,1550,680,32.6,33.8,2.14,5.54,15,중간
워터젯,1150,1880,16.1,34.5,1.56,1.99,15,높음
레이저용접기,900,2010,26.0,91.2,3.2,5.4,15,중간
알루미늄명판,700,500,22.1,23.3,3.56,5.06,15,높음
아크릴명판,1190,810,28.3,30.5,2.58,4.06,15,높음
목업,7080,6200,20.2,30.3,0.32,0.53,15,중간
MCT가공,790,1110,5.9,22.0,0.82,2.12,15,중간
장식볼트,80,70,3.4,4.3,4.49,6.86,15,중간
선반다보,310,770,3.1,0.8,1.11,0.11,14,중간
CNC가공,1770,1970,17.0,22.0,1.05,1.23,15,중간
유리다보,260,480,7.1,14.5,2.97,3.33,15,높음
중고CNC라우터,10,10,0.7,0.0,5.13,0.0,3,높음
디에스워터젯,130,60,42.0,1.0,37.5,2.95,1,낮음
벤딩기중고,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
워터젯가공,250,190,6.2,15.4,2.57,7.75,15,중간
알루미늄가공업체,120,80,7.7,5.0,6.34,6.67,15,높음
알미늄파이프,370,560,19.1,45.3,5.55,8.43,15,높음
알미늄명판,30,10,1.1,0.3,3.78,2.39,15,높음
알루미늄각파이프,750,920,28.1,45.5,4.0,5.27,14,중간
목업제작,340,110,6.8,5.6,2.37,5.39,15,높음
알루미늄조각,60,20,2.6,1.3,5.08,4.77,15,높음
알루미늄판재,820,720,30.0,35.0,4.01,5.4,15,중간
나무조각기,10,40,0.0,0.0,0.0,0.0,13,중간
중고벤딩기,20,60,1.8,2.7,9.45,4.05,9,중간
기계명판,110,40,3.4,3.0,3.19,7.5,15,높음
유리브라켓,380,450,9.1,18.3,2.54,4.75,15,높음
알미늄,800,1150,12.6,21.8,1.69,2.02,15,높음
CNC부품,40,30,1.1,1.3,3.11,4.17,13,중간
펜던트제작,90,360,4.5,42.5,5.39,13.24,15,높음
알루미늄인쇄,70,40,4.3,1.8,6.63,4.17,15,높음
회사명판,2530,1710,35.7,50.3,1.55,3.21,15,높음
알루미늄바,560,620,10.7,26.0,2.08,4.53,15,높음
아크릴조각,110,150,5.6,8.5,5.67,6.3,15,높음
다보장식,30,10,1.9,1.3,6.13,10.42,9,중간
지그제작,320,200,14.9,15.8,4.96,8.21,15,높음
신발진열대,130,560,3.7,17.8,2.92,3.41,15,높음
CAM프로그램,170,50,1.4,0.0,0.88,0.0,10,중간
CNC조각기,1100,1300,29.9,36.9,3.05,3.14,15,높음
알루미늄봉,610,780,9.1,27.0,1.6,3.82,15,높음
실크인쇄,2250,1420,52.8,50.0,2.56,3.81,15,중간
아크릴부속,30,30,2.9,0.0,8.46,0.0,8,중간
유리잡이,20,< 10,0.6,0.3,2.81,4.17,10,중간
부식,3430,4380,6.8,15.0,0.22,0.37,15,중간
액자부속,40,60,2.4,0.0,5.71,0.0,11,중간
플라스틱가공,300,280,10.3,11.0,3.74,4.32,15,높음
알루미늄파이프규격,280,80,4.7,2.3,1.74,2.65,15,중간
부품가공,70,30,4.1,2.0,5.83,6.25,15,높음
레이져용접기,380,1020,14.7,38.5,4.48,4.51,15,높음
알루미늄CNC가공,150,130,3.5,1.8,2.48,1.48,15,높음
CNC절곡기,30,30,1.9,2.3,6.0,5.93,15,높음
스피커DIY,140,220,1.6,2.0,1.25,1.0,10,중간
CNC라우터,300,260,15.1,12.4,5.41,5.2,15,높음
부식명판,160,50,4.3,3.6,3.1,6.97,15,높음
채널벤딩기,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
아크릴번호판,90,170,2.6,11.0,2.82,6.59,15,높음
소형CNC,130,130,2.7,5.5,2.24,4.2,15,높음
책상만들기,250,900,3.4,50.5,1.58,6.02,15,높음
스텐부식,280,190,14.1,8.8,5.46,4.98,15,높음
CNC가공기,40,30,0.3,0.3,0.93,0.87,15,높음
라우터중고,< 10,10,1.3,0.0,22.23,0.0,3,높음
CNC프로그램,160,130,0.7,0.0,0.45,0.0,15,높음
실사출력기,280,360,9.0,20.3,3.58,6.11,15,높음
수납장만들기,120,540,2.1,10.8,1.96,2.24,15,높음
다보볼트,290,260,6.6,5.3,2.63,2.06,15,높음
실크스크린,2930,4480,14.3,50.0,0.54,1.2,15,높음
명판조각,40,20,1.6,0.0,4.74,0.0,15,높음
아크릴가공,1120,980,41.9,40.5,4.11,4.48,15,중간
레이저각인기,2330,5060,21.7,63.3,1.04,1.42,15,중간
CNC조각,80,70,1.2,1.3,1.5,1.9,15,높음
명판,7110,5100,39.0,38.0,0.6,0.81,15,중간
액자받침,180,550,1.3,1.3,0.82,0.25,15,높음
플라스틱다보,20,50,0.6,1.0,2.49,2.5,10,중간
명판인쇄,90,40,4.3,2.7,5.04,7.21,15,높음
사각파이프조인트,990,1880,29.9,117.7,3.28,6.71,13,중간
평판컷팅기,130,70,7.7,5.3,5.9,7.73,15,높음
지그,3530,4830,10.1,44.7,0.32,1.01,15,중간
디자인업체,510,230,17.3,10.5,3.72,4.98,15,높음
스텐가공,150,230,6.9,12.8,5.21,5.85,15,높음
알미늄가공,40,20,2.6,0.7,6.05,2.9,15,높음
금속가공,560,480,13.0,10.8,2.52,2.33,15,높음
원목주문제작,120,400,5.0,13.5,4.21,3.77,15,높음
원목공방,140,660,3.5,27.3,2.48,4.45,15,중간
DS워터젯,30,10,10.0,0.0,45.46,0.0,1,중간
운동기구제작,30,20,1.6,2.5,5.77,10.87,15,높음
알루미늄CNC,80,90,2.9,2.0,3.34,2.33,14,높음
MOCKUP,3860,2870,5.0,0.0,0.15,0.0,15,중간
소형레이저각인기,620,1520,4.5,24.3,0.8,1.74,15,중간
조각명판,10,10,1.2,0.3,8.46,1.97,14,높음
폼보드재단,100,130,3.9,3.3,4.56,2.76,13,중간
수납장DIY,100,280,2.8,3.5,2.91,1.32,15,높음
알루미늄사각파이프,430,490,14.1,25.3,3.62,5.42,14,중간
유리문부속,10,10,0.5,0.0,5.83,0.0,11,중간
석재가공,160,220,7.1,17.3,4.71,8.3,15,높음
컨테이너철판,40,110,1.5,4.7,4.05,4.5,5,중간
파이프레이져,< 10,< 10,0.3,0.0,16.67,0.0,15,높음
인조대리석가공,60,90,2.2,1.3,4.77,1.45,15,높음
알미늄다보,10,< 10,0.7,2.3,11.54,32.15,9,중간
아크릴간판,2650,5530,76.4,187.0,3.17,3.63,15,중간
나무글씨,70,240,2.9,4.8,3.93,2.06,15,높음
레이저조각기,980,900,17.3,27.6,1.95,3.34,15,중간
WATERJET,180,130,1.1,0.5,0.66,0.41,15,높음
알류미늄파이프,30,70,0.7,0.5,2.0,0.68,12,중간
제품설계,420,140,4.1,3.0,1.1,2.1,15,중간
유리고정부속,< 10,20,0.5,1.7,5.84,8.34,13,중간
치공구,1460,1070,3.5,7.0,0.26,0.72,15,중간
DSWATER,50,20,0.7,0.0,1.34,0.0,8,중간
서랍장만들기,170,590,3.1,29.5,1.87,5.65,15,중간
5축가공,350,180,5.9,2.5,1.76,1.49,15,높음
샘플제작,190,210,6.1,12.0,3.34,5.89,15,높음
아크릴재단업체,80,140,3.8,13.3,5.03,10.6,14,높음
