relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
철,4330,10300,0.7,2.0,0.02,0.03,3,높음
구리분말,20,40,1.8,2.7,8.02,7.62,14,높음
갈륨,820,2280,1.5,1.8,0.2,0.09,15,높음
니켈폼,30,< 10,1.4,0.0,4.15,0.0,5,중간
폴리카보네이트판,110,120,3.1,1.5,2.95,1.57,15,높음
나일론필름,50,10,0.7,0.0,1.54,0.0,10,중간
알루미늄하니컴,20,< 10,3.4,0.0,17.86,0.0,1,중간
니켈와이어,20,20,1.3,0.3,6.97,1.52,9,중간
PVDFFILM,< 10,< 10,0.3,0.0,6.67,0.0,3,높음
PUFOAM,110,40,0.0,0.0,0.0,0.0,2,중간
PS,10400,18700,4.7,10.7,0.05,0.07,15,중간
니켈봉,10,< 10,1.0,0.0,7.15,0.0,3,높음
POLYCARBONATESHEET,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
니켈파우더,30,10,1.2,0.0,5.79,0.0,15,높음
나일론6,110,120,0.2,0.0,0.16,0.0,6,중간
금속소재,50,30,0.4,0.0,0.67,0.0,11,중간
POLYSTYRENE,920,560,0.3,0.0,0.04,0.0,6,중간
니켈분말,10,10,0.2,0.7,1.7,3.93,14,높음
POLYMETHYLMETHACRYLATE,140,30,0.0,0.0,0.0,0.0,3,높음
구리박판,< 10,< 10,0.3,0.3,6.67,8.34,3,높음
니켈메쉬,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
PBT,1730,1790,0.4,0.3,0.03,0.02,15,높음
PETSHEET,30,10,0.3,0.0,1.1,0.0,3,높음
PMMASHEET,10,< 10,0.4,0.0,3.04,0.0,3,높음
망간판,< 10,< 10,0.0,0.0,0.0,0.0,1,중간
POLYETHYLENE,1070,650,0.8,0.0,0.09,0.0,4,낮음
카본분말,10,10,2.0,0.7,16.67,3.51,7,중간
PEEKFILM,10,< 10,0.5,0.0,3.04,0.0,2,중간
EPDMSHEET,< 10,< 10,0.4,0.0,5.56,0.0,2,중간
POLYAMIDE,1050,900,1.2,0.3,0.13,0.04,11,중간
루비듐,260,560,0.3,0.0,0.14,0.0,3,높음
생분해,900,800,3.3,10.5,0.39,1.39,15,중간
의료용플라스틱,40,10,1.3,0.0,3.04,0.0,3,낮음
폴리메틸메타크릴레이트,110,60,0.4,0.0,0.33,0.0,3,높음
폴리에틸렌튜브,10,< 10,0.2,0.0,1.54,0.0,4,낮음
폴리테트라플루오로에틸렌,110,30,1.2,0.0,1.07,0.0,3,높음
BERYLLIA,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
DURATEC,10,10,0.4,0.0,4.0,0.0,3,높음
FEPPIPE,< 10,< 10,0.0,0.0,0.0,0.0,1,중간
HALAR,10,20,0.0,0.0,0.0,0.0,1,중간
LDPEFILM,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
MUSCOVITEMICA,< 10,10,1.0,0.0,11.12,0.0,1,중간
PAN,2770,6490,0.8,3.4,0.04,0.06,12,중간
PEEKROD,10,< 10,0.9,0.0,7.7,0.0,4,낮음
PEKK,10,10,0.4,0.0,2.95,0.0,2,중간
PFAPIPE,10,< 10,2.7,0.0,16.67,0.0,2,중간
PISHEET,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
PLLA,200,170,2.3,0.0,1.23,0.0,3,높음
POLYETHERETHERKETONE,80,20,0.0,0.0,0.0,0.0,3,높음
POLYETHERIMIDE,50,20,0.7,0.0,1.43,0.0,3,높음
POLYLATICACID,40,< 10,1.0,0.0,2.71,0.0,1,중간
PPFILM,20,10,0.0,0.0,0.0,0.0,2,중간
PPSFILM,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
PSFILM,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
PUFILM,< 10,< 10,0.0,0.0,0.0,0.0,1,중간
PUSHEET,< 10,< 10,0.7,0.0,14.29,0.0,1,중간
PVDFSHEET,< 10,< 10,1.1,0.0,27.28,0.0,3,높음
QUARTZPOWDER,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
SILICONELASTOMER,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
SODALIMEGLASS,100,30,0.3,0.0,0.36,0.0,3,높음
TITANIUMMESH,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
구리튜브,30,10,1.4,0.0,4.67,0.0,8,중간
구리폼,10,< 10,0.7,0.4,7.41,7.7,3,높음
금분말,< 10,10,0.7,0.5,33.34,4.17,3,높음
나일론판,10,10,0.7,0.3,4.77,3.34,3,높음
납튜브,< 10,10,0.0,0.0,0.0,0.0,1,중간
PMMAFILM,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
POLYCARBONATEFILM,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
ARFILM,60,50,2.0,0.0,4.35,0.0,1,중간
UVCUTFILM,< 10,< 10,1.0,0.0,14.29,0.0,1,중간
ANTIGLAREFILM,< 10,< 10,1.0,0.0,25.0,0.0,1,중간
AGFILM,10,< 10,0.5,0.0,3.58,0.0,2,중간
테플론필름,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
PTFEPOWDER,< 10,< 10,0.3,0.0,5.56,0.0,3,높음
PEEKTUBING,< 10,< 10,0.0,0.7,0.0,22.23,3,높음
PTFEROD,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
INDOMET,< 10,< 10,1.0,0.0,25.0,0.0,1,중간
QUARTZCRUCIBLE,10,< 10,0.0,0.0,0.0,0.0,3,높음
철파우더,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
NYLON66,110,60,0.3,0.0,0.26,0.0,14,높음
POLYOXYMETHYLENE,60,10,0.0,0.4,0.0,3.23,3,높음
MGOPOWDER,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
ALUMINABALL,10,< 10,0.0,0.0,0.0,0.0,3,높음
백금와이어,10,10,0.6,0.0,3.11,0.0,8,중간
마그네슘봉,10,30,0.2,0.0,1.18,0.0,11,중간
ABSSHEET,10,< 10,0.8,0.0,5.41,0.0,3,높음
NYLONTUBE,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
POLYETHYLENETEREPHTHALATE,480,130,0.0,0.0,0.0,0.0,3,높음
POLYSULFONE,80,50,0.0,0.0,0.0,0.0,3,높음
고순도금속,< 10,< 10,0.3,0.0,16.67,0.0,3,높음
금선,80,320,0.0,0.4,0.0,0.13,3,높음
니켈볼,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
TEFLONTAPE,70,50,0.3,0.7,0.47,1.37,3,높음
PTFETAPE,10,< 10,0.3,0.0,2.57,0.0,3,높음
PTFEPLATE,< 10,< 10,0.0,0.0,0.0,0.0,1,중간
PTFEJOINTSEALANT,< 10,< 10,1.0,0.0,20.0,0.0,1,중간
납분말,< 10,10,0.3,1.0,4.17,9.1,3,높음
ALUMINAPOWDER,20,< 10,1.0,0.0,5.0,0.0,3,높음
FEP튜브,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
PPTUBE,10,< 10,0.3,0.0,3.04,0.0,3,높음
SUPERWOOL,20,20,1.3,0.5,5.27,2.47,5,중간
니오븀,160,140,0.8,1.0,0.61,0.76,13,중간
NIOBIUM,110,60,0.0,0.0,0.0,0.0,3,높음
금속와이어,30,30,1.4,0.7,3.85,1.91,5,중간
NYLON6,80,80,0.0,0.0,0.0,0.0,3,높음
PTFE호스,30,10,1.4,0.3,4.35,4.17,12,중간
철분말,30,30,1.3,0.3,4.57,0.93,11,중간
PEEKTUBE,< 10,< 10,0.8,0.0,8.96,0.0,7,중간
PTFEPIPE,10,< 10,0.3,0.0,4.17,0.0,3,높음
KAPTONFILM,< 10,< 10,1.1,0.0,15.39,0.0,6,중간
FEPFILM,20,< 10,2.8,0.0,18.61,0.0,3,낮음
RUBBERSHEET,40,20,0.5,0.0,1.38,0.0,7,중간
베릴륨,960,2270,0.6,0.0,0.07,0.0,14,중간
POLYPROPYLENE,1360,510,0.0,0.0,0.0,0.0,3,높음
ABS봉,50,20,1.9,0.0,3.5,0.0,15,높음
마그네슘파우더,40,170,0.2,0.3,0.54,0.16,15,높음
FUSEDSILICA,130,60,0.8,0.0,0.69,0.0,9,중간
ZIRCONIA,280,300,0.5,0.0,0.18,0.0,15,높음
QUARTZPLATE,10,< 10,0.9,0.0,6.88,0.0,12,중간
PTFESHEET,20,< 10,0.8,0.0,4.37,0.0,13,중간
