relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
플라스틱가공,300,280,10.3,11.0,3.74,4.32,15,높음
목업가공,10,< 10,0.0,0.0,0.0,0.0,15,높음
시제품제작,1550,680,32.6,33.8,2.14,5.54,15,중간
SUS,4540,5170,14.7,3.0,0.36,0.07,15,중간
플라스틱사출,1390,1690,35.9,55.8,2.87,3.47,15,높음
수지가공,180,170,2.8,1.3,1.59,0.79,15,높음
제품목업,60,20,2.1,1.0,3.39,3.58,15,높음
목업,7080,6200,20.2,30.3,0.32,0.53,15,중간
아크릴가공,1120,980,41.9,40.5,4.11,4.48,15,중간
CNC가공,1770,1970,17.0,22.0,1.05,1.23,15,중간
3D프린터출력대행,350,420,11.5,33.8,3.38,8.7,15,높음
알루미늄가공,620,420,15.3,8.5,2.72,2.2,15,높음
자동차모형,610,2200,3.8,38.0,0.66,1.86,15,중간
SUS종류,160,130,1.0,0.0,0.68,0.0,6,중간
목업제작,340,110,6.8,5.6,2.37,5.39,15,높음
특허시제품,< 10,< 10,0.3,0.0,6.67,0.0,15,높음
부품가공,70,30,4.1,2.0,5.83,6.25,15,높음
지그제작,320,200,14.9,15.8,4.96,8.21,15,높음
플라스틱금형,180,200,4.9,7.5,2.99,3.99,15,높음
MC가공,80,30,2.7,0.3,3.65,0.96,15,높음
건축모형만들기,190,550,2.2,26.8,1.22,5.05,15,높음
에칭,2240,2630,9.1,14.3,0.44,0.58,15,중간
밴딩,2080,3450,8.9,26.3,0.47,0.81,15,중간
동관자재,30,50,2.4,1.0,7.48,2.32,7,중간
전시모형제작,10,< 10,2.1,0.0,14.23,0.0,15,높음
워킹목업,140,40,2.1,2.3,1.7,6.67,15,높음
모형만들기,80,310,0.5,7.7,0.69,2.6,15,중간
EVA폼,740,1120,12.5,35.0,1.8,3.33,15,중간
테프론,4280,6320,19.8,42.0,0.51,0.71,15,중간
PE가공,40,10,4.1,0.7,11.0,4.77,15,높음
우레탄,5500,9350,17.1,53.3,0.34,0.62,15,중간
STS304,2020,1090,11.7,10.8,0.64,1.06,15,높음
철판절단기,120,220,2.0,9.5,1.75,4.78,15,높음
지그,3530,4830,10.1,44.7,0.32,1.01,15,중간
디자인업체,510,230,17.3,10.5,3.72,4.98,15,높음
PVC판,670,870,20.9,43.7,3.38,5.68,15,중간
조형물,2950,3260,23.2,68.8,0.85,2.27,15,중간
PVC,11900,19100,25.0,62.3,0.23,0.36,15,중간
MOCKUP,3860,2870,5.0,0.0,0.15,0.0,15,중간
베크라이트,1370,900,24.0,24.3,1.97,3.01,15,높음
SUS304,3130,3280,18.1,31.8,0.65,1.03,15,높음
사출금형,1700,1700,21.5,19.0,1.38,1.23,15,중간
합성수지가공,40,< 10,0.4,0.0,0.98,0.0,15,높음
PEEK,2380,4430,26.8,27.3,1.23,0.67,15,중간
대형3D프린터,200,180,2.7,8.3,1.4,4.77,15,높음
플라스틱,10100,15200,19.7,80.5,0.22,0.58,15,중간
MC나일론,1040,560,17.3,13.3,1.78,2.49,15,높음
홀가공,210,280,1.2,0.5,0.6,0.2,15,높음
PC판,870,860,23.2,43.3,2.94,5.55,15,높음
스튜디오소품,190,350,6.9,16.8,3.82,5.08,15,높음
제품설계,420,140,4.1,3.0,1.1,2.1,15,중간
PE,5690,7170,10.2,27.5,0.2,0.42,15,중간
아세탈,1460,980,12.6,20.8,0.94,2.26,15,중간
테프론가공,240,190,9.6,4.0,4.39,2.28,15,높음
샘플제작,190,210,6.1,12.0,3.34,5.89,15,높음
아파트모형,90,240,2.2,11.3,2.53,5.16,15,높음
건축모형제작,320,460,15.5,28.9,5.1,6.85,15,높음
HDPE,3250,3520,14.3,4.5,0.48,0.14,15,중간
합성수지,3410,3200,14.3,22.8,0.46,0.78,15,중간
조형물제작,980,740,32.2,49.6,3.7,7.42,15,중간
3D프린터출력가격,50,100,2.7,7.8,5.36,8.08,15,높음
자동차모형제작,10,30,0.4,0.7,2.22,2.09,15,높음
디자인목업,170,60,1.9,1.7,1.2,2.49,15,높음
3D모형제작,30,40,1.5,2.0,5.12,6.07,15,높음
아크릴가공업체,20,20,3.1,0.3,11.8,1.29,15,높음
PC파이프,340,220,16.8,9.3,5.21,4.56,15,높음
스테인리스,3600,4060,7.9,15.3,0.24,0.41,15,중간
백그라이트,630,560,10.9,35.7,1.88,7.03,13,중간
ABS,8840,16900,9.7,4.0,0.12,0.03,15,중간
3D프린터출력,540,350,15.5,16.5,3.04,4.99,15,중간
연극소품,140,210,5.9,19.0,4.66,9.5,15,높음
실내분수대,420,3010,12.3,155.1,3.16,5.88,15,높음
시작품,430,170,0.1,0.0,0.02,0.0,15,중간
PET,6460,15400,11.1,9.7,0.19,0.07,15,중간
구장종합수지,30,10,1.0,0.0,100.0,0.0,1,중간
PP,6450,8940,10.6,34.3,0.18,0.41,15,중간
3D프린트대행,100,70,2.6,12.3,3.14,17.13,14,중간
캐릭터피규어제작,110,210,6.4,16.5,5.99,8.74,15,높음
모형제작,600,420,17.8,10.5,3.28,2.74,15,중간
테프론시트,1190,4590,11.7,41.3,1.06,0.96,15,높음
플라스틱제작,360,500,14.1,33.3,4.26,7.1,15,높음
과일모형,300,1110,8.3,21.7,2.98,2.13,15,높음
3D모델링,2750,2240,8.1,14.5,0.33,0.71,15,중간
건축물모형,40,100,0.8,4.3,2.0,4.34,15,높음
디스플레이소품,60,110,3.1,0.8,5.12,0.75,15,높음
3D프린터제작,380,410,12.5,43.8,3.47,11.17,15,높음
PMMA,1730,1460,2.4,2.0,0.16,0.15,15,중간
3D프린터출력물,120,70,0.6,1.5,0.56,1.98,15,높음
플라스틱파이프,490,650,7.4,12.0,1.62,2.04,15,높음
3D프린터제품,40,50,0.6,1.0,1.43,2.18,15,높음
3D프린터제품제작,< 10,10,0.4,0.0,5.05,0.0,15,높음
건축물모형제작,< 10,< 10,0.2,0.3,2.71,3.71,6,중간
조형물만들기,20,30,0.3,1.0,1.97,2.64,3,높음
하이트론,1840,5250,1.7,0.7,0.11,0.02,6,중간
플라스틱성형업체,10,10,0.9,0.0,6.54,0.0,14,높음
실내분수,340,1800,8.9,105.5,2.76,6.2,15,높음
디자인제품,90,80,0.3,0.3,0.34,0.46,15,높음
PE판,250,310,9.6,20.8,4.35,7.44,15,높음
대형인형제작,30,40,1.9,7.3,7.48,16.48,15,높음
플라스틱모형제작,10,30,0.6,0.0,4.21,0.0,15,중간
3D프린팅목업,< 10,< 10,0.4,0.3,6.67,4.77,15,높음
건물모형만들기,20,40,0.9,0.0,4.17,0.0,6,중간
시제품제작업체,170,200,5.7,14.5,3.66,7.72,15,높음
JIG,1890,2500,2.6,0.0,0.15,0.0,15,높음
몰드제작,190,290,10.7,40.8,6.14,14.88,15,높음
스티로폼가공,80,40,4.7,6.8,6.07,15.35,15,높음
SLA3D프린터,260,160,2.7,4.3,1.13,2.78,15,높음
영화소품,180,360,7.7,28.7,4.58,8.56,15,높음
PTFE,2960,1550,9.9,5.3,0.37,0.37,15,중간
사출제조,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
스테인리스절단,10,30,0.3,0.0,2.39,0.0,3,높음
금속가공제조,10,< 10,1.0,0.0,20.0,0.0,2,중간
도면구매,10,< 10,3.7,1.0,26.09,25.0,2,중간
발명품제작,10,30,1.0,3.8,7.15,10.72,15,높음
PP가공,30,20,1.3,0.0,3.34,0.0,15,높음
MOCK-UP,490,100,0.3,0.0,0.08,0.0,15,높음
아세탈가공,40,10,1.4,0.3,3.19,2.09,15,높음
졸업작품목업,10,10,1.1,3.0,8.1,25.0,15,높음
특허제품,100,70,0.5,0.5,0.49,0.8,15,높음
설계외주,20,10,0.9,1.0,4.06,8.34,15,높음
시제품개발,70,30,1.1,1.7,1.57,5.56,15,중간
시제품설계,< 10,< 10,0.3,0.0,11.12,0.0,15,높음
개발대행,20,10,0.1,0.0,0.31,0.0,15,높음
외주설계,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
제품개발,820,410,7.7,10.5,1.02,2.68,15,중간
국책과제,1350,770,3.7,0.3,0.3,0.05,15,중간
아이디어시제품,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
조형물제작업체,80,60,2.5,6.6,3.05,10.63,15,중간
3D프린팅시제품제작,< 10,< 10,0.1,0.0,2.23,0.0,15,높음
플라스틱조형물,10,30,0.4,0.0,4.06,0.0,15,높음
산업모형,< 10,< 10,0.6,0.3,20.0,6.67,15,높음
샘플,4610,7300,1.2,3.0,0.03,0.05,14,중간
샘플제작업체,10,10,0.5,0.0,4.85,0.0,15,높음
시제품만들기,< 10,< 10,0.0,0.0,0.0,0.0,14,중간
시제품제작비용,900,20,0.5,0.5,0.06,2.39,15,높음
아파트모형만들기,< 10,10,0.0,0.0,0.0,0.0,2,중간
아파트모형제작,10,10,0.6,0.3,4.35,2.78,14,높음
자동차모형만들기,50,170,0.3,0.3,0.66,0.21,9,중간
조형물제작비용,< 10,< 10,0.0,0.3,0.0,5.0,15,높음
건축모형제작업체,10,10,1.3,0.0,7.02,0.0,15,높음
모형제작소,< 10,10,0.0,0.3,0.0,3.34,0,낮음
목업만들기,140,50,0.7,0.0,0.47,0.0,3,높음
3D프린트의뢰,20,20,0.5,0.3,3.0,1.52,15,높음
3D프린트제품,< 10,10,0.0,0.0,0.0,0.0,3,높음
플라스틱가공업체,20,20,1.1,0.0,4.64,0.0,15,높음
대전목업,< 10,< 10,0.5,0.3,5.05,3.71,13,중간
워킹목업제작,< 10,< 10,0.0,0.0,0.0,0.0,15,높음
동용접소켓,< 10,< 10,0.3,0.3,4.77,8.34,3,높음
신주엘보,60,90,1.7,0.3,2.82,0.36,8,중간
동CF유니온,< 10,< 10,1.0,0.0,20.0,0.0,3,높음
동CM아답타,< 10,10,0.0,0.0,0.0,0.0,3,높음
동CM유니온,30,10,1.3,2.0,4.45,10.53,3,높음
동용접부속,10,< 10,0.3,0.7,2.78,22.23,3,높음
사라연결,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
동절연플랜지,10,< 10,0.0,0.0,0.0,0.0,3,높음
링니플,40,50,0.9,0.3,2.69,0.69,4,낮음
링유니온,10,< 10,0.3,0.0,4.17,0.0,3,높음
사라니플,50,20,0.6,1.1,1.48,5.27,6,중간
사라엘보,10,< 10,0.0,0.3,0.0,11.12,3,높음
특허시제품제작,10,< 10,0.7,0.0,4.77,0.0,15,높음
3D프린터출력업체,20,10,1.0,1.0,4.55,7.15,15,높음
3D프린터모형제작,10,10,0.8,0.0,4.45,0.0,15,높음
3D프린트시제품,< 10,< 10,0.2,0.0,5.0,0.0,15,높음
3D프린팅출력대행,10,10,0.5,0.0,4.73,0.0,15,높음
플라스틱모형,20,40,0.2,0.5,0.91,1.25,15,높음
모형제작업체,100,100,2.7,6.5,2.79,7.15,15,높음
반도체장비부품,40,10,0.8,0.0,1.78,0.0,15,높음
건물모형제작,10,10,1.4,0.0,8.24,0.0,15,높음
신주니플,170,130,1.1,1.3,0.71,1.03,13,중간
H/W개발,10,10,0.0,0.0,0.0,0.0,3,높음
테프론가격,30,10,1.9,0.5,6.76,2.95,8,중간
테프론너트,20,10,0.7,0.0,2.93,0.0,7,중간
테프론볼트,30,30,1.8,2.0,5.39,7.7,11,중간
테프론소재,30,30,0.9,1.0,2.72,2.78,10,중간
투명PC규격,10,< 10,2.0,0.0,20.0,0.0,1,중간
투명PC판,30,30,1.0,0.3,3.73,1.24,12,중간
투명PVC,300,670,7.3,16.7,2.73,2.82,15,높음
투명아크릴원통,10,20,0.3,0.0,3.34,0.0,3,높음
판수지,10,< 10,0.7,0.4,4.13,7.15,6,중간
포베크,50,20,4.4,0.0,8.47,0.0,4,낮음
폴리우레탄판,10,< 10,1.0,0.0,11.12,0.0,3,높음
폴리이미드,1110,750,3.3,4.7,0.34,0.7,15,중간
플라스틱베어링,150,100,7.1,7.7,5.18,8.16,15,높음
플라스틱패킹,10,10,0.3,0.7,2.09,3.78,3,높음
피크,2050,6100,4.3,3.3,0.23,0.06,15,중간
합성수지가격,20,10,1.0,0.7,5.0,6.07,3,높음
세라졸,40,40,1.4,0.3,3.51,0.91,9,중간
수지류,40,50,0.0,0.0,0.0,0.0,2,중간
아세탈봉,80,60,2.4,1.5,2.69,2.28,12,중간
아크릴구,220,420,5.1,20.8,2.32,5.17,15,높음
아크릴밴딩,80,40,1.7,1.8,2.3,3.65,9,중간
아크릴재질,140,220,1.7,3.1,1.3,1.48,4,낮음
아크릴절곡,190,200,6.3,14.3,3.73,7.39,14,높음
아크릴커버,290,550,2.9,5.0,1.1,0.95,15,높음
우레탄가공,120,80,3.4,5.3,2.97,5.97,15,높음
우레탄시트,160,150,2.1,2.0,1.31,1.3,15,높음
울템,330,470,3.6,4.0,1.21,0.91,15,높음
인세라,20,40,2.0,0.4,9.1,0.98,3,높음
정전기매트,80,80,1.5,0.8,1.85,0.94,15,높음
고강도플라스틱,50,60,1.1,0.5,2.48,0.88,8,중간
고밀도폴리에틸렌,280,370,1.8,1.0,0.74,0.3,6,중간
광확산PC파이프,10,< 10,1.3,0.0,12.13,0.0,3,높음
나일론가공,10,10,1.0,0.7,10.0,5.89,3,높음
대전아크릴재단,10,30,1.0,7.6,25.0,40.0,1,중간
등커버,140,640,1.3,8.3,0.93,1.39,15,높음
무정전,220,110,0.9,0.0,0.41,0.0,15,높음
무정전MC,10,< 10,0.5,0.0,5.0,0.0,2,중간
무정전POM,< 10,< 10,0.0,0.0,0.0,0.0,1,중간
무정전아세탈,20,< 10,0.0,0.0,0.0,0.0,3,높음
무정전패드,10,< 10,0.7,0.0,4.35,0.0,3,낮음
발포플라스틱,70,60,0.0,0.0,0.0,0.0,3,높음
배크라이트,10,< 10,0.0,0.0,0.0,0.0,3,높음
백크라이트,90,40,0.0,0.0,0.0,0.0,3,높음
베스펠,150,100,4.4,2.8,3.09,3.17,14,높음
베이크라이트,300,390,2.9,5.0,1.09,1.51,14,높음
베크라이트가공,30,< 10,2.2,0.7,5.88,9.53,14,높음
베크라이트규격,20,< 10,0.5,0.0,2.23,0.0,2,중간
빼끄,30,30,0.0,0.6,0.0,2.05,3,높음
빼크라이트,90,50,1.1,1.0,1.23,1.82,14,높음
PC투명파이프,10,10,0.2,1.0,2.53,6.25,13,중간
PC판재,40,10,2.5,0.3,6.51,3.04,9,중간
PEEK가격,10,< 10,0.6,0.5,4.25,25.0,14,높음
PEEK봉,< 10,< 10,0.5,0.3,5.62,5.56,10,중간
PEEK소재,80,20,1.9,0.3,2.46,1.34,7,중간
PEEK재질,200,60,1.2,0.0,0.65,0.0,10,중간
PEI,440,560,3.7,0.7,0.91,0.13,15,높음
PET판,40,60,0.6,0.0,1.74,0.0,14,높음
PE봉,50,50,1.3,0.7,2.78,1.37,15,높음
PE시트,100,50,3.9,1.7,4.23,3.55,15,높음
PE판넬,30,30,0.8,1.1,2.46,3.93,7,중간
PE평판,20,20,0.7,1.5,3.83,6.53,12,중간
PMMA아크릴,20,10,0.0,0.0,0.0,0.0,1,중간
POLYAMIDEIMIDE,20,< 10,0.0,0.0,0.0,0.0,1,중간
POM가공,20,< 10,0.4,0.0,2.24,0.0,13,중간
PPS,1840,1810,9.2,11.0,0.54,0.66,15,중간
PPSHEET,50,10,2.6,0.3,5.3,2.39,11,중간
PPSU,580,3420,1.5,3.0,0.27,0.1,15,높음
PP봉,20,30,0.3,0.3,1.88,1.24,15,높음
PP소재,580,900,2.0,1.3,0.36,0.15,11,중간
PP시트,80,50,3.2,0.0,4.18,0.0,15,높음
PP용접,30,80,0.1,3.0,0.47,3.53,14,높음
PP판,240,340,6.3,18.8,2.85,5.88,15,높음
PP평판,< 10,10,0.3,1.3,6.25,9.53,8,중간
PP환봉,20,20,2.8,1.0,12.25,4.84,6,중간
PTFE가공,10,< 10,1.1,1.0,8.28,16.67,11,중간
PTFE테프론,510,680,5.0,12.3,1.04,1.98,15,중간
PVC경질,30,30,0.5,0.0,1.86,0.0,15,높음
PVC발포,20,30,1.3,0.0,5.56,0.0,3,높음
PVC시트,230,200,7.5,6.8,3.45,3.56,15,높음
PVC앵글,50,70,2.7,4.3,5.13,6.65,14,높음
PVC용접,270,490,1.1,8.8,0.48,1.83,15,높음
PVC재단,70,70,1.6,2.2,2.35,2.94,9,중간
RULON,60,< 10,2.5,1.0,4.16,12.5,9,중간
