연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
3D프린팅,5250,51.0,1.05,4060,66.0,1.71,15,중간
피규어,8160,103.1,1.4,34700,979.6,3.09,15,중간
웹디자인,5740,25.7,0.49,8360,86.8,1.13,15,중간
피규어제작,1560,68.4,4.7,4700,419.4,9.66,15,중간
플라스틱제작,330,11.2,3.81,480,28.0,6.31,15,중간
패키지디자인,3250,53.1,1.78,2070,71.0,3.57,15,중간
피규어만들기,400,5.0,1.37,1500,62.6,4.59,15,중간
사출금형,1830,22.0,1.34,1960,24.8,1.33,15,중간
브랜드디자인,910,12.7,1.48,710,21.7,3.36,15,중간
인포그래픽,13200,19.2,0.16,13300,1.7,0.02,15,중간
3D프린트,1340,16.7,1.42,1370,33.8,2.68,15,중간
펄프몰드,230,9.1,4.36,90,3.8,3.99,15,중간
컬러리스트,2910,4.3,0.16,5930,0.3,0.01,15,중간
캐릭터디자인,1290,8.9,0.73,1290,11.3,0.93,15,중간
플라스틱성형,230,5.9,2.77,280,12.0,4.42,15,중간
3D프린터출력,500,14.6,3.05,400,13.5,3.55,15,중간
진공주형,150,3.1,2.06,90,0.8,0.85,15,중간
금속3D프린터,360,8.0,2.42,290,15.5,5.42,15,높음
제조업체,470,2.8,0.67,290,7.3,2.59,15,중간
영상디자인,700,2.1,0.33,810,9.0,1.23,15,중간
편집디자인,2260,7.8,0.38,1800,16.5,0.98,15,중간
시제품제작,2120,31.2,1.51,550,27.8,5.18,15,중간
DLP,1970,7.8,0.44,1370,10.0,0.78,15,중간
솔리드웍스학원,110,5.1,5.24,120,12.0,9.5,15,높음
3D프린팅제작,60,4.1,6.93,50,5.8,10.49,15,중간
시각디자인,2990,3.3,0.12,5340,28.0,0.55,15,중간
플라스틱사출,1370,40.7,3.22,1560,60.0,4.19,15,중간
산업용3D프린터,140,3.3,2.64,120,5.5,4.83,15,중간
지그제작,310,14.5,4.97,150,11.8,8.22,15,중간
캐드알바,280,7.0,2.93,430,15.3,3.9,15,중간
모형제작,590,14.5,2.52,400,17.3,4.43,15,중간
3D프린터가격,580,6.0,1.08,1040,31.0,3.35,15,중간
시각디자인학과,1330,3.3,0.26,4800,38.3,0.84,15,중간
개인피규어제작,120,6.3,5.06,630,79.6,13.75,15,높음
