연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
시제품,2970,4.7,0.18,2590,3.5,0.15,15,중간
시제품제작,2120,31.2,1.51,550,27.8,5.18,15,중간
사형주조,260,0.7,0.31,110,0.0,0.0,15,중간
알루미늄중력주조,< 10,1.2,11.91,< 10,0.0,0.0,8,중간
제품디자인,2140,30.9,1.56,1440,27.3,1.99,15,중간
시제품제작업체,700,3.1,0.64,110,10.8,8.47,15,중간
사출금형,1830,22.0,1.34,1960,24.8,1.33,15,중간
부산시제품제작,20,1.1,5.4,10,1.0,9.1,15,높음
시제품설계,10,0.1,1.12,< 10,0.0,0.0,15,높음
플라스틱제작,330,11.2,3.81,480,28.0,6.31,15,중간
STS304,2040,8.5,0.46,1180,14.8,1.39,15,중간
NC가공,380,3.7,1.14,270,3.8,1.49,15,중간
피규어제작,1560,68.4,4.7,4700,419.4,9.66,15,중간
부산시제품,10,0.8,6.25,< 10,1.0,11.12,15,높음
시제품제작지원사업,90,0.7,0.85,60,4.3,7.23,15,중간
차키케이스,1940,31.7,1.82,17000,730.1,4.72,15,중간
발명품,2570,4.1,0.17,4500,1.7,0.04,15,중간
캡스톤디자인,6810,4.1,0.07,7010,4.0,0.07,15,중간
국책과제,1520,3.1,0.23,870,0.0,0.0,15,중간
주조,3390,4.5,0.15,4520,3.5,0.09,15,중간
목업,7270,23.0,0.35,5320,24.3,0.48,15,중간
역설계,580,5.5,1.02,270,4.5,1.8,15,중간
모형제작,590,14.5,2.52,400,17.3,4.43,15,중간
기계제작,270,9.0,3.7,230,24.3,10.49,15,중간
제품개발,840,9.4,1.23,370,13.8,3.93,15,중간
CNC가공,1880,18.6,1.06,2130,30.3,1.52,15,중간
펄프몰드,230,9.1,4.36,90,3.8,3.99,15,중간
임가공,2620,2.5,0.11,1970,0.7,0.04,15,중간
제조업,3460,2.7,0.09,4690,0.0,0.0,15,중간
기구설계,1020,14.8,1.64,490,7.8,1.72,15,중간
특허시제품,< 10,0.5,5.84,10,1.3,9.53,15,높음
부산목업,10,1.5,11.38,< 10,0.0,0.0,13,중간
소방드론,330,1.1,0.39,280,2.0,0.76,15,중간
금속가공,510,9.4,2.04,490,14.8,3.28,15,중간
자동세차기,200,7.9,4.14,490,26.8,5.82,15,중간
플라스틱성형,230,5.9,2.77,280,12.0,4.42,15,중간
3D프린트,1340,16.7,1.42,1370,33.8,2.68,15,중간
