연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
금형생산,< 10,0.4,12.5,10,0.0,0.0,3,높음
실리콘금형,160,6.7,4.74,100,4.3,4.25,15,높음
고무금형,190,6.9,4.72,110,8.7,9.13,15,높음
플라스틱사출,1280,36.7,3.29,1920,73.5,4.46,15,높음
금형제작,980,20.1,2.38,1420,39.3,3.2,15,높음
우레탄금형,40,1.1,3.21,10,0.0,0.0,11,중간
실리콘제작,180,14.3,8.07,330,41.1,14.05,15,높음
알루미늄금형,80,2.0,2.54,70,6.5,9.43,15,높음
실리콘금형제작,10,1.6,13.61,< 10,0.3,3.34,14,중간
PVC금형,10,3.0,18.75,10,2.0,33.34,1,중간
실리콘식탁매트,1350,20.7,1.62,18500,603.1,3.53,15,높음
금형회사,70,1.3,1.81,180,1.7,1.0,15,높음
고무마개,760,9.8,1.48,1400,39.0,3.06,15,높음
사출금형,1530,15.9,1.11,1380,17.5,1.35,15,높음
실리콘공장,60,5.7,9.73,150,22.0,17.06,15,높음
금형공장,90,0.2,0.28,100,0.8,0.79,15,높음
실리콘주방용품,150,6.0,4.41,880,46.5,6.15,15,높음
고무바킹,410,7.8,2.15,1190,38.3,3.61,15,높음
사출,4080,10.0,0.28,7320,41.0,0.61,15,높음
실리콘사출,100,4.3,4.61,100,9.0,10.23,15,높음
금형사출,270,3.0,1.2,270,3.0,1.14,15,높음
고무,3010,10.8,0.4,6160,32.7,0.57,15,높음
사출금형제작,270,4.9,1.94,230,13.7,6.13,15,높음
플라스틱제조,170,2.7,1.91,250,9.8,4.34,15,높음
용기제작,80,4.7,5.93,100,6.5,6.85,15,높음
플라스틱용기제조업체,190,13.7,7.39,410,14.8,4.3,15,높음
캠핑용품제작,70,3.3,5.5,60,6.0,10.72,15,높음
고무링,1310,13.6,1.15,3600,53.8,1.61,15,높음
시제품제작업체,1930,2.3,0.15,70,2.5,4.17,15,높음
QDM,360,5.5,1.77,210,6.3,3.58,13,중간
금형제작업체,20,0.7,3.53,< 10,0.3,3.13,15,높음
기계제작,210,12.3,6.66,200,22.7,11.75,15,높음
플라스틱제작,300,11.4,4.34,500,32.2,7.22,15,높음
금형업체,80,3.7,4.72,50,3.0,5.89,15,높음
사출업체,120,5.2,4.42,120,3.0,2.55,15,높음
플라스틱케이스제작,90,5.2,6.27,50,2.0,4.45,15,높음
고무사출,90,3.6,3.95,90,1.3,1.32,14,중간
금형주문제작,< 10,0.3,4.77,10,1.0,10.0,3,높음
실리콘제품,70,0.5,0.72,130,7.0,5.39,15,높음
프레스금형회사,< 10,0.0,0.0,< 10,0.0,0.0,9,중간
금형제조업체,< 10,1.0,14.29,< 10,0.0,0.0,3,높음
알루미늄금형제작,10,0.7,6.67,< 10,0.0,0.0,3,높음
금형제품,10,0.3,1.97,< 10,0.0,0.0,3,높음
알미늄금형,< 10,0.0,0.0,< 10,1.0,16.67,3,높음
인서트금형,20,0.0,0.0,< 10,0.0,0.0,3,높음
