연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
금형설계,600,2.7,0.49,740,6.8,1.02,15,높음
오토캐드뷰어,5800,35.7,0.69,410,0.7,0.19,10,중간
경기기술학교,390,2.7,0.77,780,1.0,0.14,6,중간
사출금형,1530,15.9,1.11,1380,17.5,1.35,15,높음
오토캐드,26900,28.9,0.12,10200,119.5,1.3,15,높음
마스터캠,960,8.5,0.96,900,12.7,1.55,15,높음
CNC교육,50,1.4,2.86,80,5.7,7.99,15,높음
무료캐드,2230,36.7,1.84,650,33.3,5.54,15,높음
설계프로그램,440,3.5,0.91,270,3.7,1.48,15,높음
건축설계프로그램,210,3.7,2.0,130,2.3,1.77,10,중간
금형제작,980,20.1,2.38,1420,39.3,3.2,15,높음
플라스틱사출,1280,36.7,3.29,1920,73.5,4.46,15,높음
사출금형설계,130,0.9,0.78,70,0.8,1.08,15,높음
3D프린터가격,520,7.5,1.53,1330,60.4,4.84,15,높음
전기기사,25600,199.1,0.95,40100,459.0,1.32,15,높음
머시닝센터,1210,9.1,0.81,1390,31.7,2.51,15,높음
프레스금형,940,15.2,1.75,640,13.0,2.2,15,높음
건축설계,1540,9.4,0.67,1750,24.3,1.48,15,높음
CAD/CAM,280,0.5,0.21,80,0.0,0.0,15,높음
시마트론,180,0.9,0.52,150,0.0,0.0,6,중간
3D캐드,1020,1.6,0.18,990,7.0,0.79,15,높음
금형교육,40,1.7,3.91,20,0.7,3.64,7,중간
AUTOCAD,6780,7.5,0.13,1770,23.0,1.46,15,높음
사출교육,30,3.1,9.71,20,0.0,0.0,4,낮음
인벤터,3390,2.4,0.08,1640,5.3,0.36,15,높음
금형설계학원,10,1.1,5.98,20,3.0,13.05,15,높음
3DI,140,9.0,6.54,40,1.0,2.2,3,낮음
피규어제작,1420,62.9,4.74,5030,457.0,9.52,15,높음
오토데스크,15300,1.7,0.02,2990,1.0,0.04,15,높음
건드릴,450,6.8,1.66,490,16.3,3.58,15,높음
AUTOCADVIEWER,780,14.8,1.95,20,0.0,0.0,5,중간
캐드,11200,28.5,0.29,17000,96.0,0.63,15,높음
