연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
대량생산,310,0.3,0.11,280,2.5,0.95,15,높음
간단한선물,750,1.9,0.27,3270,22.5,0.72,15,높음
제조업체,400,2.3,0.67,240,4.8,2.01,15,높음
플라스틱사출,1280,36.7,3.29,1920,73.5,4.46,15,높음
중국OEM,660,6.4,1.07,1810,18.7,1.11,15,높음
OEM업체,90,1.3,1.58,60,2.7,4.17,15,높음
스노우볼제작,260,33.0,13.27,840,100.9,12.78,5,중간
금형제작,980,20.1,2.38,1420,39.3,3.2,15,높음
OEM,13500,2.7,0.03,14300,2.3,0.02,3,높음
기념품샾,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
대량판매,30,0.1,0.4,50,3.0,5.67,15,높음
판촉,3710,90.9,2.67,4660,111.5,2.58,15,높음
플라스틱업체,40,1.1,3.08,80,0.7,0.94,15,높음
대량판촉물,10,0.4,5.13,< 10,0.3,4.17,15,높음
위탁생산,930,0.3,0.05,1670,0.3,0.03,15,높음
사출금형,1530,15.9,1.11,1380,17.5,1.35,15,높음
중국소싱,60,1.2,1.94,60,0.7,1.05,14,높음
사출,4080,10.0,0.28,7320,41.0,0.61,15,높음
판촉물사이트,380,10.3,2.92,60,8.3,12.9,15,높음
금형사출,270,3.0,1.2,270,3.0,1.14,15,높음
워터볼제작,30,5.2,16.67,110,3.8,20.0,2,낮음
사출금형제작,270,4.9,1.94,230,13.7,6.13,15,높음
실리콘컵뚜껑제작,20,2.7,14.04,< 10,0.0,0.0,3,높음
플라스틱제조,170,2.7,1.91,250,9.8,4.34,15,높음
용기제작,80,4.7,5.93,100,6.5,6.85,15,높음
플라스틱용기제조업체,190,13.7,7.39,410,14.8,4.3,15,높음
플라스틱통제작,20,1.6,9.45,40,4.0,10.82,14,중간
기념품샵,900,39.9,4.71,1510,97.8,6.73,15,높음
캠핑용품제작,70,3.3,5.5,60,6.0,10.72,15,높음
시제품제작업체,1930,2.3,0.15,70,2.5,4.17,15,높음
QDM,360,5.5,1.77,210,6.3,3.58,13,중간
고무금형,190,6.9,4.72,110,8.7,9.13,15,높음
제작업체,80,0.2,0.28,40,0.5,1.32,15,높음
렌즈금형,< 10,0.0,0.0,10,0.0,0.0,3,높음
기계제작,210,12.3,6.66,200,22.7,11.75,15,높음
플라스틱제작,300,11.4,4.34,500,32.2,7.22,15,높음
금형업체,80,3.7,4.72,50,3.0,5.89,15,높음
사출업체,120,5.2,4.42,120,3.0,2.55,15,높음
제품생산,60,0.7,1.14,30,0.5,1.52,15,높음
스님선물,30,0.4,1.66,230,6.3,2.93,15,높음
알루미늄금형,80,2.0,2.54,70,6.5,9.43,15,높음
PP용기제작,10,2.5,31.82,10,1.3,11.54,3,높음
브라켓제작,70,2.5,3.83,100,1.3,1.41,15,높음
플라스틱케이스제작,90,5.2,6.27,50,2.0,4.45,15,높음
고무사출,90,3.6,3.95,90,1.3,1.32,14,중간
상품개발,280,1.3,0.5,190,3.0,1.63,15,높음
실리콘사출,100,4.3,4.61,100,9.0,10.23,15,높음
간편한선물,10,0.0,0.0,30,0.7,1.81,3,높음
선물제안,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
중국목업,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
중국금형제작,< 10,0.2,6.67,< 10,0.0,0.0,10,중간
대량제작,< 10,0.3,5.27,10,0.0,0.0,15,높음
노트북파우치주문제작,50,2.6,4.65,140,18.8,13.49,15,높음
중국사출,< 10,1.0,14.29,< 10,0.3,11.12,3,높음
중국아웃소싱,10,0.7,4.77,10,0.7,6.07,3,높음
노트북파우치제작,200,17.4,9.55,580,56.8,10.67,15,높음
패키지상자제작,10,2.7,19.5,10,1.0,5.0,8,중간
포장용기제조업체,20,0.3,2.23,30,0.0,0.0,3,높음
안경테제작,20,1.1,4.77,70,5.0,7.25,7,중간
제조대행,10,0.6,6.98,< 10,0.0,0.0,5,중간
플라스틱생산업체,< 10,0.0,0.0,10,0.0,0.0,3,높음
프리랜서프로젝트,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
간단선물,60,0.3,0.51,270,0.0,0.0,4,낮음
새해인사선물,60,0.0,0.0,380,1.0,0.31,3,높음
삼성생명선물,80,0.3,0.76,520,0.3,0.11,3,높음
간단한선물추천,20,0.0,0.0,30,0.0,0.0,3,높음
