연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
금속절단,70,0.0,0.0,130,1.0,0.81,15,높음
금속주문제작,30,1.3,3.71,40,2.7,5.6,15,높음
워터젯가공,130,4.2,3.57,110,12.0,11.89,15,높음
워터젯,1040,17.9,1.89,2020,49.5,2.62,15,높음
갈바절곡,140,1.4,1.02,100,0.0,0.0,13,중간
금속절단기,1600,26.3,1.84,5900,133.3,2.45,15,높음
유리가공,370,14.4,4.33,500,21.8,4.78,15,높음
파이프밴딩,420,15.3,3.88,610,30.3,5.64,15,높음
금속레이저,40,0.7,1.56,60,0.7,1.17,15,높음
대전레이저절단,< 10,0.0,0.0,< 10,0.0,0.0,5,중간
MDF레이저가공,10,0.4,3.45,< 10,0.0,0.0,12,중간
철강,3840,31.2,0.9,8440,83.0,1.06,15,높음
SUJ2,640,4.2,0.72,220,15.0,6.79,15,높음
레이저가공,940,22.8,2.67,770,21.5,3.04,15,높음
스텐철판,340,15.5,5.08,1000,49.6,5.32,15,높음
레이저절단,380,8.7,2.5,340,9.3,2.97,15,높음
SUS304,2930,16.0,0.62,3890,31.0,0.87,15,높음
절곡,1650,9.7,0.65,1830,27.7,1.7,15,높음
밴딩,1880,8.0,0.47,3160,31.7,1.07,15,높음
철판절곡,470,7.9,1.74,710,27.0,4.02,15,높음
갈바,2810,27.2,1.09,3640,93.3,2.79,15,높음
레이저커팅,720,9.3,1.44,900,20.3,2.43,15,높음
디에스워터젯,130,23.0,25.56,70,1.0,2.0,1,낮음
스텐절곡,300,7.8,2.75,680,22.7,3.67,15,높음
스텐환봉,450,11.1,2.69,920,34.1,4.11,15,높음
CNC조각,60,0.3,0.58,50,0.8,1.67,15,높음
구로철판,820,12.4,1.68,1120,33.1,3.2,14,높음
철판절단,170,2.3,1.44,260,4.0,1.64,15,높음
파이프벤딩,130,4.4,3.67,150,6.2,4.23,15,높음
3차원가공,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
알루미늄가공,590,13.2,2.39,540,13.2,2.65,15,높음
벤딩,910,5.8,0.7,1400,16.3,1.27,15,높음
대리석가공,50,1.4,2.34,170,10.3,6.27,15,높음
POM가공,10,0.3,2.74,< 10,0.0,0.0,12,중간
CNC가공,2020,17.7,0.96,3410,56.0,1.76,15,높음
금속가공제품제조,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
금속샤링,< 10,1.3,44.45,< 10,0.0,0.0,3,높음
스텐판,980,20.9,2.36,2410,79.3,3.48,15,높음
철판레이저가공,270,9.1,3.62,420,24.1,5.86,15,높음
CNC가공견적,< 10,0.3,4.77,< 10,0.0,0.0,7,중간
갈바종류,10,0.0,0.0,10,0.0,0.0,1,중간
철구조물,200,4.3,2.37,190,5.7,3.02,15,높음
A105,340,2.9,0.94,250,2.0,0.83,12,중간
고주파밴딩,80,6.3,7.68,30,0.3,0.74,6,중간
철판가공,580,15.5,2.86,880,29.8,3.72,15,높음
워터젯절단,50,2.4,4.51,30,1.7,5.38,11,중간
알루미늄절곡,190,2.9,1.68,210,7.7,4.04,15,높음
레이저컷팅,440,4.2,1.08,480,8.9,1.98,15,높음
가공자재,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
아연철판,130,3.6,2.98,290,16.3,5.9,12,중간
SUS판,220,4.7,2.43,110,0.5,0.5,15,높음
CAM가공,20,0.1,0.4,10,0.3,2.39,12,중간
갈바철판가격,< 10,0.4,7.15,10,0.0,0.0,2,중간
가스켓가공,< 10,0.3,3.71,< 10,0.3,6.67,3,높음
구로철판가공,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
3D레이저가공,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
기계제작의뢰,< 10,0.3,5.56,< 10,0.7,16.67,3,높음
대전철판가공,< 10,1.0,12.5,< 10,0.0,0.0,3,높음
알루미늄절단,130,1.8,1.42,210,2.0,1.12,15,높음
철강가격,2030,21.8,1.18,4450,89.9,2.16,15,높음
절단절곡,150,5.4,3.56,290,11.7,4.58,15,높음
레이저절곡,140,6.1,4.42,100,1.5,1.46,15,높음
석재가공,120,8.2,7.14,180,11.2,6.66,15,높음
CNC가공업체,100,4.4,4.4,80,6.3,8.12,15,높음
플라스틱절단,170,1.1,0.72,380,1.8,0.49,11,중간
타일가공,10,0.2,1.59,30,1.3,5.34,14,높음
테프론가공,230,10.3,5.04,210,6.7,3.24,15,높음
벤치레스,100,4.5,4.76,120,4.7,4.1,13,중간
소형레이저각인기,490,2.3,0.53,1490,10.3,0.75,15,높음
레이저각인기,2450,21.9,0.99,7680,97.3,1.35,15,높음
구미가공,< 10,0.7,16.67,< 10,0.0,0.0,3,높음
H-BEAM가공,< 10,0.3,8.34,< 10,0.0,0.0,3,높음
NC목업,< 10,0.3,11.12,< 10,0.0,0.0,3,높음
김포도금,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
경기도광주철강,10,0.7,6.67,10,0.0,0.0,3,높음
금속제조업체,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
금속레이저절단기,10,0.5,4.94,10,0.0,0.0,8,중간
WATERJET,140,0.4,0.29,80,0.0,0.0,15,높음
철판밴딩,100,1.8,1.9,100,2.0,2.11,14,높음
SUS환봉,140,6.6,4.88,50,1.3,2.66,13,중간
금속레이저커팅기,10,1.8,11.46,10,0.3,2.78,12,중간
DS워터젯,20,4.0,26.67,10,0.0,0.0,1,중간
서스파이프,280,9.6,3.62,310,16.0,5.64,15,높음
티타늄가공,120,5.6,5.05,100,6.2,5.98,15,높음
플라스틱가공,250,5.9,2.55,220,8.8,4.12,15,높음
금속절곡,70,1.5,2.13,60,0.0,0.0,13,중간
철강회사,460,5.2,1.24,1110,2.0,0.19,15,높음
레이저커팅기,1470,22.4,1.67,2470,44.3,1.9,15,높음
알루미늄밴딩,60,2.9,4.5,40,1.0,2.23,11,중간
스텐절단,70,0.4,0.62,200,0.5,0.26,15,높음
금속가공,530,7.9,1.62,540,13.0,2.59,15,높음
금속레이저커팅,20,0.4,1.74,20,1.0,4.55,14,높음
고주파벤딩,90,5.2,6.53,40,0.7,1.97,4,낮음
스폰지가공,70,4.9,7.63,50,9.5,18.3,15,높음
고무가공,60,2.9,4.71,40,2.3,5.47,15,높음
카본가공,60,1.8,3.24,50,0.7,1.2,15,높음
스테인리스강,400,1.3,0.37,420,3.0,0.77,12,중간
금속,1720,5.5,0.36,3110,17.7,0.62,15,높음
정밀판금,60,3.4,6.56,20,1.7,6.67,15,높음
레이저절단절곡,30,0.6,1.78,30,0.0,0.0,15,높음
레이저조각기,780,10.9,1.53,1160,27.1,2.4,15,높음
인천워터젯,20,0.3,1.29,20,0.0,0.0,3,높음
동판가공,30,0.9,3.04,20,0.0,0.0,13,중간
S20C,220,1.6,0.82,80,1.0,1.27,15,높음
V컷팅,220,2.9,1.43,200,5.0,2.54,15,높음
고무가스켓,450,10.9,2.72,570,7.7,1.46,15,높음
유리가공업체,20,2.3,10.47,30,3.4,11.77,8,중간
철계단,290,10.8,4.17,1140,43.1,4.07,15,높음
SUM24,30,2.7,8.74,< 10,0.4,5.0,3,낮음
레이저타공,80,2.5,3.44,130,9.3,7.59,13,중간
스텐계단,30,0.2,0.73,90,4.3,5.38,15,높음
흥성철강,80,6.2,8.27,100,1.9,2.07,2,중간
유리절단,160,0.9,0.58,540,7.7,1.55,14,높음
레이져가공,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
실리콘가공,70,3.0,4.75,40,2.7,6.21,15,높음
환봉,2180,34.8,1.76,2160,61.8,3.2,15,높음
레이저절단기,420,12.8,3.34,760,37.8,5.05,15,높음
SUM22,50,4.4,8.85,20,0.0,0.0,5,중간
김포워터젯,10,0.0,0.0,< 10,0.0,0.0,3,높음
철판레이저,50,1.1,2.18,50,0.3,0.67,12,중간
베어링강,190,2.4,1.38,100,0.0,0.0,10,중간
레이저센터,140,7.9,6.01,90,2.5,2.92,7,중간
나무가공,220,4.1,1.9,320,12.7,4.27,15,높음
금형제작,1330,32.8,2.68,1900,66.8,3.83,15,높음
DSWATER,50,1.7,3.43,20,0.0,0.0,7,중간
축가공,50,3.1,5.72,20,0.7,2.67,11,중간
거치대제작,40,1.9,4.56,40,2.5,6.25,15,높음
철가공,70,2.5,3.58,110,5.0,4.47,15,높음
파이프밴딩기,830,23.7,3.19,2170,70.1,3.54,15,높음
파이프절곡,60,0.7,1.43,90,1.3,1.61,14,높음
파이프절단,200,2.9,1.55,200,2.4,1.25,15,높음
철판벤딩,40,1.7,4.29,20,0.0,0.0,13,중간
STS가공,< 10,0.3,6.67,< 10,0.0,0.0,3,높음
대리석절단,40,0.3,0.64,110,1.0,0.92,15,높음
화성워터젯,10,0.4,5.0,< 10,0.0,0.0,3,높음
워터젯컷팅,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
티타늄절단,10,0.3,3.58,20,0.0,0.0,3,낮음
스텐레스절단,10,0.1,0.36,50,0.0,0.0,15,높음
타일절단,80,0.3,0.42,230,0.5,0.23,15,높음
고무커팅,< 10,0.3,6.67,10,0.0,0.0,3,높음
워터젯커팅,10,0.0,0.0,10,0.3,3.13,3,높음
아산절곡,< 10,0.0,0.0,10,0.0,0.0,2,중간
평택레이저,20,0.2,1.1,30,2.0,5.39,10,중간
천안레이저,30,0.1,0.29,120,3.8,3.1,14,높음
천안레이저절단,< 10,0.0,0.0,< 10,0.7,13.34,3,높음
레이저금속절단기,< 10,0.7,11.54,10,1.3,7.02,4,낮음
금속레이저절단,< 10,0.6,9.22,10,0.4,3.58,11,중간
금속레이저컷팅기,< 10,0.0,0.0,10,0.0,0.0,6,중간
SUS절단,10,0.1,0.4,10,0.3,3.34,15,높음
금속CNC,40,1.0,2.42,30,0.7,1.97,13,중간
금속컷팅,10,0.1,0.37,30,0.3,1.15,14,높음
금속레이저컷팅,20,1.0,3.86,20,0.0,0.0,12,중간
케익커팅기,< 10,0.0,0.0,30,0.0,0.0,3,높음
스테인레스커팅,< 10,0.0,0.0,< 10,0.8,40.0,3,높음
스텐앵글,370,13.5,4.0,860,51.2,6.47,15,높음
경량철구조물,< 10,0.0,0.0,< 10,0.0,0.0,5,중간
공장철골,< 10,1.0,14.29,10,0.0,0.0,3,높음
구조물,1010,0.7,0.08,870,0.3,0.05,15,높음
경량철구조,10,0.3,2.23,20,0.0,0.0,3,높음
건축브라켓,10,1.8,10.87,10,0.5,6.25,3,높음
갈바제작,40,1.4,3.42,50,3.8,7.41,15,높음
스텐프레임,50,0.8,1.68,110,0.3,0.23,13,중간
철재공장,10,0.0,0.0,10,0.4,3.58,3,높음
철구조물시공,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
철골작업,50,0.0,0.0,70,0.0,0.0,15,높음
철골업체,20,0.7,3.37,< 10,0.0,0.0,14,높음
철골설치,20,0.2,0.87,30,0.7,2.03,9,중간
철골구조물제작,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
철골구조물,80,0.7,0.87,80,4.3,5.71,15,높음
철골가공,20,0.8,4.03,< 10,0.0,0.0,9,중간
중량물이동대차,10,1.3,7.85,10,0.7,5.27,3,높음
절곡절단,10,0.3,2.23,20,0.8,4.66,3,높음
스테인리스난간,20,0.5,2.4,< 10,0.0,0.0,13,중간
빔제작,30,2.2,8.03,30,4.1,10.57,11,중간
금속프레임,50,0.6,1.15,80,3.8,4.47,13,중간
실리콘압출기,20,5.3,25.26,10,0.0,0.0,5,중간
수압절단,20,0.9,3.62,40,1.0,2.39,9,중간
금속부품제작,< 10,1.0,12.5,< 10,0.0,0.0,3,높음
제조업체,370,3.1,0.88,270,2.7,1.01,15,높음
시금형,70,0.0,0.0,20,0.0,0.0,3,높음
평철절곡,10,1.7,8.63,20,0.8,4.35,3,높음
금속구조물,140,0.8,0.62,70,0.0,0.0,15,높음
종이커팅기,210,0.6,0.31,540,12.7,2.53,15,높음
천안워터젯,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
S45C철판,40,2.2,6.75,10,0.0,0.0,3,높음
무늬철판,430,17.1,4.3,390,19.7,5.33,15,높음
금속레이저가공,20,0.8,3.77,20,0.9,3.66,15,높음
정밀절곡,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
대구절단절곡,< 10,1.5,21.43,10,0.0,0.0,2,중간
울산레이저절단,10,1.3,14.29,< 10,0.5,25.0,2,중간
대구레이저절단,10,1.2,12.0,< 10,0.0,0.0,3,높음
김해레이저가공,10,0.4,5.0,10,0.0,0.0,3,높음
울산철판가공,< 10,0.0,0.0,< 10,0.7,33.34,0,낮음
H빔제작,40,2.0,5.72,50,5.3,12.7,15,높음
철물가공,10,1.7,10.76,10,0.0,0.0,6,중간
접착프레스,< 10,0.3,6.67,< 10,0.0,0.0,3,높음
금속구조물제작,< 10,0.1,1.49,< 10,0.7,11.12,15,높음
산업기계제작,30,1.2,3.53,10,0.3,1.97,15,높음
인천철판가공,< 10,0.7,16.67,< 10,0.0,0.0,3,높음
대구철판가공,< 10,1.5,18.19,< 10,0.0,0.0,3,높음
부산철판제작,< 10,0.6,9.1,< 10,1.8,30.0,2,중간
수원레이저가공,10,0.4,3.1,< 10,0.0,0.0,8,중간
대구절곡,20,0.5,2.44,50,0.8,1.89,2,중간
로꾸루,< 10,0.7,16.67,10,2.2,13.8,2,중간
갈바작업,60,1.1,2.12,170,1.0,0.64,12,중간
스테인레스구조물,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
창원레이저절단,< 10,0.0,0.0,< 10,0.6,6.67,3,높음
창원레이저가공,< 10,0.7,16.67,< 10,0.0,0.0,3,높음
KAESER,60,1.5,2.81,30,1.7,5.75,7,중간
부천레이저,20,0.4,2.1,40,0.0,0.0,14,높음
레이져커터기,10,0.0,0.0,10,0.0,0.0,3,높음
가죽레이저커팅,10,1.0,7.7,20,0.4,1.82,3,높음
금속작업,10,0.3,2.47,20,0.7,4.26,6,중간
알루미늄레이저,20,0.3,1.18,30,0.0,0.0,14,높음
MC9305,< 10,0.1,1.82,20,0.0,0.0,7,중간
파이프절단기,470,17.7,3.92,1300,46.8,4.04,15,높음
파이버레이저가공기,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
파이프벤딩기,210,5.2,2.74,320,11.4,3.59,15,높음
부산철판가공,< 10,0.4,4.0,10,0.6,4.77,3,높음
철판절단기,160,2.8,1.83,500,14.7,3.24,15,높음
파이버레이저절단기,20,1.0,4.84,10,0.0,0.0,6,중간
파이프컷팅기,70,1.1,1.56,150,9.3,6.73,15,높음
부산철판절단,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
경판가공,30,1.8,5.97,10,0.0,0.0,10,중간
SUS레이저,< 10,0.3,4.17,< 10,0.0,0.0,3,높음
부산파이프절단,10,0.0,0.0,< 10,0.0,0.0,3,높음
파이프커팅기,70,0.8,1.08,160,4.7,3.0,14,높음
파이프벤더,190,2.5,1.43,240,2.7,1.15,15,높음
커팅,580,0.3,0.06,1170,0.0,0.0,15,높음
금형개발,60,0.3,0.44,20,0.0,0.0,15,높음
철물주문제작,20,1.2,6.1,30,2.3,7.37,14,높음
금속가공제품제조업,70,1.3,1.84,90,0.7,0.87,10,중간
대구레이저가공,20,1.3,7.02,30,0.3,1.08,3,높음
부산레이저절단,< 10,0.0,0.0,< 10,0.0,0.0,8,중간
안산레이저가공,10,0.9,10.23,10,1.1,8.11,10,중간
