연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
판금가공,100,1.7,1.76,60,1.7,3.09,15,높음
판금,2120,11.2,0.59,4720,7.3,0.17,15,높음
살바니니,70,1.3,2.0,60,0.8,1.51,2,중간
판금제작,50,4.7,10.38,30,1.3,4.77,15,높음
아마다,250,3.4,1.44,320,11.0,3.61,15,높음
판금업체,70,3.3,5.3,10,1.0,5.56,15,높음
(주)티에스티,60,0.0,0.0,180,0.0,0.0,0,낮음
반도체프레임,20,0.0,0.0,10,0.3,2.23,3,높음
SUS파이프,500,15.1,3.2,200,9.7,5.44,15,높음
스텐절곡,300,7.8,2.75,680,22.7,3.67,15,높음
스텐철판,340,15.5,5.08,1000,49.6,5.32,15,높음
SUS,3950,12.1,0.34,4040,9.8,0.26,15,높음
알루미늄절곡,190,2.9,1.68,210,7.7,4.04,15,높음
아마다절곡기,70,2.4,3.38,140,10.6,8.36,14,높음
정밀판금,60,3.4,6.56,20,1.7,6.67,15,높음
철판제작,190,6.2,3.33,380,20.7,5.79,14,높음
철판절곡,470,7.9,1.74,710,27.0,4.02,15,높음
스마트공장,3670,17.0,0.52,1520,11.0,0.78,15,높음
외함제작,30,2.0,6.53,< 10,0.0,0.0,13,중간
후레임,220,0.9,0.44,350,0.3,0.08,14,높음
생산자동화,280,1.9,0.73,210,2.7,1.28,15,높음
금형프레스,50,0.4,0.9,80,1.5,2.09,14,높음
서스파이프,280,9.6,3.62,310,16.0,5.64,15,높음
케이스제작,820,14.4,1.89,1860,42.7,2.47,15,높음
AMADA,80,1.3,1.71,100,1.3,1.39,15,높음
반도체장비,1040,1.9,0.21,1490,0.3,0.03,15,높음
절곡,1650,9.7,0.65,1830,27.7,1.7,15,높음
레이저절단,380,8.7,2.5,340,9.3,2.97,15,높음
지주간판,760,13.2,1.89,680,21.3,3.34,15,높음
SUS판,220,4.7,2.43,110,0.5,0.5,15,높음
파이프밴딩,420,15.3,3.88,610,30.3,5.64,15,높음
현수막게시대,550,14.7,3.02,260,16.1,6.52,15,높음
금속제작,150,7.1,4.88,210,16.4,8.11,15,높음
절곡기,1030,21.7,2.29,1160,51.0,4.66,15,높음
스텐가공,120,6.7,5.65,230,9.3,4.41,15,높음
간판종류,910,22.7,2.72,2330,106.2,4.95,15,높음
외장판넬,150,7.2,5.04,300,13.2,4.75,15,높음
레이저가공,940,22.8,2.67,770,21.5,3.04,15,높음
서브랙,30,1.5,4.69,30,1.0,3.45,15,높음
철공소,780,8.8,1.26,2360,77.0,3.52,15,높음
금속케이스,40,1.4,3.59,60,3.0,4.79,15,높음
스텐제작,230,11.4,5.46,450,30.8,7.33,15,높음
공장자동화설비,100,2.1,2.18,80,1.7,2.32,15,높음
초정밀가공,40,1.9,4.4,40,0.7,1.49,15,높음
현수막거치대,610,14.3,2.75,690,18.8,3.0,15,높음
중고절곡기,110,9.2,9.3,140,17.3,12.62,15,높음
카바,530,0.7,0.15,1890,6.3,0.36,15,높음
레이저커팅,720,9.3,1.44,900,20.3,2.43,15,높음
금속가공,530,7.9,1.62,540,13.0,2.59,15,높음
철판레이저가공,270,9.1,3.62,420,24.1,5.86,15,높음
철제프레임,700,7.9,1.29,1830,33.3,1.95,15,높음
철골구조,670,7.4,1.2,620,17.5,2.95,15,높음
레이저절곡,140,6.1,4.42,100,1.5,1.46,15,높음
철판밴딩,100,1.8,1.9,100,2.0,2.11,14,높음
철판레이저,50,1.1,2.18,50,0.3,0.67,12,중간
박판가공,30,2.0,7.18,10,0.0,0.0,7,중간
SHELF,3770,0.3,0.01,11500,2.7,0.03,6,중간
NCT가공,240,4.7,2.14,230,5.7,2.65,15,높음
철판가공,580,15.5,2.86,880,29.8,3.72,15,높음
포토존,2560,25.5,1.1,5790,72.8,1.35,15,높음
갈바,2810,27.2,1.09,3640,93.3,2.79,15,높음
밴딩,1880,8.0,0.47,3160,31.7,1.07,15,높음
구로철판,820,12.4,1.68,1120,33.1,3.2,14,높음
외함,300,3.3,1.22,200,1.3,0.69,13,중간
공장자동화시스템,80,1.9,2.46,70,0.3,0.51,15,높음
아마다펀칭기,10,1.2,7.7,30,1.7,4.92,3,높음
공장자동화,510,7.3,1.61,420,5.0,1.32,15,높음
모형절단,110,3.7,3.67,50,2.3,4.58,15,높음
철주문제작,10,0.3,2.24,10,1.0,8.34,13,중간
NCT판금,40,0.8,1.88,20,0.0,0.0,12,중간
