연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
절곡,1560,9.1,0.62,1820,22.3,1.32,15,높음
프레스금형,860,13.6,1.66,700,15.2,2.25,15,높음
철판절곡,410,7.0,1.79,730,25.1,3.75,15,높음
포스맥,1000,19.9,2.08,850,36.3,4.5,15,높음
철판가공,550,13.6,2.62,900,25.5,3.03,15,높음
레이저커팅,680,9.5,1.48,840,15.7,2.01,15,높음
태양광구조물,430,11.8,2.88,230,10.9,4.94,15,높음
형강,1090,13.3,1.27,590,15.0,2.72,15,높음
국기봉,680,10.0,1.59,1900,35.7,2.07,15,높음
레이저절단,360,7.8,2.26,330,9.5,3.0,15,높음
레이저절단절곡,30,1.1,3.42,30,0.0,0.0,15,높음
김포절곡,10,0.3,3.34,< 10,0.0,0.0,3,높음
레이저가공,900,22.6,2.72,730,24.0,3.47,15,높음
납판,220,10.5,4.82,250,20.0,9.01,15,높음
납,2610,8.1,0.33,6780,51.5,0.81,15,높음
일산절곡,10,1.7,15.63,10,0.0,0.0,3,높음
갈바,2710,26.8,1.05,3580,92.0,2.75,15,높음
LASERCUTTING,40,0.6,1.5,20,0.3,1.76,14,높음
스테인레스가공,110,4.7,4.39,130,9.0,7.5,15,높음
SUS파이프,480,13.3,2.95,190,11.0,5.92,15,높음
스텐철판,350,16.1,4.94,980,46.2,4.97,15,높음
금속가공,510,9.4,1.9,540,14.3,2.76,15,높음
레이저가공기,190,2.3,1.23,150,3.0,2.0,15,높음
철판레이저가공,300,10.1,3.69,440,27.7,6.65,15,높음
서스파이프,280,8.2,3.13,280,13.7,5.18,15,높음
국기게양대,1110,18.5,1.78,1150,33.7,3.14,15,높음
절곡레이저,< 10,0.0,0.0,10,0.0,0.0,3,높음
판가공,< 10,0.3,4.35,< 10,0.0,0.0,3,높음
분체도장,3490,41.4,1.27,3810,112.3,3.16,15,높음
스텐절곡,290,7.5,2.75,700,22.0,3.36,15,높음
프레스가공,390,7.7,2.08,200,9.3,4.6,15,높음
V컷팅,210,2.9,1.46,190,5.0,2.71,15,높음
절단절곡,120,3.3,2.69,280,11.7,4.33,15,높음
레이져가공,< 10,0.2,4.0,< 10,0.0,0.0,15,높음
레이저컷팅,400,4.7,1.24,510,7.1,1.48,15,높음
파이프밴딩,390,14.9,3.96,590,28.7,5.1,15,높음
알곤용접,1220,5.6,0.49,3860,60.8,1.69,15,높음
특장차부품,50,4.1,7.8,180,8.3,4.94,15,높음
C형강,1730,27.4,1.67,1640,58.8,3.85,15,높음
제관,1070,4.8,0.48,1270,4.3,0.36,15,높음
코일센터,90,2.7,2.93,60,1.4,2.55,4,낮음
철판절단,170,2.3,1.38,240,3.3,1.45,15,높음
철판레이져,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
구로철판,820,12.6,1.62,1120,27.6,2.65,14,높음
SUS판,230,4.6,2.12,100,1.0,0.98,15,높음
NCT가공,220,4.3,1.99,220,6.7,3.11,15,높음
금속제작,150,7.2,4.9,210,19.7,9.74,15,높음
가로등제작,20,2.8,11.84,10,2.9,20.76,15,높음
판금,2130,11.1,0.56,4860,8.3,0.19,15,높음
슬리팅,590,1.7,0.31,490,0.3,0.08,15,높음
레이저절곡,130,5.5,4.25,120,1.8,1.44,15,높음
스텐제작,220,11.5,5.44,440,30.3,7.17,15,높음
알루미늄용접,740,6.3,0.89,1980,49.3,2.71,15,높음
