연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
판재가공,20,0.5,2.08,10,0.0,0.0,13,중간
원목재단,1220,35.9,3.15,3660,185.8,5.52,15,높음
카본파이프,280,7.5,2.85,370,29.0,8.27,15,높음
각목,2050,22.8,1.19,5600,76.0,1.47,15,높음
카본제작,50,3.3,7.13,120,8.0,7.21,15,높음
카본봉,70,2.8,4.22,100,1.3,1.46,15,높음
가구DIY,500,17.3,3.68,1900,103.2,5.84,15,높음
카본가공,50,1.1,2.33,50,0.7,1.2,15,높음
책상DIY,150,3.1,2.06,470,26.3,6.07,15,높음
원목목재,580,35.6,6.56,1920,116.3,6.45,15,높음
카본성형,30,1.8,5.22,40,1.3,3.04,12,중간
원목,3640,48.9,1.44,11100,310.8,3.01,15,높음
펜던트제작,80,2.6,3.43,380,53.3,14.58,15,높음
판재,700,8.7,1.35,930,23.7,2.8,15,높음
테이블상판,1030,25.1,2.7,4010,118.7,3.19,15,높음
각재규격,260,6.9,2.69,180,16.7,9.64,14,높음
원목판재,670,31.0,4.82,2160,116.1,5.78,15,높음
스피커DIY,150,1.9,1.26,340,2.0,0.61,12,중간
나무제단,230,3.7,1.73,830,38.0,5.0,10,중간
목재재단,3330,82.5,2.69,7560,319.6,4.6,15,높음
원목절단,40,1.0,2.14,130,2.0,1.91,15,높음
가훈,1160,4.7,0.43,4950,57.7,1.24,15,높음
DIY목재재단,280,12.3,4.78,630,38.3,6.64,15,높음
원목주문제작,140,5.5,4.21,510,28.3,5.98,15,높음
서랍장만들기,110,1.7,1.57,670,21.0,3.42,15,높음
폼보드재단,50,0.8,1.56,90,2.7,2.75,14,높음
원목공방,130,1.7,1.34,820,26.3,3.43,15,높음
수납장DIY,90,1.6,1.73,340,4.3,1.37,15,높음
인조대리석가공,50,2.4,4.63,70,3.0,4.06,15,높음
자작나무합판재단,160,5.4,3.36,340,24.9,7.54,15,높음
인천목재재단,20,6.0,30.0,30,0.0,0.0,2,중간
나무글씨,40,0.5,1.07,240,3.7,1.66,15,높음
집성판,340,14.7,4.61,630,54.7,9.32,15,높음
특수목재,250,21.4,9.23,790,103.7,13.6,15,높음
DIY가구만들기,290,10.3,3.78,1350,48.1,3.95,15,높음
스텐파이프가공,80,3.8,4.48,130,3.5,2.7,12,중간
나무재단,1480,37.6,2.72,4470,231.0,5.61,15,높음
목공공방,400,2.7,0.78,1710,28.0,1.86,15,높음
금속라벨제작,20,0.8,4.42,50,3.3,6.92,15,높음
목재재단기계,60,1.7,2.78,280,2.6,0.97,6,중간
목재종류,300,3.1,1.1,730,38.0,5.46,13,중간
아크릴공방,40,1.6,3.45,110,0.9,0.87,2,중간
집성판재,110,6.2,5.94,120,11.3,9.93,15,높음
금속공예공방,200,4.6,2.42,1150,35.3,3.21,15,높음
집성목재단,100,3.3,3.71,140,15.0,10.88,15,높음
목재절단,140,2.9,2.23,250,12.3,5.64,15,높음
자작나무재단,60,2.3,3.45,140,3.9,2.86,10,중간
나무DIY,250,3.3,1.42,780,28.7,3.99,15,높음
재단목재,40,1.2,3.17,170,1.8,1.02,6,중간
집성각재,60,2.1,3.14,80,0.5,0.6,13,중간
원목가공,130,4.0,3.08,170,2.3,1.32,15,높음
3D아트월,20,1.0,4.67,40,2.0,4.77,11,중간
우드재단,10,1.0,5.27,90,0.7,0.76,1,중간
나무판재단,30,0.9,2.92,90,0.3,0.38,3,낮음
사설안내표지판,160,1.3,0.82,70,0.3,0.5,14,높음
나무가공,200,3.5,1.79,320,12.0,4.03,15,높음
서랍장DIY,40,0.9,2.2,160,10.8,7.22,15,높음
DIY가구재료,10,0.5,3.12,100,7.0,7.61,15,높음
폼포드,630,3.3,0.58,1760,20.3,1.24,15,높음
DIY침대,150,3.7,2.62,740,24.7,3.61,15,높음
원목각재,550,17.1,3.32,1770,78.6,4.8,13,중간
침대DIY,70,1.6,2.43,440,3.5,0.84,15,높음
원목책장DIY,50,1.5,2.92,260,2.0,0.84,15,높음
우드아트월,70,0.9,1.15,330,7.3,2.39,15,높음
대전목재재단,20,2.4,13.21,30,0.0,0.0,3,높음
인천합판재단,< 10,1.7,33.34,10,2.1,12.5,2,중간
원목가구만들기,50,1.7,3.63,160,1.3,0.8,15,높음
내부간판,80,2.6,3.52,130,7.1,5.98,15,높음
목공예DIY,30,1.1,3.35,80,1.0,1.29,15,높음
인천나무재단,< 10,1.3,25.0,10,0.0,0.0,2,중간
목재레이저가공,20,0.5,3.0,10,0.0,0.0,11,중간
멀바우재단,90,2.9,3.45,190,2.5,1.37,13,중간
집성목가공,< 10,1.0,12.75,< 10,0.0,0.0,13,중간
집성목가격,70,5.0,7.22,380,42.7,12.32,15,높음
각재절단,< 10,1.0,33.34,10,0.0,0.0,3,높음
DIY가구제작,20,1.3,6.08,40,3.3,7.41,15,높음
대전원목재단,< 10,0.6,14.29,10,4.0,28.58,2,중간
합판커팅,10,1.0,5.89,20,1.7,7.25,3,높음
대전목재가공,< 10,1.0,33.34,< 10,0.0,0.0,3,높음
합판CNC가공,30,1.6,4.6,20,2.3,8.66,14,높음
목공재단,30,0.3,1.02,150,1.0,0.7,3,높음
대전합판재단,< 10,4.0,66.67,< 10,1.0,14.29,1,중간
청주목재재단,< 10,1.0,20.0,10,1.0,6.67,1,중간
가구재단,20,0.0,0.0,80,0.7,0.87,3,높음
포맥스절단,30,0.5,1.55,60,0.3,0.54,14,높음
포멕스재단,20,1.1,3.96,40,1.0,2.64,15,높음
포멕스제단,< 10,0.0,0.0,10,0.7,4.17,15,높음
대전나무재단,< 10,2.0,22.23,10,1.0,9.53,2,중간
청주MDF,< 10,1.3,16.67,< 10,1.3,44.45,3,높음
카본디자인,10,0.0,0.0,10,0.0,0.0,2,중간
카본판재가공,< 10,0.3,6.67,< 10,0.0,0.0,3,높음
원목절단판매,< 10,0.3,16.67,< 10,0.7,13.34,3,높음
절단가공,20,0.1,0.35,< 10,0.0,0.0,14,높음
목재맞춤재단,10,0.7,5.13,10,0.7,4.45,3,높음
수입MDF,< 10,1.0,33.34,< 10,1.0,25.0,1,중간
천안MDF,< 10,1.0,20.0,< 10,0.8,10.53,1,중간
대전MDF,< 10,0.6,7.41,< 10,0.3,5.56,3,낮음
