연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
CAM,2700,1.9,0.08,3180,3.3,0.11,15,높음
인천폴리텍대학,3150,0.0,0.0,6670,0.0,0.0,0,낮음
마스터캠,1020,9.2,0.94,910,16.7,1.94,15,높음
캠,16200,5.3,0.04,27500,9.0,0.04,15,높음
캐드캠,430,1.9,0.45,610,9.7,1.64,15,높음
직업훈련소,270,2.5,0.96,680,18.7,2.94,15,높음
NCG,100,0.5,0.51,140,1.8,1.24,12,중간
머시닝센터,1360,7.5,0.57,1670,36.8,2.31,15,높음
드론자격증국비,1050,25.1,2.48,3460,127.2,3.99,10,중간
대학교,24800,2.7,0.02,30200,2.7,0.01,12,중간
NCGCAM,20,1.8,6.74,30,4.0,11.63,4,낮음
지게차운전기능사,7090,17.5,0.26,18800,218.3,1.21,15,높음
마스터캠교육,40,4.2,8.7,60,5.7,9.29,9,중간
CNC선반,2420,16.2,0.69,4480,98.8,2.3,15,높음
기계정비산업기사,2510,6.4,0.27,4910,19.5,0.41,14,높음
기계가공,360,2.3,0.66,250,3.3,1.37,15,높음
마스터캠학원,10,1.4,7.87,40,1.9,4.59,5,중간
전문대,3690,2.6,0.08,10000,0.0,0.0,6,중간
드론교육,4100,25.5,0.65,2870,55.8,2.09,15,높음
기계가공기능장,360,1.2,0.34,620,1.8,0.3,12,중간
마스터캠9.1,120,1.0,0.9,110,0.3,0.23,14,높음
NXUG,430,1.7,0.41,200,1.3,0.63,15,높음
NX,1350,3.9,0.31,1280,0.0,0.0,15,높음
시마트론,230,2.8,1.23,130,0.3,0.26,9,중간
직업적성테스트,5470,8.8,0.17,24200,191.0,0.84,15,높음
CAM교육,10,0.5,4.07,10,0.0,0.0,14,높음
MASTERCAM,210,1.3,0.63,90,0.3,0.29,15,높음
CAM학원,10,0.5,5.56,30,0.0,0.0,12,중간
청년일자리,1970,1.2,0.07,3010,1.0,0.04,15,높음
컴퓨터응용가공산업기사,1790,8.1,0.47,2550,25.0,1.01,15,높음
UGNX,850,3.7,0.45,400,3.3,0.87,15,높음
전문대학교,1610,3.3,0.22,2100,0.0,0.0,8,중간
파워밀교육,20,2.1,10.39,30,2.5,7.53,4,낮음
직업,12400,9.7,0.09,32500,13.3,0.05,15,높음
학교,7760,2.5,0.04,28200,0.3,0.01,8,중간
