연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
DWG,3940,11.8,0.31,2420,2.3,0.11,14,높음
무료캐드,2170,30.7,1.47,750,41.3,5.71,15,높음
오토캐드뷰어,6680,33.1,0.51,500,0.3,0.07,11,중간
캐드도면,2810,7.1,0.27,2990,55.0,1.94,15,높음
DWG파일,1660,5.1,0.32,460,0.3,0.08,14,높음
도면프로그램,560,5.5,1.02,280,12.3,4.64,15,높음
도면,5060,3.9,0.08,3650,4.7,0.14,15,높음
무료CAD,250,3.2,1.32,40,0.3,0.78,15,높음
DWG뷰어,9580,22.4,0.24,1130,1.0,0.1,14,높음
캐디안,5340,21.5,0.42,1150,24.3,2.24,14,높음
DWGTRUEVIEW,4300,25.6,0.61,240,0.0,0.0,9,중간
캐드뷰어,5720,10.9,0.2,290,0.3,0.12,15,높음
설계프로그램,500,1.8,0.37,340,4.6,1.42,15,높음
대안캐드,340,5.3,1.57,110,6.2,5.53,15,높음
AUTOCADVIEWER,400,1.3,0.33,10,0.3,2.57,8,중간
CAD뷰어,1510,7.8,0.53,70,0.0,0.0,15,높음
PDFDWG변환,700,4.2,0.6,70,0.0,0.0,7,중간
국산캐드,110,3.5,3.23,40,3.0,7.15,14,높음
설계도,1360,2.0,0.16,1440,1.0,0.08,15,높음
캐드무료다운,230,8.3,3.79,30,0.0,0.0,4,낮음
STP뷰어,880,7.8,0.9,70,0.3,0.47,12,중간
캐드도면프로그램,10,0.7,3.58,< 10,0.0,0.0,3,높음
DWGTAB,50,0.3,0.63,< 10,0.0,0.0,3,높음
캐드버전,280,0.0,0.0,60,0.0,0.0,2,중간
캐드무료프로그램,20,2.4,9.73,< 10,0.4,5.89,3,높음
케드버전,10,0.0,0.0,< 10,0.0,0.0,1,중간
캐드2002,10,0.0,0.0,< 10,0.0,0.0,3,높음
캐드2007,30,0.0,0.0,10,0.0,0.0,3,높음
DWG보는법,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
DWG열기,20,0.3,1.24,< 10,0.0,0.0,3,높음
DWG읽기,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
DXFDWG변환,50,1.3,2.73,< 10,0.0,0.0,3,높음
