연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
디자인설계,90,1.0,1.08,60,0.0,0.0,15,높음
산업디자인,2460,2.1,0.09,4230,14.0,0.35,15,높음
랜더링,2490,1.1,0.05,3040,0.9,0.04,15,높음
제품제작,150,4.8,3.29,130,10.2,7.96,15,높음
용기디자인,100,2.9,2.79,60,3.7,5.92,15,높음
오피스인테리어,510,18.9,3.77,510,21.6,4.63,15,높음
인테리어업체,1980,42.3,2.19,4460,177.0,4.2,15,높음
인테리어회사,1140,19.0,1.73,2060,29.6,1.53,15,높음
제품개발,690,9.8,1.45,390,10.0,2.65,15,높음
사무실인테리어,6960,194.1,2.86,11800,598.2,5.39,15,높음
전자제품개발,10,0.7,5.24,10,0.3,2.23,15,높음
렌더링,3590,1.9,0.06,4030,2.7,0.07,15,높음
산업디자인전문회사,400,1.8,0.46,40,0.0,0.0,15,높음
산업디자이너,700,0.5,0.07,1540,1.0,0.07,15,높음
기구설계,1090,13.7,1.27,560,8.9,1.68,15,높음
제조업체,480,4.4,0.92,280,3.7,1.36,15,높음
제품설계,330,4.7,1.42,140,4.0,2.74,15,높음
병원인테리어전문,50,6.2,11.08,100,12.9,13.7,15,높음
3D모델링업체,30,0.7,2.37,20,3.3,13.89,15,높음
유니버셜디자인,4610,3.8,0.09,5780,1.0,0.02,12,중간
실리콘금형,160,7.5,4.53,120,6.7,5.8,15,높음
상품개발,270,1.1,0.43,220,0.3,0.16,15,높음
인테리어설계,360,2.9,0.82,540,11.4,2.18,15,높음
인테리어시공,610,14.8,2.5,1290,42.3,3.5,15,높음
SLA프린터,200,1.4,0.74,170,6.3,4.04,15,높음
3D프린팅제작,50,2.7,5.36,40,7.7,18.7,15,높음
산업디자인회사,80,1.3,1.52,30,3.1,8.48,15,높음
목업디자인,130,0.6,0.46,50,0.0,0.0,15,높음
인테리어디자인,1510,8.2,0.56,2450,27.0,1.16,15,높음
제품모델링,40,0.9,1.91,30,0.0,0.0,15,높음
키오스크디자인,80,1.2,1.4,60,0.0,0.0,15,높음
지식산업센터인테리어,290,9.6,3.32,440,18.7,4.61,15,높음
3D프린터샘플제작,30,2.2,7.1,10,0.3,2.09,15,높음
건축모형만들기,180,2.5,1.43,470,18.7,4.14,15,높음
사무실디자인,170,5.3,3.1,190,6.7,3.61,15,높음
부동산사무실인테리어,450,11.7,2.68,1240,51.9,4.45,15,높음
제품디자이너,730,1.1,0.17,1210,1.0,0.09,15,높음
기구디자인,30,0.8,2.29,10,0.0,0.0,15,높음
제품디자인업체,30,0.6,1.77,10,0.8,6.82,15,높음
3D프린터회사,140,1.9,1.41,220,5.3,2.51,15,높음
생활용품디자인,60,0.3,0.5,120,0.3,0.29,15,높음
기계제작,300,13.3,4.34,280,17.0,6.08,15,높음
인테리어컨설팅,140,2.5,1.83,300,18.5,6.5,15,높음
시제품개발,90,1.8,1.96,30,0.7,2.03,15,높음
아이디어상품개발,10,0.6,3.34,20,0.0,0.0,15,높음
제품디자인,2620,36.5,1.42,1960,22.5,1.19,15,높음
의료기기디자인,100,4.0,3.97,30,0.7,2.23,15,높음
사무실인테리어업체,90,4.3,4.75,20,3.8,13.4,15,높음
플라스틱주문제작,80,3.6,4.29,150,16.9,11.33,15,높음
DLP프린터,80,0.2,0.24,50,0.3,0.48,15,높음
목업제작업체,10,0.4,2.5,10,1.7,12.83,15,높음
