연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
기구설계,1090,13.7,1.27,560,8.9,1.68,15,높음
CNC가공,2450,20.1,0.85,4130,52.8,1.35,15,높음
시제품제작,2620,24.5,0.98,770,42.8,5.78,15,높음
로봇개발,80,0.4,0.5,120,0.0,0.0,15,높음
소형로봇,20,0.6,2.62,30,0.5,2.0,15,높음
시제품제작업체,1380,2.5,0.2,70,5.0,6.95,15,높음
제품개발,690,9.8,1.45,390,10.0,2.65,15,높음
제조업,3110,5.1,0.17,3630,4.3,0.13,15,높음
제품설계,330,4.7,1.42,140,4.0,2.74,15,높음
기계제작,300,13.3,4.34,280,17.0,6.08,15,높음
로봇제작,90,2.9,3.16,250,1.3,0.51,15,높음
사출금형,1540,18.3,1.23,1270,12.8,1.06,15,높음
목업,5660,11.0,0.2,3700,16.8,0.48,15,높음
드론자격증국비,1050,25.1,2.48,3460,127.2,3.99,10,중간
평택직업학교,10,0.3,2.03,30,0.0,0.0,9,중간
시제품제작지원사업,140,0.9,0.65,50,0.7,1.29,15,높음
기구제작,10,1.1,6.3,20,1.3,5.13,15,높음
발명품아이디어,1580,1.1,0.08,6780,0.3,0.01,15,높음
임가공,2490,1.8,0.08,2000,0.7,0.04,15,높음
전산응용기계제도기능사,4510,6.9,0.16,6200,30.0,0.51,15,높음
지능형로봇,490,0.4,0.09,620,0.3,0.06,15,높음
자동세차기,200,9.6,4.71,540,40.6,8.2,15,높음
사출,4360,9.8,0.24,7380,49.3,0.71,15,높음
샘플제작,130,3.3,2.5,150,6.5,4.51,15,높음
기계설계산업기사,4420,10.6,0.25,6110,32.3,0.55,15,높음
시제품설계,< 10,0.3,3.71,10,0.3,2.09,15,높음
지게차운전기능사,7090,17.5,0.26,18800,218.3,1.21,15,높음
기계부품제작,< 10,0.1,1.79,< 10,0.0,0.0,14,높음
3D설계,370,1.4,0.38,260,2.3,0.95,15,높음
CNC교육,70,2.0,2.78,60,3.3,5.47,15,높음
보치아홈통,50,3.2,6.39,10,0.0,0.0,3,높음
드론교육,4100,25.5,0.65,2870,55.8,2.09,15,높음
설계대행,10,0.5,4.11,< 10,0.3,3.71,15,높음
졸업작품,1000,4.1,0.42,1110,11.3,1.04,15,높음
피규어,8770,86.6,1.05,36400,724.2,2.15,15,높음
가공업체,130,4.3,3.17,70,1.7,2.49,15,높음
머시닝센터,1360,7.5,0.57,1670,36.8,2.31,15,높음
기구설계용역,10,1.9,14.36,< 10,0.0,0.0,15,높음
인벤터,5520,6.2,0.12,2320,18.1,0.83,15,높음
로봇,8010,16.7,0.22,17300,73.8,0.46,15,높음
컴퓨터응용밀링기능사,930,1.6,0.18,1790,0.0,0.0,15,높음
PLC교육,390,8.0,2.06,250,8.3,3.45,15,높음
3D모델링,3150,6.7,0.22,2980,22.0,0.78,15,높음
컴퓨터응용가공산업기사,1790,8.1,0.47,2550,25.0,1.01,15,높음
3D프린터자격증,1370,8.6,0.66,2570,59.3,2.47,15,높음
플라스틱금형,260,6.8,2.59,210,10.3,5.1,15,높음
모형제작,510,12.4,2.44,430,13.8,3.37,15,높음
기계제작업체,10,1.0,5.89,< 10,0.0,0.0,15,높음
디자인대학원,270,1.6,0.59,440,7.3,1.75,15,높음
솔리드웍스교육,160,5.1,3.12,60,1.3,2.03,15,높음
3D캐드,1180,1.7,0.15,1020,5.3,0.55,15,높음
디자인자격증,680,1.8,0.28,1140,0.7,0.07,15,높음
디자인관련자격증,140,0.2,0.14,150,0.0,0.0,5,중간
산업디자인학과,1190,0.8,0.07,5420,1.0,0.02,15,높음
시각디자인산업기사,1770,2.3,0.14,2350,8.3,0.38,15,높음
시각디자인자격증,210,0.7,0.35,430,1.9,0.47,15,높음
기구개발,100,0.1,0.14,80,0.0,0.0,15,높음
설계외주,10,0.1,0.89,10,0.0,0.0,15,높음
발명품제작,60,2.7,4.38,170,17.1,10.18,15,높음
오토캐드자격증,2600,5.3,0.22,3860,29.8,0.82,15,높음
플라스틱성형,210,6.3,3.11,230,7.7,3.46,15,높음
CNC선반교육,20,0.9,5.07,30,0.0,0.0,9,중간
연구개발,940,0.5,0.06,460,0.0,0.0,15,높음
오토캐드,48800,49.5,0.11,13200,182.5,1.44,15,높음
솔리드웍스학원,110,3.9,3.31,120,6.3,5.34,15,높음
지관컷팅기,< 10,0.0,0.0,30,0.0,0.0,7,중간
자동차모형,590,2.8,0.5,2030,18.7,1.0,15,높음
