연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
도면,5060,3.9,0.08,3650,4.7,0.14,15,높음
아파트도면,1770,6.8,0.4,2300,20.0,0.94,15,높음
무료캐드,2170,30.7,1.47,750,41.3,5.71,15,높음
집도면,650,0.7,0.11,1100,0.7,0.07,9,중간
아파트평면도,2080,5.6,0.29,2550,0.7,0.03,15,높음
평면도,5850,4.2,0.08,5120,0.7,0.02,15,높음
A1출력,150,1.6,1.06,120,6.7,5.56,15,높음
일러스트제작,250,6.9,2.87,430,14.7,3.56,15,높음
전산응용기계제도기능사,4510,6.9,0.16,6200,30.0,0.51,15,높음
A2출력,110,2.4,2.13,110,11.3,10.22,15,높음
타이핑알바,1820,33.1,1.88,3260,89.9,2.9,15,높음
캐드도면출력,280,0.4,0.15,150,1.7,1.17,15,높음
일러스트,28600,177.1,0.65,48000,331.5,0.74,15,높음
투시도,2050,11.6,0.58,1670,18.3,1.15,15,높음
오토캐드뷰어,6680,33.1,0.51,500,0.3,0.07,11,중간
조감도,4680,27.7,0.61,5070,39.5,0.83,15,높음
일러스트의뢰,130,6.7,5.17,220,20.0,9.14,15,높음
건축설계도면,550,4.0,0.74,1110,1.7,0.16,15,높음
A0출력,60,1.8,2.69,40,6.0,12.77,15,높음
일러스트사이트,1220,13.6,1.18,1220,27.0,2.4,15,높음
일러스트외주,230,8.7,3.87,360,20.4,5.99,15,높음
지도제작,490,23.1,4.81,410,41.3,10.45,15,높음
CAD자격증,2770,9.1,0.35,4200,49.8,1.24,15,높음
DWG,3940,11.8,0.31,2420,2.3,0.11,14,높음
전지출력,60,1.9,2.88,70,4.5,6.53,15,높음
도면인쇄,90,2.0,2.21,50,0.7,1.2,15,높음
전산응용건축제도기능사,7480,11.5,0.17,11700,42.0,0.38,15,높음
약도,2760,17.2,0.65,3150,28.7,0.96,10,중간
지도,647400,224.3,0.04,1019000,125.0,0.02,15,높음
일러스트그림,1310,7.5,0.6,4930,5.0,0.11,15,높음
오토캐드자격증,2600,5.3,0.22,3860,29.8,0.82,15,높음
반접제본,70,3.8,5.02,20,1.3,5.34,14,높음
목소리알바,100,2.8,2.68,510,37.6,7.86,14,높음
웹소설표지,230,9.0,4.16,470,32.3,7.61,8,중간
삽화제작,10,1.6,10.0,< 10,0.3,5.56,15,높음
일러스트작가,800,2.6,0.34,1270,0.3,0.03,15,높음
기발한아이디어상품,1150,13.1,1.18,1970,61.9,3.34,15,높음
도면출력,220,7.0,3.25,170,5.0,2.96,15,높음
캐드도면,2810,7.1,0.27,2990,55.0,1.94,15,높음
도면제작,150,1.0,0.7,80,2.7,3.18,15,높음
3D인테리어,1180,2.7,0.25,1220,21.7,1.97,15,높음
도면제본,140,4.1,2.75,40,3.8,9.17,15,높음
길드마크,540,1.6,0.31,260,0.7,0.27,10,중간
