연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
목업,5660,11.0,0.2,3700,16.8,0.48,15,높음
플라스틱사출,1560,37.1,2.45,2400,70.3,3.05,15,높음
목업만들기,110,0.5,0.45,50,0.0,0.0,6,중간
시제품제작,2620,24.5,0.98,770,42.8,5.78,15,높음
조형물제작,920,26.6,2.91,820,56.6,7.4,15,높음
모형제작,510,12.4,2.44,430,13.8,3.37,15,높음
사출금형,1540,18.3,1.23,1270,12.8,1.06,15,높음
CNC조각기,1290,35.2,2.78,1960,75.5,4.09,15,높음
건축모형,590,12.0,2.1,800,17.0,2.22,15,높음
플라스틱제작,330,10.9,3.4,570,35.5,6.51,15,높음
건축모형제작,230,10.7,4.55,380,18.1,4.85,15,높음
CNC가공,2450,20.1,0.85,4130,52.8,1.35,15,높음
알루미늄가공,560,10.4,1.87,440,7.3,1.72,15,높음
목업제작,2260,6.9,0.33,90,4.4,4.71,15,높음
드릴링,290,0.5,0.17,300,1.3,0.44,15,높음
볼트제작,100,5.2,4.95,130,14.0,11.12,15,높음
임가공,2490,1.8,0.08,2000,0.7,0.04,15,높음
사출,4360,9.8,0.24,7380,49.3,0.71,15,높음
기구설계,1090,13.7,1.27,560,8.9,1.68,15,높음
펄프몰드,380,18.7,4.88,150,18.0,11.93,15,높음
FRP조형물,270,7.2,2.72,220,20.3,9.46,15,높음
샘플제작,130,3.3,2.5,150,6.5,4.51,15,높음
FRP,4880,25.5,0.54,5550,56.8,1.07,15,높음
제조업,3110,5.1,0.17,3630,4.3,0.13,15,높음
조형물,2990,20.9,0.72,3910,70.0,1.89,15,높음
기어가공,220,10.0,4.43,160,15.7,9.92,15,높음
플라스틱가공,270,8.0,3.11,250,10.4,4.25,15,높음
피규어,8770,86.6,1.05,36400,724.2,2.15,15,높음
가공업체,130,4.3,3.17,70,1.7,2.49,15,높음
지그제작,310,12.5,3.99,190,11.9,6.37,15,높음
3D모델링,3150,6.7,0.22,2980,22.0,0.78,15,높음
플라스틱금형,260,6.8,2.59,210,10.3,5.1,15,높음
FRP제작,190,6.7,3.51,170,11.3,7.05,15,높음
PLC교육,390,8.0,2.06,250,8.3,3.45,15,높음
제품개발,690,9.8,1.45,390,10.0,2.65,15,높음
플라스틱성형,210,6.3,3.11,230,7.7,3.46,15,높음
기계부품,280,4.4,1.65,220,15.3,7.31,15,높음
이중사출,400,4.9,1.25,310,2.0,0.66,15,높음
자동차모형,590,2.8,0.5,2030,18.7,1.0,15,높음
모형,1470,3.1,0.22,2490,22.7,0.97,15,높음
진공주형,1500,6.7,0.48,100,1.7,1.61,15,높음
모형제작업체,80,2.3,2.75,60,6.8,10.72,15,높음
