연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
발명품,3380,4.7,0.15,9710,5.3,0.06,15,높음
변리사,12800,29.1,0.24,53900,351.3,0.72,15,높음
발사목,140,5.5,4.14,230,18.0,8.3,13,중간
고무줄총,440,1.7,0.41,2630,46.0,1.93,15,높음
고무줄총만들기,160,0.9,0.61,700,3.0,0.48,15,높음
특허,15200,14.5,0.1,11100,42.3,0.4,15,높음
상표권등록,3840,53.9,1.43,3190,95.3,3.13,15,높음
케이스제작,730,14.3,2.03,1800,45.1,2.68,15,높음
시제품,3080,2.9,0.1,2560,0.7,0.03,15,높음
기계제작,300,13.3,4.34,280,17.0,6.08,15,높음
특허출원,5540,24.1,0.45,6890,114.2,1.75,15,높음
나무총,50,0.2,0.43,410,0.5,0.13,10,중간
특허사무소,400,6.5,1.63,480,13.0,2.89,15,높음
상표등록,9890,134.3,1.4,10300,293.2,3.01,15,높음
특허법률사무소,270,4.9,1.77,220,7.4,3.41,15,높음
기발한아이디어상품,1150,13.1,1.18,1970,61.9,3.34,15,높음
과학사,1860,80.8,4.44,2040,107.4,5.51,15,높음
제조업체,480,4.4,0.92,280,3.7,1.36,15,높음
특허등록,1290,3.7,0.3,910,10.0,1.15,15,높음
블로우백,110,0.0,0.0,340,0.0,0.0,3,높음
제품제작,150,4.8,3.29,130,10.2,7.96,15,높음
캡스톤디자인,12500,29.5,0.24,19400,14.0,0.08,15,높음
회로설계,490,2.9,0.6,370,2.7,0.76,15,높음
알루미늄다이캐스팅,430,6.6,1.54,310,2.0,0.67,15,높음
마스크기계,290,8.1,2.83,800,41.3,5.42,15,높음
개틀링건고무줄총,< 10,0.7,16.67,80,0.5,0.67,3,높음
특허변리사,220,2.9,1.39,480,16.0,3.53,15,높음
기계장치,610,0.3,0.06,260,0.0,0.0,9,중간
졸업작품,1000,4.1,0.42,1110,11.3,1.04,15,높음
실험장치제작,< 10,0.7,9.53,< 10,0.3,33.34,3,높음
특허조회,10100,13.0,0.14,8910,43.3,0.52,15,높음
SLA프린터,200,1.4,0.74,170,6.3,4.04,15,높음
3D프린팅제작,50,2.7,5.36,40,7.7,18.7,15,높음
캡스톤디자인제작,20,1.0,3.71,10,0.3,1.76,3,높음
시제품제작,2620,24.5,0.98,770,42.8,5.78,15,높음
특허신청,400,2.3,0.59,440,5.2,1.26,15,높음
건축모형만들기,180,2.5,1.43,470,18.7,4.14,15,높음
3D프린터샘플제작,30,2.2,7.1,10,0.3,2.09,15,높음
상표등록절차,1250,8.6,0.71,1380,42.0,3.22,15,높음
변리사사무소,210,2.9,1.37,310,9.8,3.23,15,높음
중국상표권,30,0.1,0.18,10,0.0,0.0,15,높음
