연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
설계,5190,1.8,0.04,9170,0.7,0.01,15,높음
4대보험가입확인,6360,2.7,0.05,11600,0.0,0.0,11,중간
가구디자인,770,3.0,0.41,1040,15.3,1.53,15,높음
기구설계,1090,13.7,1.27,560,8.9,1.68,15,높음
오토캐드무료다운,7440,165.4,2.35,2840,123.7,4.66,4,낮음
무대디자인,520,2.1,0.41,720,7.0,1.03,15,높음
금형설계,680,4.0,0.6,740,10.3,1.45,15,높음
실내디자인,920,1.2,0.14,1400,16.0,1.19,15,높음
제품개발,690,9.8,1.45,390,10.0,2.65,15,높음
PMS,6240,8.2,0.14,20500,14.5,0.08,15,높음
홈스타일링,980,23.3,2.43,3780,167.4,4.8,15,높음
마스터캠,1020,9.2,0.94,910,16.7,1.94,15,높음
제품설계,330,4.7,1.42,140,4.0,2.74,15,높음
침해보험,20,0.1,0.32,210,19.4,9.49,15,높음
나노캐드,710,14.0,2.01,180,0.3,0.17,5,중간
PLM,2090,5.6,0.28,1460,9.3,0.66,15,높음
건축사무소,1460,29.8,2.1,2530,69.0,2.84,15,높음
건축스케치,230,0.3,0.16,290,1.0,0.36,15,높음
건축사사무소,2390,40.3,1.73,3600,63.3,1.85,15,높음
비교견적,560,0.3,0.05,230,0.3,0.16,15,높음
제품제작,150,4.8,3.29,130,10.2,7.96,15,높음
베란다인테리어,4420,34.9,0.83,41500,546.5,1.44,15,높음
일반기계기사실기학원,110,3.5,3.17,200,13.4,6.82,9,중간
금형교육,40,1.9,4.69,10,0.0,0.0,6,중간
대구3D프린터,110,1.7,1.64,120,5.3,4.49,15,높음
금형설계학원,10,0.8,5.46,20,2.7,11.12,15,높음
건축설계사무소,1350,24.6,1.89,3640,78.0,2.23,15,높음
연필스케치,230,0.8,0.36,840,15.3,1.92,15,높음
사출교육,10,0.0,0.0,10,0.0,0.0,3,높음
스케치업,29000,15.1,0.06,10800,57.8,0.57,15,높음
드래프트사이트,560,7.0,1.27,60,0.7,1.05,10,중간
실내건축,890,1.6,0.19,1090,8.0,0.79,15,높음
실내건축기능사,3610,10.3,0.3,8380,58.8,0.74,15,높음
시제품,3080,2.9,0.1,2560,0.7,0.03,15,높음
DWG뷰어,9580,22.4,0.24,1130,1.0,0.1,14,높음
사출금형설계,120,1.5,1.22,150,4.0,2.74,15,높음
DRAFTSIGHT,580,2.4,0.43,50,0.0,0.0,12,중간
오토캐드자격증,2600,5.3,0.22,3860,29.8,0.82,15,높음
아파트평면도,2080,5.6,0.29,2550,0.7,0.03,15,높음
기계설계교육,10,0.0,0.0,< 10,0.0,0.0,15,높음
기발한아이디어상품,1150,13.1,1.18,1970,61.9,3.34,15,높음
전자캐드기능사실기,380,1.3,0.35,360,0.0,0.0,8,중간
시마트론,230,2.8,1.23,130,0.3,0.26,9,중간
사출금형교육,10,1.4,14.0,< 10,0.0,0.0,5,중간
금형설계교육,10,0.1,0.96,< 10,0.0,0.0,10,중간
설계교육,20,0.3,1.44,10,0.3,2.09,14,높음
건축사,4120,10.1,0.26,7690,6.0,0.09,15,높음
기계설계학원,20,0.5,2.32,70,4.5,6.88,15,높음
CAD뷰어,1510,7.8,0.53,70,0.0,0.0,15,높음
CNC선반,2420,16.2,0.69,4480,98.8,2.3,15,높음
NXUG,430,1.7,0.41,200,1.3,0.63,15,높음
설계학원,20,0.5,2.02,40,0.3,0.7,13,중간
제조업체,480,4.4,0.92,280,3.7,1.36,15,높음
스케치업강좌,1550,8.1,0.54,1480,36.9,2.62,15,높음
무료캐드,2170,30.7,1.47,750,41.3,5.71,15,높음
프로젝트관리,680,4.9,0.74,290,2.9,1.01,15,높음
UGNX,850,3.7,0.45,400,3.3,0.87,15,높음
금형학원,10,1.0,7.0,30,0.0,0.0,7,중간
녹십자생명,270,1.6,0.61,820,25.0,3.17,15,높음
가설건축물축조신고,4000,4.4,0.12,3200,0.3,0.02,14,높음
캐드배우기,2180,8.7,0.41,4410,74.8,1.79,15,높음
인테리어공부,210,1.1,0.57,550,10.3,2.02,15,높음
캐드다운,1220,8.4,0.73,640,20.0,3.27,13,중간
건축가,4420,4.9,0.12,9810,7.3,0.08,15,높음
캐드파워,570,3.2,0.57,160,0.5,0.32,15,높음
CAM,2700,1.9,0.08,3180,3.3,0.11,15,높음
4대보험가입,3730,2.7,0.08,3090,0.0,0.0,15,높음
실내건축산업기사,2790,6.1,0.23,5200,35.0,0.71,15,높음
전산응용기계제도기능사,4510,6.9,0.16,6200,30.0,0.51,15,높음
CNCG코드,460,1.6,0.36,680,0.0,0.0,5,중간
알루미늄다이캐스팅,430,6.6,1.54,310,2.0,0.67,15,높음
기계교육,30,0.9,2.93,30,0.0,0.0,6,중간
건축스케치학원,< 10,0.1,1.91,10,0.7,3.93,15,높음
카티아자격증,520,1.5,0.3,790,15.3,1.99,14,높음
