연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
휴대폰케이스사출,10,0.4,12.5,10,0.0,0.0,3,높음
휴대폰케이스디자인,20,0.3,1.33,60,0.7,1.08,15,높음
휴대폰목업,140,5.0,3.95,130,5.8,5.09,15,높음
휴대용3D스캐너,20,0.1,0.48,10,0.0,0.0,15,높음
화장품케이스디자인,< 10,0.5,23.34,< 10,0.0,0.0,15,높음
화장품제품개발,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
화장품용기주문제작,< 10,0.3,6.67,< 10,0.0,0.0,3,높음
화장품용기제조회사,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
화장품용기제조업체,20,1.7,7.86,10,0.3,2.39,15,높음
화장품용기제작,80,6.6,8.92,40,8.3,23.15,15,높음
화장품금형,10,1.7,13.89,10,2.7,14.82,3,높음
화장품공병제작,< 10,1.1,12.25,< 10,1.3,13.34,11,중간
핸드폰케이스사출,10,1.3,11.6,30,0.0,0.0,6,중간
핸드폰케이스금형,< 10,0.0,0.0,< 10,0.3,16.67,3,높음
하이브리드사출기,10,0.3,2.09,< 10,0.0,0.0,3,높음
하우징업체,30,0.3,1.39,30,0.0,0.0,3,높음
하우징,3510,16.8,0.54,5850,41.7,0.79,15,높음
하드웨어제작,10,0.4,2.53,< 10,0.7,16.67,12,중간
하드웨어개발,50,0.7,1.32,40,0.5,1.29,15,높음
피규어주문제작,110,5.6,4.97,410,41.6,10.32,15,높음
피규어제작,1420,62.9,4.74,5030,457.0,9.52,15,높음
피규어만드는법,10,0.0,0.0,30,1.0,2.71,3,높음
플라스틱회사,60,0.2,0.37,300,0.0,0.0,13,중간
플라스틱화분제작,< 10,0.0,0.0,10,0.0,0.0,0,낮음
플라스틱평판,10,0.7,6.07,10,1.4,14.29,3,높음
플라스틱파렛트,700,23.0,3.62,1330,52.6,4.16,15,높음
플라스틱파레트,440,11.7,2.88,720,34.1,4.8,15,높음
플라스틱통주문제작,10,1.3,14.82,< 10,0.0,0.0,3,높음
플라스틱통제작,20,1.6,9.45,40,4.0,10.82,14,중간
플라스틱케이스제작,90,5.2,6.27,50,2.0,4.45,15,높음
플라스틱주문제작,80,5.6,7.77,140,14.3,10.97,15,높음
플라스틱조형물,< 10,0.3,2.84,10,0.0,0.0,14,높음
플라스틱제품제조,10,0.6,5.0,20,0.0,0.0,15,높음
플라스틱제품제작,10,0.7,8.8,10,0.0,0.0,11,중간
플라스틱제품설계,20,0.8,5.34,20,0.0,0.0,15,높음
플라스틱제품생산,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
플라스틱제품,160,1.4,0.87,160,2.3,1.31,15,높음
플라스틱제조회사,30,0.3,1.15,50,0.0,0.0,3,높음
플라스틱제조업체,80,2.7,3.34,80,3.0,3.75,15,높음
플라스틱제조,170,2.7,1.91,250,9.8,4.34,15,높음
플라스틱제작,300,11.4,4.34,500,32.2,7.22,15,높음
플라스틱재생업체,20,0.0,0.0,40,0.0,0.0,0,낮음
플라스틱용기주문제작,10,2.0,28.58,10,0.0,0.0,3,높음
플라스틱용기제조업체,190,13.7,7.39,410,14.8,4.3,15,높음
플라스틱용기제조,60,4.1,8.3,60,4.5,7.76,15,높음
플라스틱용기제작업체,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
플라스틱용기제작,90,6.4,7.89,70,12.0,18.19,15,높음
플라스틱용기사출,< 10,0.8,11.54,< 10,0.0,0.0,11,중간
플라스틱용기금형,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
플라스틱업체,40,1.1,3.08,80,0.7,0.94,15,높음
플라스틱압출,180,11.5,6.45,150,4.7,3.59,15,높음
플라스틱식품용기,120,12.4,11.46,180,12.3,6.89,15,높음
플라스틱소량제작,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
플라스틱성형업체,< 10,0.1,1.34,< 10,1.0,11.12,15,높음
플라스틱성형,200,4.3,2.32,280,14.0,5.23,15,높음
플라스틱생산업체,< 10,0.0,0.0,10,0.0,0.0,3,높음
플라스틱샘플제작,10,1.0,8.34,10,0.3,3.04,7,중간
플라스틱상자제작,20,2.2,9.97,20,2.3,10.72,15,높음
플라스틱사출회사,10,0.3,3.81,< 10,0.0,0.0,13,중간
플라스틱사출제품,< 10,0.0,0.0,< 10,0.3,16.67,3,높음
플라스틱사출제작,< 10,0.7,14.52,10,0.0,0.0,12,중간
플라스틱사출업체,50,1.9,4.15,30,1.3,3.61,15,높음
플라스틱사출성형기,20,1.3,5.8,20,0.0,0.0,3,높음
플라스틱사출성형,100,0.4,0.37,100,1.5,1.58,15,높음
플라스틱사출금형제작,< 10,0.7,13.34,< 10,0.0,0.0,3,높음
플라스틱사출금형,60,1.9,3.9,10,1.7,11.91,15,높음
플라스틱사출공장,30,1.8,6.69,40,1.3,3.48,15,높음
플라스틱사출,1280,36.7,3.29,1920,73.5,4.46,15,높음
플라스틱볼트,300,9.4,3.45,390,14.8,3.93,15,높음
플라스틱병제조업체,< 10,1.0,33.34,< 10,0.0,0.0,3,높음
플라스틱병제작,10,1.0,6.23,20,3.3,13.7,14,높음
