index,keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
9,3D프린터,10,3670,15704,73,3164.0,230994,0.0,0.0,0.0,저관련인기
5,3D프린팅,6,6240,4783,44,5346.0,235205,0.1111111111111111,0.034462785983203015,0.36363636363636365,고관련인기
7,피규어,8,380,8574,287,322.0,92377,0.13333333333333333,0.015026595744680848,0.6826923076923077,저관련인기
9,피규어제작,10,1870,1089,99,1592.0,157634,0.0,0.0,0.0,저관련인기
3,플라스틱제작,4,2740,307,36,2313.0,83280,0.125,0.0,0.3846153846153846,고관련인기
9,피규어만들기,10,230,395,5,217.0,1083,0.0,0.0,0.0,저관련인기
4,3D프린트,5,5230,1356,5,4478.0,22389,0.16176470588235292,0.1507656065959953,2.0,고관련인기
9,펄프몰드,10,210,191,1,146.0,146,0.0,0.0,0.0,저관련인기
9,플라스틱성형,10,2030,213,4,1814.0,7257,0.0,0.0,0.0,저관련인기
9,3D프린터출력,10,3740,315,1,3129.0,3129,0.0,0.0,0.0,저관련인기
9,금속3D프린터,10,1840,275,0,,0,0.0,0.0,0.0,저관련인기
5,3D프린팅제작,6,2820,63,3,2391.0,7172,0.10880829015544041,0.14634146341463417,0.0,고관련인기
9,산업용3D프린터,10,2920,111,2,2530.0,5059,0.0,0.0,0.0,저관련인기
9,지그제작,10,2470,282,19,2165.0,41128,0.0,0.0,0.0,저관련인기
3,모형제작,4,13990,555,7,12631.0,88419,0.040816326530612235,0.01670644391408116,3.0,고관련인기
9,3D프린터가격,10,1900,393,8,1681.0,13445,0.0,0.0,0.0,저관련인기
1,개인피규어제작,2,1870,120,12,1468.0,17619,1.2127659574468084,0.0,0.33333333333333337,고관련인기
2,3D피규어제작,3,2230,264,28,1922.0,53817,0.13571428571428573,0.0,2.5,고관련인기
0,건축모형만들기,1,1660,198,8,1348.0,10786,1.6296296296296293,0.0,1.0,고관련인기
5,3D프린터제작,6,2720,279,10,2327.0,23274,0.15789473684210525,0.03448275862068967,0.14285714285714285,고관련인기
9,SHAPEWAYS,10,70,38,0,,0,0.0,0.0,0.0,저관련비인기
