index,keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
9,금속절단,10,310,67,0,,0,0.0,0.0,0.0,고관련인기
9,워터젯가공,10,790,115,3,638.0,1914,0.0,0.0,0.0,저관련인기
9,워터젯,10,1120,995,16,874.0,13977,0.0,0.0,0.0,고관련인기
9,금속절단기,10,890,1478,40,760.0,30410,0.0,0.0,0.0,저관련인기
6,파이프밴딩,7,410,378,33,342.0,11292,0.26086956521739135,0.0,0.3157894736842105,고관련인기
6,절곡,7,2300,1486,9,1958.0,17623,0.09944751381215466,0.09075342465753422,0.4,고관련인기
4,밴딩,5,840,1704,20,739.0,14771,0.06349206349206349,0.0,0.5000000000000002,고관련인기
2,철판절곡,3,1910,393,24,1629.0,39095,0.31343283582089554,0.0,8.0,고관련인기
9,디에스워터젯,10,70,126,0,,0,0.0,0.0,0.0,고관련인기
8,스텐절곡,9,480,275,13,421.0,5478,0.2,0.011029411764705883,0.18181818181818182,고관련인기
7,구로철판,8,120,777,13,103.0,1343,0.2222222222222222,0.19895287958115182,0.08333333333333333,저관련인기
0,철판절단,1,2590,170,5,2280.0,11402,0.07692307692307698,0.0,0.25,고관련인기
1,파이프벤딩,2,1380,121,7,1133.0,7932,0.8888888888888891,0.0,0.5,고관련인기
7,벤딩,8,1210,834,5,1075.0,5375,0.05504587155963303,0.0,1.0,고관련인기
9,POM가공,10,830,20,1,644.0,644,0.0,0.0,0.0,저관련비인기
9,금속샤링,10,70,3,1,68.0,68,0.0,0.0,0.0,고관련비인기
9,철판가공,10,2100,358,12,1706.0,20468,0.0,0.0,0.0,저관련인기
8,워터젯절단,9,380,57,2,308.0,617,2.8,0.0,1.0,고관련인기
1,알루미늄절곡,2,770,199,12,663.0,7952,0.3571428571428572,0.0,5.0,고관련인기
9,가스켓가공,10,70,8,0,,0,0.0,0.0,0.0,저관련비인기
2,구로철판가공,3,260,2,0,,0,2.7142857142857144,0.0,0.0,저관련비인기
9,대전철판가공,10,70,10,0,,0,0.0,0.0,0.0,저관련비인기
4,알루미늄절단,5,2800,128,3,2389.0,7166,0.19580419580419584,0.018867924528301883,1.0,고관련인기
1,절단절곡,2,3180,124,6,2518.0,15110,0.5454545454545454,0.0,0.33333333333333337,고관련인기
2,플라스틱절단,3,660,170,4,525.0,2101,1.0714285714285716,0.0,2.0,고관련인기
9,테프론가공,10,1580,207,3,1264.0,3791,0.0,0.0,0.0,저관련인기
8,벤치레스,9,70,84,2,70.0,140,0.0,0.0,0.0,저관련인기
9,구미가공,10,70,6,0,,0,0.0,0.0,0.0,저관련비인기
9,H-BEAM가공,10,70,5,0,,0,0.0,0.0,0.0,저관련비인기
8,WATERJET,9,240,125,1,195.0,195,0.14285714285714285,0.008064516129032258,0.0,저관련인기
1,철판밴딩,2,530,111,5,249.0,1245,4.142857142857142,0.0,1.0,고관련인기
9,DS워터젯,10,70,18,0,,0,0.0,0.0,0.0,고관련비인기
9,서스파이프,10,360,263,6,360.0,2160,0.0,0.0,0.0,저관련인기
9,티타늄가공,10,1220,118,1,777.0,777,0.0,0.0,0.0,저관련인기
4,금속절곡,5,390,71,4,322.0,1288,1.1111111111111112,0.0,2.0,고관련인기
