index,keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
2,휴대폰케이스사출,3,120,3,0,,0,0.7142857142857143,0.0,0.0,저관련비인기
9,휴대폰케이스디자인,10,90,22,0,,0,0.0,0.0,0.0,저관련비인기
9,화장품케이스디자인,10,300,3,0,,0,0.0,0.0,0.0,저관련비인기
9,화장품제품개발,10,70,7,0,,0,0.0,0.0,0.0,저관련비인기
9,화장품용기주문제작,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
9,화장품용기제조회사,10,70,2,0,,0,0.0,0.0,0.0,저관련비인기
9,화장품용기제조업체,10,300,25,1,250.0,250,0.0,0.0,0.0,저관련비인기
8,화장품용기제작,9,650,55,2,544.0,1089,0.22641509433962265,0.03773584905660377,1.0,저관련인기
9,화장품금형,10,70,8,0,,0,0.0,0.0,0.0,저관련비인기
9,화장품공병제작,10,70,3,2,70.0,140,0.0,0.0,0.0,저관련비인기
9,핸드폰케이스사출,10,70,6,0,,0,0.0,0.0,0.0,저관련비인기
9,핸드폰케이스금형,10,70,1,0,,0,0.0,0.0,0.0,저관련비인기
9,하이브리드사출기,10,70,13,0,,0,0.0,0.0,0.0,저관련비인기
9,하우징업체,10,70,49,0,,0,0.0,0.0,0.0,저관련비인기
8,하우징,9,510,3507,17,450.0,7650,0.13333333333333333,0.0911636589919104,0.0625,저관련인기
9,하드웨어제작,10,70,14,2,70.0,140,0.0,0.0,0.0,저관련비인기
6,하드웨어개발,7,1360,57,2,1258.0,2517,0.21111111111111108,0.30303030303030304,1.0,저관련인기
9,피규어주문제작,10,1140,112,3,910.0,2731,0.0,0.0,0.0,저관련인기
9,피규어제작,10,1730,902,33,1479.0,48814,0.0,0.0,0.0,저관련인기
9,피규어만드는법,10,70,23,0,,0,0.0,0.0,0.0,저관련비인기
8,플라스틱회사,9,110,62,0,,0,0.2222222222222222,0.03333333333333333,0.0,저관련인기
9,플라스틱화분제작,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
2,플라스틱통주문제작,3,160,4,0,,0,1.2857142857142858,0.0,0.0,저관련비인기
9,플라스틱통제작,10,100,24,0,,0,0.0,0.0,0.0,저관련비인기
6,플라스틱케이스제작,7,370,71,3,301.0,902,0.15384615384615385,0.051724137931034475,0.0,저관련인기
6,플라스틱주문제작,7,530,59,4,530.0,2120,0.13157894736842107,0.023809523809523836,0.0,저관련인기
9,플라스틱조형물,10,130,14,2,110.0,220,0.0,0.0,0.0,저관련비인기
9,플라스틱제품제조,10,180,14,4,170.0,679,0.0,0.0,0.0,저관련비인기
9,플라스틱제품제작,10,70,14,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱제품설계,10,160,7,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱제품생산,10,70,1,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱제품,10,350,59,1,327.0,327,0.0,0.0,0.0,저관련인기
0,플라스틱제조회사,1,410,52,0,,0,2.285714285714285,0.26315789473684226,0.0,저관련인기
8,플라스틱제조업체,9,310,109,1,283.0,283,0.10714285714285714,0.009259259259259259,0.0,저관련인기
8,플라스틱제조,9,630,158,6,552.0,3310,0.08620689655172414,0.01935483870967742,0.0,저관련인기
9,플라스틱제작,10,1700,158,9,1483.0,13344,0.0,0.0,0.0,저관련인기
9,플라스틱재생업체,10,70,20,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱용기주문제작,10,70,1,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱용기제조업체,10,870,125,9,732.0,6588,0.0,0.0,0.0,저관련인기
9,플라스틱용기제조,10,1250,56,5,1097.0,5484,0.0,0.0,0.0,저관련인기
9,플라스틱용기제작업체,10,70,8,0,,0,0.0,0.0,0.0,저관련비인기
8,플라스틱용기제작,9,870,61,1,810.0,810,0.07407407407407407,0.03389830508474576,0.0,저관련인기
9,플라스틱용기사출,10,70,10,2,70.0,140,0.0,0.0,0.0,저관련비인기
9,플라스틱용기금형,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱업체,10,140,42,1,99.0,99,0.0,0.0,0.0,저관련비인기
9,플라스틱압출,10,1130,144,8,934.0,7471,0.0,0.0,0.0,저관련인기
8,플라스틱식품용기,9,580,112,13,513.0,6672,0.09433962264150944,0.009009009009009009,0.625,저관련인기
9,플라스틱소량제작,10,70,1,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱성형업체,10,70,10,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱성형,10,2000,185,7,1752.0,12261,0.0,0.0,0.0,저관련인기
9,플라스틱생산업체,10,70,9,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱샘플제작,10,70,4,2,70.0,140,0.0,0.0,0.0,저관련비인기
9,플라스틱상자제작,10,180,16,1,137.0,137,0.0,0.0,0.0,저관련비인기
9,플라스틱사출회사,10,160,13,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱사출제품,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱사출제작,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
7,플라스틱사출업체,8,620,59,3,555.0,1664,0.14285714285714288,0.2894736842105264,0.0,저관련인기
9,플라스틱사출성형기,10,70,10,0,,0,0.0,0.0,0.0,저관련비인기
9,플라스틱사출성형,10,270,57,1,247.0,247,0.0,0.0,0.0,저관련인기
9,플라스틱사출금형제작,10,70,1,0,,0,0.0,0.0,0.0,저관련비인기
8,플라스틱사출금형,9,610,58,1,484.0,484,0.22,0.11538461538461539,0.0,저관련인기
