keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
3D프린터,10,3670,14362,16,3139.0,50223,0.0,0.0,0.0,저관련인기
3D프린팅,10,4410,2691,16,3750.0,59993,0.0,0.0,0.0,저관련인기
피규어,8,380,8687,94,309.0,29021,0.13333333333333333,0.10738636363636364,0.05952380952380952,저관련인기
피규어제작,10,1870,1106,76,1592.0,120981,0.0,0.0,0.0,저관련인기
플라스틱제작,4,2740,247,32,2329.0,74539,0.125,0.04081632653061226,0.3333333333333335,고관련인기
피규어만들기,10,230,407,4,211.0,843,0.0,0.0,0.0,저관련인기
3D프린트,10,3400,826,1,2747.0,2747,0.0,0.0,0.0,저관련인기
펄프몰드,10,210,159,2,182.0,363,0.0,0.0,0.0,저관련인기
플라스틱성형,10,2030,185,4,1774.0,7097,0.0,0.0,0.0,저관련인기
3D프린터출력,10,3740,291,1,3187.0,3187,0.0,0.0,0.0,저관련인기
금속3D프린터,10,1840,304,0,,0,0.0,0.0,0.0,저관련인기
3D프린팅제작,10,1930,28,0,,0,0.0,0.0,0.0,고관련비인기
산업용3D프린터,10,2920,131,3,2493.0,7479,0.0,0.0,0.0,저관련인기
지그제작,10,2470,243,8,2152.0,17220,0.0,0.0,0.0,저관련인기
모형제작,2,15460,456,28,13920.0,389770,0.07977736549165121,0.009646302250803873,14.0,고관련인기
3D프린터가격,10,1900,398,7,1698.0,11884,0.0,0.0,0.0,저관련인기
개인피규어제작,10,470,146,7,364.0,2551,0.0,0.0,0.0,저관련인기
3D피규어제작,10,1400,178,0,,0,0.0,0.0,0.0,저관련인기
건축모형만들기,9,310,166,2,252.0,504,0.14814814814814814,0.22058823529411764,0.0,저관련인기
3D프린터제작,2,4140,249,2,3531.0,7062,0.19999999999999984,0.0,0.0,고관련인기
SHAPEWAYS,10,70,35,0,,0,0.0,0.0,0.0,저관련비인기
3D출력서비스,10,320,3,2,288.0,576,0.0,0.0,0.0,저관련비인기
팹랩,8,70,200,0,,0,0.0,0.0,0.0,저관련인기
3D프린터샘플제작,10,930,17,2,813.0,1626,0.0,0.0,0.0,고관련비인기
3D프린팅업체,4,5820,146,2,4951.0,9902,0.14166666666666672,0.06481481481481483,1.0,고관련인기
3DPRINTER,10,1940,230,1,1541.0,1541,0.0,0.0,0.0,저관련인기
3D프린터출력대행,10,2570,202,0,,0,0.0,0.0,0.0,저관련인기
3D프린터업체,5,4390,174,1,3736.0,3736,0.1407942238267148,0.0,0.0,고관련인기
건축모형제작,3,9250,176,1,8115.0,8115,0.22535211267605648,0.0,0.0,고관련인기
커버제작,2,630,90,3,512.0,1535,2.066666666666667,0.0,0.5,고관련인기
3D출력,10,2890,107,0,,0,0.0,0.0,0.0,저관련인기
미니어처제작,8,490,98,17,389.0,6617,0.17142857142857146,0.0,0.0625,고관련인기
모형제작업체,7,8950,83,1,7892.0,7892,0.04150453955901427,0.0,0.0,고관련인기
소품제작,4,1530,112,21,1331.0,27955,0.2222222222222222,0.0,4.0,고관련인기
샘플제작,6,3350,126,10,2887.0,28871,0.158590308370044,0.11764705882352944,0.4,고관련인기
3DSYSTEMS,7,90,209,0,,0,0.2857142857142857,0.03980099502487562,0.0,저관련인기
대형3D프린터,10,1590,114,2,1210.0,2419,0.0,0.0,0.0,저관련인기
DLP프린터,10,130,101,0,,0,0.0,0.0,0.0,저관련인기
디자인제작,4,3830,235,5,3168.0,15838,0.29255319148936165,0.06134969325153372,0.3333333333333333,고관련인기
3D프린터회사,10,1770,156,2,1654.0,3307,0.0,0.0,0.0,저관련인기
목업제작업체,10,3550,25,3,3072.0,9215,0.0,0.0,0.0,고관련비인기
3DPRINTING,10,2340,94,0,,0,0.0,0.0,0.0,저관련인기
MAKERBOT,10,90,169,1,90.0,90,0.0,0.0,0.0,저관련인기
미니어쳐제작,10,700,33,2,554.0,1107,0.0,0.0,0.0,고관련비인기
3D프린터추천,10,2130,471,0,,0,0.0,0.0,0.0,저관련인기
3D프린터필라멘트,10,830,724,1,641.0,641,0.0,0.0,0.0,저관련인기
목업업체,10,1710,17,2,1484.0,2967,0.0,0.0,0.0,고관련비인기
3D솔루션,10,110,80,0,,0,0.0,0.0,0.0,저관련인기
3DITEMS,10,70,8,0,,0,0.0,0.0,0.0,저관련비인기
3D프린터출력물,8,820,80,0,,0,0.10144927536231885,0.10606060606060606,0.0,저관련인기
3D프린팅대행,10,2190,72,1,1882.0,1882,0.0,0.0,0.0,저관련인기
RP,1,1090,4114,0,,0,3.0,0.10532181666202284,0.0,저관련인기
3D프린터출력가격,10,1500,46,0,,0,0.0,0.0,0.0,저관련비인기
3D프린트업체,3,3750,70,1,3204.0,3204,0.2421052631578947,0.0,0.0,고관련인기
시제품,10,4480,1815,0,,0,0.0,0.0,0.0,저관련인기
미니피규어제작,10,80,22,1,80.0,80,0.0,0.0,0.0,저관련비인기
3D프린터부품,5,730,258,10,556.0,5559,0.29268292682926833,0.15882352941176475,0.0,저관련인기
3D시스템즈,7,180,358,5,70.0,350,0.6666666666666667,0.09467455621301779,0.25,저관련인기
로봇제작,8,380,68,2,328.0,657,0.06060606060606061,0.09433962264150941,0.0,저관련인기
