keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
3D프린터,8550,7380,6670,6170,5740,5330,4930,4490,4070,3670
3D프린팅,10560,9040,8040,7370,6750,6240,5750,5300,4870,4410
피규어,1330,1020,760,610,530,470,420,380,340,300
피규어제작,4110,3660,3340,3080,2840,2560,2370,2200,2040,1870
플라스틱제작,3670,3230,2970,2740,2530,2410,2250,2060,1850,1680
피규어만들기,460,400,370,330,310,290,270,250,240,230
3D프린트,8020,7100,6420,5790,5230,4680,4270,3890,3620,3400
펄프몰드,750,700,630,580,500,440,390,330,260,210
플라스틱성형,3310,3020,2830,2650,2480,2360,2260,2190,2120,2030
3D프린터출력,9090,8140,7310,6670,6070,5630,5090,4560,4090,3740
금속3D프린터,6260,5550,4940,4120,3500,3070,2750,2480,2150,1840
3D프린팅제작,4730,4200,3790,3410,3080,2820,2610,2410,2210,1930
산업용3D프린터,6440,5770,5300,4840,4430,4130,3820,3500,3230,2920
지그제작,4610,4240,3960,3680,3520,3350,3140,2930,2710,2470
모형제작,15830,15460,14600,13990,13550,13090,12610,12050,11400,10780
3D프린터가격,4050,3490,3130,2850,2640,2460,2290,2140,2010,1900
개인피규어제작,2190,1870,1300,1050,910,760,680,600,530,470
3D피규어제작,2690,2460,2230,2040,1880,1750,1660,1580,1490,1400
건축모형만들기,1660,1220,990,750,460,420,380,340,310,270
3D프린터제작,4540,4140,3760,3380,3010,2720,2420,2220,2050,1900
SHAPEWAYS,100,70,70,70,70,70,70,70,70,70
3D출력서비스,900,860,620,480,440,350,330,320,320,320
팹랩,310,260,230,200,170,120,80,70,70,70
3D프린터샘플제작,3380,2560,2360,2070,1840,1530,1380,1220,1060,930
3D프린팅업체,7970,7420,6440,5820,5310,4860,4510,4170,3860,3600
3DPRINTER,4660,4240,3710,3270,2880,2630,2420,2230,2080,1940
3D프린터출력대행,6850,6180,5440,4880,4390,3950,3600,3230,2870,2570
3D프린터업체,7080,6360,5500,4900,4390,4000,3670,3370,3090,2770
건축모형제작,10760,10510,9250,8450,7780,6860,5930,4660,4090,3550
커버제작,1010,630,320,280,250,220,210,190,160,150
3D출력,6730,6320,5810,5050,4440,3980,3700,3430,3170,2890
미니어처제작,2100,1660,1190,870,730,630,540,490,430,350
모형제작업체,10880,10670,10370,10010,9720,9310,8950,8630,8250,7710
소품제작,2020,1850,1700,1530,1370,1230,1100,1000,830,720
샘플제작,5220,4730,4350,4000,3620,3350,2990,2740,2490,2270
3DSYSTEMS,2100,1170,750,460,260,120,90,70,70,70
대형3D프린터,6250,5790,4880,4060,3280,2780,2360,2020,1760,1590
DLP프린터,2000,430,330,300,270,230,200,170,150,130
디자인제작,7300,5200,4480,3830,3280,2870,2540,2310,2080,1880
3D프린터회사,3810,3450,3230,3000,2740,2530,2350,2160,1960,1770
목업제작업체,6080,5370,5070,4870,4720,4490,4270,4060,3790,3550
3DPRINTING,4650,4150,3740,3460,3190,2950,2770,2620,2480,2340
MAKERBOT,500,360,310,280,240,200,180,140,110,90
미니어쳐제작,2290,2110,1930,1670,1410,1220,1040,890,780,700
3D프린터추천,3630,3400,3110,2930,2790,2660,2530,2390,2250,2130
3D프린터필라멘트,2640,2300,1990,1830,1700,1530,1320,1100,940,830
목업업체,3160,2940,2730,2520,2290,2170,2040,1930,1800,1710
3D솔루션,900,740,600,440,370,320,280,220,170,110
3DITEMS,100,90,70,70,70,70,70,70,70,70
3D프린터출력물,1990,1770,1490,1290,1170,1040,930,820,750,690
3D프린팅대행,5250,4430,3760,3340,3130,2940,2760,2540,2350,2190
RP,1090,880,810,70,70,70,70,70,70,70
3D프린터출력가격,3610,3110,2850,2600,2270,2100,1950,1760,1620,1500
3D프린트업체,4570,4130,3750,3290,2900,2550,2260,2140,2040,1900
시제품,8620,7380,6990,6550,6120,5740,5430,5150,4810,4480
미니피규어제작,330,290,210,180,160,140,120,100,90,80
3D프린터부품,2680,1530,1110,910,730,610,560,500,450,410
3D시스템즈,2260,1510,1230,920,560,330,180,120,100,90
로봇제작,1010,820,690,620,530,470,420,380,360,330
FDM3D프린터,2700,2100,1310,880,550,420,360,260,210,180
피큐어제작,1070,620,350,260,250,250,210,170,160,150
발명품,1030,800,440,340,300,280,250,230,210,190
아이디어상품제작,1590,1480,1390,1290,1210,1140,1080,980,890,820
소량사출,550,490,460,440,370,290,200,140,120,100
SLA출력,2430,1890,1210,570,280,240,200,170,140,130
컵제작,7140,5350,4510,3880,3160,2720,2470,2260,2080,1920
뚜껑제작,450,370,300,270,240,220,200,180,170,140
모형,13220,12620,11220,9470,7960,6920,6130,5220,4360,3580
스케치업배경,720,640,510,430,320,220,180,160,130,100
메탈3D프린터,3880,3410,2800,2370,2010,1760,1540,1380,1220,1020
용기제작,1140,840,760,660,590,510,460,420,370,320
3D프린트제작,2920,2520,2250,1880,1470,1150,990,860,740,650
3D프린터종류,2920,2250,2000,1860,1680,1540,1400,1250,1130,1010
3DPRINT,5170,3760,3090,2910,2720,2530,2370,2250,2210,2110
CAD출력,2360,2210,1930,1710,1610,1490,1390,1260,1120,1030
SLS,1970,1710,1480,1290,1090,930,820,740,680,620
비행기모형,800,660,550,410,330,310,290,270,250,230
3D제품제작,1320,1150,1070,1040,1010,950,940,840,820,580
자동차부품제작,450,220,170,70,70,70,70,70,70,70
조형물제작,14300,13790,13030,12090,10980,9890,8950,7940,7270,6570
초대형3D프린터,640,560,450,70,70,70,70,70,70,70
캐드출력,3520,2960,2410,2170,1980,1830,1650,1430,1230,1080
샌드캐스팅,100,70,70,70,70,70,70,70,70,70
시작품,3730,2260,1670,1410,1240,1100,960,800,690,610
디자인모형,680,590,460,70,70,70,70,70,70,70
로봇모형,530,400,350,70,70,70,70,70,70,70
PULPMOLD,230,90,70,70,70,70,70,70,70,70
RP제작,1030,650,530,70,70,70,70,70,70,70
3D프린팅서비스,5150,4750,4310,3950,3630,3370,3140,2770,2600,2450
3D프린터모형제작,2360,2200,1970,1760,1570,1430,1260,1140,940,860
3D프린터시제품제작,4790,4390,3960,3700,3440,3200,2980,2760,2520,2240
3D모형제작,6720,6270,5860,5030,4330,3880,3490,3130,2890,2660
3D샘플제작,3230,1850,1770,1520,1160,1000,970,850,680,620
3D인쇄,3380,2690,2420,2190,1900,1740,1660,1570,1450,1380
3D프린트회사,1570,1170,700,540,530,510,500,490,480,470
3D로고,1820,1580,1480,1310,1110,960,880,760,660,530
3D시안,1130,1020,880,790,680,560,490,430,370,330
3DSTORY,360,70,70,70,70,70,70,70,70,70
SLA3D프린터,6200,5710,5200,4610,3910,3410,2970,2640,2340,2030
3D제작,9720,9000,8460,7950,7220,6530,5960,5420,4640,3970
SLA프린터,5320,3790,2580,2090,1650,1370,1160,940,750,610
칼라3D프린터,2070,1300,890,680,460,420,370,340,290,260
PROJET660,1720,1670,1260,300,70,70,70,70,70,70
3D모델링견적,2320,1860,1760,1650,1340,1210,870,670,620,550
SLA프린트,70,70,70,70,70,70,70,70,70,70
3D모델링프린팅,100,90,80,70,70,70,70,70,70,70
출력서비스,1490,1430,1120,1010,890,810,780,710,660,550
씽기버스,150,110,80,70,70,70,70,70,70,70
3D컬러프린터,2310,410,370,300,280,200,170,140,120,100
3D지도,910,590,410,330,280,250,220,190,170,150
삼디프린터,160,120,90,70,70,70,70,70,70,70
SLS프린팅,150,100,90,70,70,70,70,70,70,70
쓰리디프린트,1550,710,420,70,70,70,70,70,70,70
시작품제작,3590,2950,2330,1740,1290,1100,1010,890,800,710
피규어주문제작,2880,2620,2310,2040,1850,1670,1480,1320,1190,1110
디자인제품,1050,800,640,580,510,470,410,370,330,290
3D이미지제작,1970,1700,1570,1530,1430,1340,1190,1090,1000,900
신도리코3D,810,640,530,450,350,300,250,220,190,160
