index,keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
4,3D프린트,5,5430,936,6,4504.0,27024,0.22012578616352196,0.07174231332357245,1.0,고관련인기
9,3D프린터제작,10,1880,262,3,1509.0,4527,0.0,0.0,0.0,고관련인기
1,3D프린트제작,2,2910,61,6,2478.0,14868,0.6969696969696972,0.0,4.0,고관련인기
0,3D프린팅견적,1,4430,42,5,3725.0,18625,0.3151515151515152,0.0,0.0,고관련인기
6,3D출력,7,4280,191,6,3677.0,22062,0.08264462809917356,0.011764705882352941,0.25,고관련인기
8,3D프린터출력,9,4410,392,6,3688.0,22128,0.13659793814432988,0.053763440860215055,0.5,고관련인기
8,디자인업체,9,4220,481,18,3826.0,68861,0.08205128205128205,0.006276150627615063,0.125,고관련인기
2,컵제작,3,4480,543,34,3721.0,126530,0.4728260869565216,0.033854166666666685,0.6923076923076923,고관련인기
5,3DPRINT,6,2500,472,3,2030.0,6091,0.10000000000000003,0.05970149253731344,0.5,고관련인기
0,3DPRO,1,110,58,6,90.0,537,0.2857142857142857,0.0,5.0,고관련인기
9,3D모델링사이트,10,700,96,0,,0,0.0,0.0,0.0,고관련인기
9,3D몰드,10,90,33,0,,0,0.0,0.0,0.0,고관련인기
9,3D업체,10,3310,26,1,2753.0,2753,0.0,0.0,0.0,고관련인기
9,3D인쇄,10,1750,31,0,,0,0.0,0.0,0.0,고관련인기
3,3D제작,4,8060,94,1,7090.0,7090,0.06049822064056937,0.0,0.0,고관련인기
8,3D프린터,9,4260,15143,47,3632.0,170702,0.10077519379844961,0.10010897203051217,0.14634146341463414,고관련인기
6,3D프린터견적,7,1650,41,3,1348.0,4045,0.27368421052631575,0.0,0.5,고관련인기
0,3D프린터대행,1,3260,152,10,2785.0,27849,0.21804511278195493,0.0,6.0,고관련인기
9,3D프린터비용,10,280,27,0,,0,0.0,0.0,0.0,고관련인기
9,3D프린터사이트,10,390,88,0,,0,0.0,0.0,0.0,고관련인기
6,3D프린터샘플제작,7,1630,25,3,1314.0,3942,0.2282608695652174,0.0,0.5,고관련인기
4,3D프린터시제품,5,4990,42,5,4296.0,21480,0.1644295302013422,0.06060606060606058,0.0,고관련인기
6,3D프린터업체,7,3950,149,1,3297.0,3297,0.10580204778156999,0.0,0.0,고관련인기
1,3D프린터외주,2,610,50,7,465.0,3254,2.1428571428571432,0.0,1.0,고관련인기
0,3D프린터의뢰,1,2760,62,5,2383.0,11917,0.4444444444444444,0.0,4.0,고관련인기
9,3D프린터집,10,70,47,0,,0,0.0,0.0,0.0,고관련인기
7,3D프린터출력대행,8,3610,227,2,2964.0,5928,0.10135135135135136,0.04188481675392672,1.0,고관련인기
9,3D프린트기,10,390,55,0,,0,0.0,0.0,0.0,고관련인기
7,3D프린트대행,8,830,57,2,602.0,1205,0.3076923076923077,0.0,1.0,고관련인기
8,3D프린트업체,9,1720,63,3,1289.0,3867,0.11688311688311688,0.125,0.0,고관련인기
5,3D프린트출력,6,2500,32,2,2111.0,4222,0.20512820512820512,0.037037037037037035,0.0,고관련인기
8,3D프린팅,9,5540,2729,4,4704.0,18815,0.1589958158995816,0.060217560217560216,0.3333333333333333,고관련인기
3,3D프린팅가격,4,3170,68,1,2584.0,2584,0.2694610778443114,0.0,0.0,고관련인기
2,3D프린팅대행,3,4320,70,1,3679.0,3679,0.16858237547892718,0.0,0.0,고관련인기
0,3D프린팅비용,1,2470,30,5,2190.0,10951,0.32098765432098797,0.0,3.0,고관련인기
9,3D프린팅사업,10,140,4,0,,0,0.0,0.0,0.0,고관련인기
9,3D프린팅소재,10,70,10,0,,0,0.0,0.0,0.0,고관련인기
7,3D프린팅업체,8,4510,142,2,3801.0,7602,0.10372340425531915,0.03252032520325204,0.0,고관련인기
3,3D프린팅외주,4,200,17,4,200.0,800,0.5,0.0,0.3333333333333333,고관련인기
9,3D프린팅전문가,10,340,61,0,,0,0.0,0.0,0.0,고관련인기
5,3D프린팅제작,6,3190,56,1,2730.0,2730,0.045801526717557245,0.01999999999999999,0.0,고관련인기
5,3D프린팅출력,6,3730,50,2,3258.0,6516,0.05964912280701756,0.02631578947368418,0.0,고관련인기
9,3D프린팅회사,10,790,34,0,,0,0.0,0.0,0.0,고관련인기
8,3D피규어제작,9,1550,193,9,1369.0,12324,0.10714285714285714,0.13529411764705881,0.125,고관련인기
0,SLA프린팅,1,1940,23,4,893.0,3571,11.25,0.0,2.0,고관련인기
0,개인피규어제작,1,2610,104,23,1801.0,41423,1.5294117647058818,0.0,1.2000000000000002,고관련인기
5,건축모형,6,9020,462,1,7780.0,7780,0.18504672897196262,0.0,0.0,고관련인기
5,건축모형만들기,6,440,113,2,334.0,668,0.06060606060606061,0.0,1.0,고관련인기
2,건축모형제작,3,9830,167,2,8669.0,17338,0.23582089552238794,0.0,0.0,고관련인기
5,굿즈제작,6,2380,2882,143,1915.0,273862,0.19607843137254904,0.09141274238227148,0.038461538461538464,고관련인기
1,금속3D프린팅,2,2950,105,9,2396.0,21564,2.0476190476190474,0.0,3.5,고관련인기
9,금속시제품제작,10,70,0,0,,0,0.0,0.0,0.0,고관련인기
5,대형3D프린터,6,2600,176,3,2173.0,6519,0.4081632653061224,0.024390243902439046,0.0,고관련인기
4,디자인제작,5,4650,225,6,3918.0,23506,0.14521452145214525,0.06293706293706292,0.0,고관련인기
1,모형만들기,2,1230,83,2,999.0,1998,1.5294117647058825,0.0,1.0,고관련인기
9,모형제작업체,10,8960,84,2,7974.0,15947,0.0,0.0,0.0,고관련인기
0,목업만들기,1,1600,108,2,656.0,1312,13.857142857142858,0.0,1.0,고관련인기
1,목업사이트,2,2050,1066,7,1663.0,11640,0.36923076923076903,0.0,1.0,고관련인기
2,목업제작,3,9130,2040,3,8119.0,24356,0.23949579831932766,0.0,0.0,고관련인기
4,목업제작업체,5,4900,29,3,4227.0,12680,0.14555256064690025,0.09090909090909091,0.0,고관련인기
0,미니어처만들기,1,1380,704,17,911.0,15487,1.515151515151515,0.0,0.5714285714285715,고관련인기
