index,keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
7,CNC조각기,8,5090,1320,54,4228.0,228326,0.16795865633074933,0.06734317343173432,0.19999999999999998,고관련인기
4,아크릴제작,5,3100,2329,269,2642.0,710641,0.12135922330097088,0.011002444987775084,0.4347826086956522,고관련인기
1,선반제작,2,2230,587,49,1811.0,88750,0.6666666666666667,0.0,0.3913043478260869,고관련인기
4,선반,5,2030,24112,454,1749.0,794182,0.22340425531914887,0.0,1.5609756097560972,고관련인기
9,기계제작,10,2400,224,9,2166.0,19491,0.0,0.0,0.0,고관련인기
5,밀링,6,1780,1901,5,1537.0,7684,0.07971014492753625,0.0,0.25,고관련인기
6,5축가공,7,1030,140,3,868.0,2604,0.06097560975609756,0.0,0.5,고관련인기
6,CNC,7,4430,5049,7,3898.0,27284,0.08683473389355742,0.01956568479896796,0.6666666666666666,고관련인기
4,제조업체,5,1220,320,3,990.0,2971,0.2962962962962964,0.0,0.5,고관련인기
7,기계설계,8,7650,1113,2,6858.0,13715,0.05072463768115942,0.015902712815715623,1.0,고관련인기
5,아크릴가공,6,2570,873,61,2228.0,135922,0.062200956937799035,0.0801186943620178,10.5,고관련인기
2,정밀가공,3,2770,232,8,2387.0,19096,0.4465408805031446,0.0,0.5,고관련인기
9,CNC가공,10,4070,1865,12,3596.0,43156,0.0,0.0,0.0,고관련인기
7,MCT가공,8,2020,541,12,1775.0,21295,0.054945054945054944,0.0,0.375,고관련인기
8,가공,9,460,2979,2,398.0,797,0.09523809523809523,0.0,1.0,고관련인기
3,금속가공,4,2770,472,20,2397.0,47943,0.08000000000000002,0.0,0.5714285714285714,고관련인기
4,방전가공,5,640,547,9,511.0,4598,0.5357142857142858,0.0,1.0,고관련인기
0,아크릴CNC,1,1240,157,19,1100.0,20902,0.25806451612903225,0.0,2.5,고관련인기
8,알루미늄가공,9,4670,540,15,4020.0,60306,0.08857808857808858,0.026615969581749048,0.07142857142857142,고관련인기
4,알루미늄가공업체,5,1610,108,18,1433.0,25797,0.06837606837606836,0.0,1.6666666666666665,고관련인기
6,캠핑용품제작,7,500,71,5,440.0,2201,0.10526315789473684,0.09615384615384615,2.0,고관련인기
0,탭가공,1,1330,287,5,838.0,4188,2.2,0.0,2.0,고관련인기
7,CNC가공업체,8,1260,98,4,1141.0,4564,0.03448275862068966,0.0,1.0,고관련인기
9,CNC업체,10,230,23,0,,0,0.0,0.0,0.0,고관련인기
0,SUS가공,1,3870,89,7,2109.0,14763,1.3166666666666669,0.0,0.6666666666666666,고관련인기
2,로봇제작,3,930,36,2,832.0,1664,0.3414634146341463,0.0,1.0,고관련인기
9,머시닝가공,10,330,33,5,259.0,1294,0.0,0.0,0.0,고관련인기
8,부품가공,9,2020,79,7,1770.0,12387,0.035897435897435895,0.01282051282051282,0.16666666666666666,고관련인기
4,선반가공,5,1710,774,12,1710.0,20520,0.19047619047619047,0.0,0.75,고관련인기
0,아크릴CNC가공,1,1030,50,15,837.0,12550,0.2857142857142856,0.0,6.5,고관련인기
9,아크릴제작업체,10,770,47,5,685.0,3424,0.0,0.0,0.0,고관련인기
1,알루미늄CNC,2,740,84,9,578.0,5204,0.44444444444444464,0.0,0.20000000000000007,고관련인기
2,알루미늄CNC가공,3,1090,146,6,915.0,5491,0.5384615384615385,0.0,2.0,고관련인기
4,알루미늄제작,5,570,155,15,476.0,7135,0.27272727272727276,0.0,0.5714285714285714,고관련인기
7,제조공장,8,2110,233,2,1894.0,3787,0.1895424836601307,0.0,1.0,고관련인기
1,컨베이어제작,2,2200,77,9,1709.0,15379,0.23469387755102056,0.0,0.20000000000000007,고관련인기
9,폴리카보네이트가공,10,470,120,7,412.0,2883,0.0,0.0,0.0,고관련인기
6,플라스틱제작,7,2700,249,18,2318.0,41722,0.10185185185185186,0.009523809523809518,0.16666666666666669,고관련인기
8,플라스틱제조업체,9,320,107,3,292.0,877,0.03225806451612903,0.0,0.5,고관련인기
6,5축CNC,7,140,79,4,118.0,474,0.2,0.0,0.3333333333333333,고관련인기
0,5축가공업체,1,720,22,3,92.0,276,6.857142857142858,0.0,2.0,고관련인기
7,CNC밀링,8,1540,281,3,1475.0,4426,0.09448818897637797,0.0,0.5,고관련인기
5,CNC선반,6,2560,1919,15,2319.0,34781,0.07106598984771575,0.03524533517622669,0.0,고관련인기
7,CNC선반가공,8,1480,114,2,1333.0,2666,0.05303030303030304,0.0,1.0,고관련인기
1,CNC제작,2,770,28,2,490.0,981,2.2,0.0,1.0,고관련인기
6,CNC컷팅,7,410,39,3,361.0,1084,0.09090909090909091,0.0,0.5,고관련인기
9,TAP가공,10,70,38,0,,0,0.0,0.0,0.0,고관련인기
0,가공업체,1,1300,138,7,996.0,6972,0.5,0.0,0.6666666666666666,고관련인기
3,금속CNC,4,450,37,2,387.0,774,0.9230769230769231,0.0,1.0,고관련인기
9,금속가공견적,10,70,15,0,,0,0.0,0.0,0.0,고관련인기
7,금속가공제품제조업,8,70,81,2,70.0,140,0.0,0.0,0.0,고관련인기
8,금속제작,9,1500,149,9,1301.0,11706,0.2,0.0,0.125,고관련인기
