index,keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
9,CNC조각기,10,3870,1084,40,3229.0,129170,0.0,0.0,0.0,저관련인기
9,아크릴제작,10,2060,1636,115,1757.0,202043,0.0,0.0,0.0,저관련인기
6,선반제작,7,1060,587,26,861.0,22386,0.06896551724137931,0.047722342733188705,0.043478260869565216,저관련인기
9,선반,10,940,24112,82,788.0,64585,0.0,0.0,0.0,저관련인기
9,기계제작,10,2400,224,9,2166.0,19491,0.0,0.0,0.0,저관련인기
9,밀링,10,1380,1901,4,1259.0,5036,0.0,0.0,0.0,저관련인기
9,5축가공,10,820,140,2,708.0,1417,0.0,0.0,0.0,저관련인기
9,CNC,10,3570,4651,3,3194.0,9581,0.0,0.0,0.0,저관련인기
6,제조업체,7,810,320,2,690.0,1380,0.2222222222222222,0.04065040650406504,0.0,저관련인기
9,기계설계,10,6900,1069,1,6152.0,6152,0.0,0.0,0.0,저관련인기
9,아크릴가공,10,2090,674,0,,0,0.0,0.0,0.0,저관련인기
9,정밀가공,10,1590,232,4,1418.0,5674,0.0,0.0,0.0,저관련인기
9,CNC가공,10,4070,1865,12,3596.0,43156,0.0,0.0,0.0,저관련인기
9,MCT가공,10,1820,541,8,1590.0,12720,0.0,0.0,0.0,저관련인기
9,가공,10,420,2979,1,367.0,367,0.0,0.0,0.0,저관련인기
9,금속가공,10,2000,472,7,1738.0,12163,0.0,0.0,0.0,저관련인기
9,방전가공,10,280,547,3,211.0,633,0.0,0.0,0.0,저관련인기
5,아크릴CNC,6,820,157,4,712.0,2846,0.0967741935483871,0.0423728813559322,1.0,저관련인기
9,알루미늄가공,10,4290,526,14,3690.0,51653,0.0,0.0,0.0,저관련인기
9,알루미늄가공업체,10,1170,108,3,1030.0,3090,0.0,0.0,0.0,저관련인기
6,캠핑용품제작,7,500,71,5,440.0,2201,0.10526315789473684,0.09615384615384615,2.0,저관련인기
7,탭가공,8,230,287,1,226.0,226,0.04999999999999999,0.007662835249042141,0.0,저관련인기
9,CNC가공업체,10,1160,98,0,,0,0.0,0.0,0.0,저관련인기
9,CNC업체,10,230,23,0,,0,0.0,0.0,0.0,저관련비인기
9,SUS가공,10,1200,76,3,1200.0,3600,0.0,0.0,0.0,저관련인기
9,로봇제작,10,410,36,1,370.0,370,0.0,0.0,0.0,저관련비인기
9,머시닝가공,10,330,33,5,259.0,1294,0.0,0.0,0.0,저관련비인기
9,부품가공,10,1950,78,6,1702.0,10212,0.0,0.0,0.0,저관련인기
9,선반가공,10,1050,767,4,1050.0,4200,0.0,0.0,0.0,저관련인기
9,아크릴CNC가공,10,490,43,0,,0,0.0,0.0,0.0,저관련비인기
9,아크릴제작업체,10,770,47,5,685.0,3424,0.0,0.0,0.0,저관련비인기
8,알루미늄CNC,9,210,84,6,210.0,1260,0.16666666666666666,0.05,0.2,저관련인기
6,알루미늄CNC가공,7,590,146,2,492.0,983,0.20512820512820507,0.08771929824561403,0.0,저관련인기
9,알루미늄제작,10,330,155,7,308.0,2153,0.0,0.0,0.0,저관련인기
9,제조공장,10,1530,223,1,1409.0,1409,0.0,0.0,0.0,저관련인기
8,컨베이어제작,9,1090,77,5,919.0,4596,0.11224489795918367,0.0547945205479452,0.0,저관련인기
5,폴리카보네이트가공,6,630,142,7,543.0,3798,0.10638297872340424,0.04999999999999999,0.0,저관련인기
9,플라스틱제작,10,2160,210,12,1870.0,22437,0.0,0.0,0.0,저관련인기
9,플라스틱제조업체,10,310,107,2,284.0,568,0.0,0.0,0.0,저관련인기
9,5축CNC,10,100,79,3,88.0,263,0.0,0.0,0.0,저관련인기
9,5축가공업체,10,70,22,1,70.0,70,0.0,0.0,0.0,저관련비인기
9,CNC밀링,10,1270,281,2,1268.0,2536,0.0,0.0,0.0,저관련인기
