index,keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
7,금형제작,8,3000,1246,38,2607.0,99056,0.08494208494208492,0.021739130434782594,0.32,고관련인기
8,금형사출,9,1110,351,9,946.0,8512,0.12121212121212122,0.0,0.125,고관련인기
7,사출금형,8,3620,1134,26,3209.0,83424,0.032448377581120944,0.0017921146953405014,0.09523809523809523,고관련인기
7,프레스금형,8,2260,804,31,1987.0,61604,0.06565656565656565,0.0,0.5625,고관련인기
8,OEM공장,9,120,90,10,112.0,1121,0.09090909090909091,0.0,0.1111111111111111,고관련인기
8,사출금형제작,9,1900,254,12,1640.0,19678,0.09195402298850575,0.0,0.2,고관련인기
6,금형,7,3000,3953,5,2437.0,12183,0.07200000000000001,0.0,0.0,고관련인기
0,OEM업체,1,1400,79,7,1225.0,8575,0.5217391304347831,0.0,0.75,고관련인기
2,PCB제작,3,3020,315,21,2573.0,54031,0.31055900621118016,0.0,0.3333333333333333,고관련인기
3,알루미늄금형,4,580,75,6,471.0,2827,0.12121212121212122,0.0,2.0,고관련인기
6,포장업체,7,1600,288,11,1344.0,14781,0.1379310344827586,0.0,0.25,고관련인기
9,플라스틱사출,10,1820,1411,30,1478.0,44347,0.0,0.0,0.0,고관련인기
7,플라스틱주문제작,8,560,65,5,502.0,2511,0.19047619047619047,0.1346153846153846,0.25,고관련인기
0,QDM금형,1,1050,173,14,652.0,9128,3.8181818181818175,0.0,1.0,고관련인기
7,플라스틱공장,8,330,354,5,279.0,1397,0.17391304347826086,0.0,0.25,고관련인기
3,PCB생산,4,1130,311,12,955.0,11464,0.29166666666666674,0.0,2.5,고관련인기
6,고무금형,7,1400,180,15,1172.0,17575,0.4794520547945206,0.0,0.18181818181818182,고관련인기
6,금형설계,7,3630,525,9,3212.0,28911,0.03692307692307692,0.013972055888223554,0.16666666666666669,고관련인기
3,금형업체,4,1340,60,7,1170.0,8192,0.08163265306122452,0.0,1.0,고관련인기
5,사출공장,6,1350,110,3,1175.0,3525,0.13483146067415736,0.0,0.5,고관련인기
0,소품제작,1,2120,107,8,1782.0,14257,0.2962962962962963,0.0,0.3333333333333335,고관련인기
7,플라스틱,8,970,4991,32,829.0,26535,0.12658227848101267,0.0,0.4444444444444445,고관련인기
9,플라스틱금형,10,1670,171,4,1435.0,5740,0.0,0.0,0.0,고관련인기
0,ABS사출,1,430,49,4,252.0,1010,2.428571428571429,0.0,2.0,고관련인기
9,OEM생산,10,380,110,3,333.0,998,0.0,0.0,0.0,고관련인기
3,OEM제조,4,480,99,2,480.0,960,0.4117647058823528,0.0,1.0,고관련인기
2,PCB샘플,3,1970,40,6,1690.0,10141,0.10476190476190472,0.0,0.33333333333333337,고관련인기
6,PCB제조,7,1960,139,3,1687.0,5061,0.055214723926380355,0.0,0.5,고관련인기
5,PET병제조업체,6,440,5,2,392.0,785,0.5555555555555556,0.0,1.0,고관련인기
0,고무사출,1,470,111,6,348.0,2091,0.9166666666666665,0.0,0.33333333333333337,고관련인기
6,금형공장,7,740,69,2,598.0,1196,0.22448979591836737,0.0,1.0,고관련인기
9,금형비용,10,370,92,2,314.0,627,0.0,0.0,0.0,고관련인기
